,ACT_DAIL,0
0,37.04166667,19.616243
1,59.16666667,24.78328
2,38.5,18.841
3,28.0,19.087317
4,54.0,25.651377
5,46.16666667,19.980627
6,41.0,19.54968
7,62.0,27.46181
8,46.0,17.404606
9,38.0,18.74878
10,62.0,22.50151
11,44.41666667,22.119892
12,52.0,22.158926
13,49.0,20.867401
14,43.0,21.739866
15,49.33333333,20.454847
16,20.0,18.811018
17,63.0,32.633015
18,49.0,21.36202
19,49.0,21.05625
20,41.0,16.590952
21,41.95833333,19.568485
22,49.0,19.231382
23,48.75,27.104977
24,62.0,23.430834
25,39.0,21.49607
26,44.0,19.079962
27,51.33333333,17.556961
28,33.0,21.713148
29,41.0,19.669537
30,44.0,21.600164
31,66.0,23.11231
32,35.0,21.566496
33,40.0,18.922909
34,47.5,24.130564
35,30.0,21.271288
36,59.0,24.663889
37,53.0,19.628885
38,36.0,21.353235
39,44.0,18.547451
40,59.0,18.741905
41,30.0,19.50191
42,61.66666667,20.491053
43,46.0,23.096714
44,49.0,20.702341
45,58.5,26.605154
46,44.0,12.468718
47,51.0,23.434162
48,47.0,23.164055
49,59.875,24.98142
50,53.0,22.946434
51,48.0,23.408846
52,62.0,27.723017
53,58.0,23.99594
54,59.0,26.446865
55,41.0,19.501589
56,51.79166667,21.879
57,53.0,20.370129
58,36.0,21.486454
59,44.0,21.712414
60,50.0,20.183924
61,49.33333333,22.652687
62,58.0,22.025026
63,44.0,21.838217
64,65.0,25.008564
65,56.0,23.18533
66,53.0,22.995695
67,44.0,21.663359
68,38.0,20.984167
69,51.0,22.967329
70,41.0,18.09744
71,46.0,22.168493
72,58.0,24.705854
73,46.0,22.453714
74,56.0,24.856848
75,31.0,22.042562
76,38.5,18.76448
77,43.0,21.366447
78,58.0,25.199617
79,46.0,23.222733
80,47.0,21.051325
81,51.33333333,22.981565
82,46.16666667,22.12613
83,57.0,22.557163
84,30.0,19.837849
85,57.0,17.604492
86,51.79166667,21.339365
87,53.0,22.800587
88,52.0,23.29084
89,33.75,21.132013
90,43.25,21.801176
91,40.0,20.416403
92,35.0,19.016191
93,33.0,23.426874
94,45.625,20.017096
95,63.0,21.757372
96,44.0,20.876387
97,49.0,23.569921
98,31.375,20.888746
99,47.0,20.285873
100,48.0,23.942503
101,58.0,21.225096
102,30.0,20.38294
103,57.0,19.641455
104,54.0,23.064404
105,57.0,20.94103
106,44.0,20.810583
107,30.33333333,23.289595
108,48.75,23.031427
109,44.0,18.478025
110,36.0,16.729036
111,48.0,27.308474
112,59.08333333,20.380373
113,41.0,21.678938
114,30.0,22.071249
115,31.0,18.432241
116,48.125,21.976255
117,35.0,20.658913
118,36.0,21.066784
119,50.375,20.88561
120,65.0,26.419266
121,39.5,18.197184
122,51.0,21.663647
123,43.0,18.57851
124,36.0,19.652374
125,45.0,22.682657
126,46.0,21.852106
127,37.5,21.14597
128,38.0,24.461605
129,45.0,18.160414
130,33.0,19.458773
131,47.0,22.583868
132,54.0,22.728088
133,35.0,20.685492
134,37.0,21.619596
135,56.0,22.093191
136,56.0,23.291433
137,60.0,22.333538
138,66.0,26.838114
139,57.0,23.036266
140,36.0,21.018957
141,32.125,23.056385
142,62.0,27.111692
143,46.875,20.040354
144,40.0,18.704786
145,43.25,23.447966
146,58.0,21.193417
147,36.0,17.540255
148,72.0,22.05644
149,59.0,25.877861
150,49.0,24.300253
151,38.0,22.829512
152,46.0,21.22974
153,59.0,21.508379
154,53.0,22.448631
155,32.0,16.93984
156,58.0,23.671955
157,41.0,19.71805
158,48.0,22.064535
159,53.0,21.5003
160,57.0,21.88028
161,62.5,21.505173
162,33.0,20.21044
163,56.70833333,24.612555
164,62.0,18.105911
165,53.0,22.317059
166,49.0,16.376163
167,36.0,19.862534
168,57.0,23.800428
169,44.0,25.913
170,43.0,18.605993
171,32.5,18.850798
172,59.0,24.290047
173,29.66666667,21.587143
174,61.625,26.676023
175,30.66666667,19.370483
176,67.5,29.921358
177,43.0,19.175356
178,35.0,17.732769
179,51.33333333,19.87407
180,49.0,22.00807
181,38.0,17.175592
182,33.0,17.659891
183,48.0,22.524021
184,27.0,19.543
185,46.875,18.282787
186,56.0,21.663794
187,55.0,21.809578
188,48.0,18.839376
189,56.0,26.798407
190,42.5,17.481567
191,72.0,28.420786
192,50.0,27.678638
193,42.0,21.372381
194,36.0,19.903456
195,57.0,29.119644
196,59.0,23.391672
197,47.5,20.332445
198,51.0,21.229782
199,37.0,16.21327
200,47.0,20.207527
201,48.75,21.560349
202,52.0,21.012693
203,44.0,23.69927
204,46.0,24.376955
205,49.33333333,19.425953
206,32.5,19.804735
207,53.0,21.726196
208,46.0,21.13669
209,28.0,21.774977
210,41.0,19.74251
211,57.0,20.484306
212,48.0,22.140644
213,42.0,16.803673
214,55.0,24.27723
215,57.0,23.868404
216,46.0,19.554926
217,46.875,20.81096
218,64.0,26.747412
219,51.33333333,21.475233
220,32.0,17.523746
221,33.0,16.113516
222,38.0,16.216406
223,48.0,20.549067
224,55.125,26.777182
225,35.0,21.493975
226,38.0,17.599571
227,42.0,20.112843
228,48.125,20.034092
229,44.0,21.223063
230,43.25,20.56679
231,51.0,21.197533
232,55.0,21.435595
233,57.0,21.327452
234,37.0,20.683506
235,72.0,26.584436
236,47.0,22.089535
237,39.0,18.006006
238,31.0,24.53753
239,30.0,19.040916
240,55.0,22.118608
241,60.0,22.892279
242,30.0,19.49925
243,44.0,17.391294
244,44.0,26.461397
245,38.0,20.936094
246,53.91666667,25.664541
247,47.0,21.736712
248,43.0,20.16703
249,44.0,18.557901
250,46.875,25.319765
251,46.0,22.919895
252,59.0,23.808489
253,44.0,20.558247
254,55.0,21.464794
255,59.0,24.537956
256,46.0,21.937593
257,43.58333333,23.748112
258,63.0,26.405046
259,32.125,21.17599
260,52.0,24.78301
261,37.0,19.8969
262,47.0,18.576508
263,53.0,24.95181
264,38.0,23.412285
265,44.0,20.02149
266,40.0,19.440027
267,50.0,22.847916
268,40.0,21.973362
269,41.0,16.673853
270,54.25,23.540598
271,36.0,19.129576
272,46.0,23.56039
273,51.0,22.767738
274,31.0,18.000916
275,59.0,29.207037
276,33.0,17.669554
277,53.0,21.810965
278,28.0,19.428991
279,10.0,16.322796
280,49.0,21.5632
281,46.0,18.276882
282,56.5,23.410284
283,35.0,16.88605
284,53.0,21.307274
285,45.0,20.065006
286,53.91666667,24.445581
287,44.0,22.576168
288,46.0,18.031158
289,49.0,22.553442
290,41.0,17.978735
291,46.0,20.371597
292,54.0,14.910409
293,46.16666667,20.470354
294,45.0,17.790941
295,57.0,23.418095
296,41.0,19.348951
297,36.125,20.212786
298,36.0,23.314405
299,45.0,22.766073
300,33.0,20.978836
301,48.0,24.129704
302,51.79166667,29.797758
303,41.0,24.145203
304,57.0,23.97072
305,42.0,20.462185
306,59.08333333,22.831951
307,20.0,18.321058
308,45.0,20.634865
309,49.0,22.128878
310,57.0,21.672094
311,44.41666667,19.805319
312,58.0,25.260227
313,67.0,22.409437
314,43.0,18.412758
315,62.0,27.365553
316,54.25,23.455448
317,38.0,20.650698
318,41.95833333,22.087698
319,64.25,27.42314
320,55.0,20.60322
321,33.0,22.408136
322,48.0,21.388058
323,25.5,17.353642
324,44.0,18.472462
325,69.0,23.272104
326,34.0,19.074257
327,49.0,19.948929
328,44.41666667,20.007713
329,69.0,24.90464
330,43.0,25.523127
331,59.0,21.162416
332,49.0,25.84369
333,55.0,20.40328
334,42.5,22.252863
335,54.0,23.515139
336,50.0,22.669989
337,59.0,27.072771
338,57.0,23.970797
339,54.0,22.26488
340,58.0,25.28353
341,49.0,20.620646
342,25.0,17.841806
343,46.0,25.411093
344,43.58333333,23.047075
345,64.0,21.866169
346,44.41666667,19.553568
347,38.0,17.168293
348,35.0,16.702753
349,32.875,17.863573
350,57.0,22.372583
351,43.0,22.221224
352,27.0,20.860981
353,36.0,22.038134
354,59.0,17.313654
355,70.0,25.74157
356,37.5,18.451206
357,68.0,27.517128
358,46.0,22.26694
359,45.0,20.636814
360,42.0,21.588034
361,56.70833333,21.089771
362,45.58333333,23.076496
363,42.5,18.60725
364,38.0,20.095915
365,49.0,20.479782
366,38.41666667,22.424093
367,52.0,22.354883
368,48.0,20.525208
369,44.41666667,18.536327
370,31.0,19.465185
371,69.0,30.277397
372,57.5,22.64557
373,72.0,28.953455
374,30.66666667,24.326021
375,49.0,21.663515
376,54.0,28.749264
377,36.0,15.6969185
378,40.0,18.489439
379,42.0,20.676044
380,57.0,27.51328
381,46.0,24.242971
382,64.0,27.189493
383,37.04166667,24.419445
384,55.0,24.209229
385,52.0,21.699877
386,54.0,22.854673
387,51.79166667,23.70856
388,37.04166667,19.476122
389,44.41666667,19.109472
390,51.79166667,20.5019
391,46.0,14.909771
392,52.75,21.97085
393,58.0,21.593699
394,44.0,23.151485
395,69.0,25.537289
396,61.0,21.232786
397,35.0,17.913858
398,57.0,24.337162
399,54.0,19.409935
400,51.0,20.84817
401,48.0,21.753698
402,57.0,19.086405
403,44.41666667,23.814878
404,38.0,21.612385
405,38.0,20.983788
406,30.0,19.851797
407,24.0,19.864481
408,46.0,17.999624
409,62.0,20.788609
410,51.79166667,21.947603
411,44.0,18.187681
412,38.41666667,21.402021
413,56.0,22.801394
414,42.0,19.940298
415,70.0,24.877031
416,59.0,23.928638
417,58.0,21.521019
418,64.0,24.986355
419,22.91666667,17.31455
420,48.75,24.149384
421,48.75,22.698442
422,48.125,18.706633
423,33.75,21.78082
424,44.0,20.191051
425,51.33333333,30.235891
426,39.5,21.213219
427,35.0,19.708796
428,34.58333333,16.552273
429,27.20833333,16.06914
430,52.0,22.317804
431,50.0,23.524286
432,52.0,28.630178
433,43.25,19.669292
434,41.95833333,18.078455
435,62.0,25.543432
436,45.0,24.904139
437,60.0,26.01824
438,57.0,22.960224
