,ACT_DAIL,0
0,38.0,18.895975
1,44.41666667,23.82959
2,53.0,22.754631
3,51.33333333,23.200033
4,59.0,22.084059
5,39.5,20.93686
6,63.0,23.664984
7,46.0,19.648321
8,42.0,19.759796
9,42.0,24.118078
10,49.0,20.9555
11,42.0,23.904922
12,48.0,22.20995
13,44.41666667,17.914446
14,62.0,21.88743
15,49.33333333,21.257095
16,41.0,19.894129
17,41.0,18.704157
18,46.0,18.665092
19,59.08333333,21.613117
20,54.0,24.327631
21,67.0,22.906328
22,69.0,25.070723
23,47.0,21.874662
24,69.0,24.474718
25,20.0,17.109627
26,41.0,21.394716
27,55.0,24.103222
28,53.0,25.14004
29,51.79166667,21.851831
30,43.25,18.25123
31,37.5,20.297285
32,34.58333333,20.66826
33,57.5,26.641014
34,40.0,18.798237
35,59.08333333,24.745367
36,46.0,22.432863
37,51.79166667,21.362024
38,42.5,24.419878
39,51.0,25.420633
40,49.0,19.67706
41,46.0,24.075493
42,30.0,16.185467
43,41.0,21.570932
44,48.75,20.118433
45,49.0,22.85347
46,54.25,22.094967
47,40.0,15.389776
48,72.0,27.821062
49,63.0,22.753298
50,43.25,20.666178
51,49.0,24.189646
52,28.08333333,18.799223
53,44.0,21.651201
54,45.0,23.665281
