,ACT,0
0,5.0,51.780483
1,5.0,53.554024
2,40.0,58.200634
3,80.0,81.57288
4,10.0,74.25798
5,50.0,47.83039
6,50.0,52.0571
7,95.0,60.928967
8,75.0,74.55127
9,60.0,72.884834
10,5.0,44.588917
11,85.0,94.19678
12,5.0,55.355045
13,15.0,47.066154
14,60.0,59.54416
15,100.0,78.86098
16,25.0,55.84634
17,25.0,34.22086
18,15.0,65.62989
19,5.0,60.76359
20,40.0,57.646133
21,80.0,63.384434
22,5.0,47.65601
23,30.0,56.600838
24,25.0,57.139847
25,60.0,73.534935
26,25.0,46.628788
27,75.0,78.58154
28,40.0,61.299232
29,5.0,37.226944
30,30.0,45.96936
31,5.0,58.89197
32,80.0,61.32679
33,25.0,47.873726
34,85.0,58.511646
35,90.0,54.342194
36,60.0,68.11
37,10.0,49.750317
38,60.0,64.22583
39,5.0,26.257528
40,75.0,61.56954
41,25.0,57.33443
42,40.0,54.630753
43,5.0,45.45963
44,80.0,70.98477
45,50.0,71.121826
46,75.0,67.6144
47,90.0,80.12402
48,10.0,30.77855
49,100.0,93.2391
50,60.0,67.38742
51,25.0,69.31111
52,75.0,74.07304
53,25.0,57.1618
54,5.0,55.70215
55,25.0,45.647705
56,75.0,75.25769
57,30.0,49.494698
58,50.0,72.59869
59,65.0,72.79342
60,65.0,50.000828
61,80.0,84.8135
