,ACT,0
0,85.0,56.459637
1,40.0,61.90548
2,10.0,42.587116
3,60.0,73.47747
4,60.0,70.117615
5,5.0,15.418214
6,5.0,24.104755
7,40.0,60.03723
8,10.0,35.53374
9,90.0,75.582596
10,60.0,71.67141
11,5.0,49.112503
12,50.0,66.48855
13,95.0,80.985146
14,30.0,47.316666
15,5.0,37.121826
16,65.0,51.787003
17,5.0,56.73388
18,85.0,70.50682
19,25.0,38.181725
20,95.0,72.545815
21,40.0,50.948704
22,30.0,52.33927
23,50.0,55.61826
24,5.0,57.469143
25,65.0,72.87921
26,65.0,73.14349
27,25.0,59.505062
28,15.0,31.57923
29,50.0,77.02806
30,25.0,33.512012
31,80.0,78.927124
32,5.0,47.172768
33,85.0,65.04504
34,5.0,46.626392
35,65.0,74.556786
36,85.0,73.12609
37,10.0,31.152632
38,85.0,54.026974
39,65.0,71.81929
40,5.0,46.7275
41,80.0,82.084274
42,10.0,16.17564
43,100.0,82.64385
44,75.0,66.90175
45,100.0,60.157192
46,65.0,77.87714
47,85.0,30.242842
48,75.0,66.70937
49,95.0,88.67888
50,80.0,64.35461
51,40.0,59.85681
52,85.0,97.12114
53,85.0,79.05244
54,80.0,57.7298
55,5.0,54.012115
56,25.0,60.351807
57,10.0,43.59519
58,25.0,63.336117
59,30.0,45.326595
60,40.0,62.388676
61,25.0,34.31761
62,25.0,43.827847
63,95.0,88.53676
64,5.0,35.726192
65,85.0,97.35373
66,5.0,50.16928
67,10.0,36.430717
68,90.0,98.31346
69,100.0,78.17247
70,10.0,22.660906
71,65.0,55.604046
72,30.0,70.550354
73,40.0,57.824734
74,60.0,74.04579
75,95.0,74.09896
76,50.0,71.12592
77,50.0,50.345196
78,25.0,50.72534
79,40.0,51.914005
80,85.0,81.7369
81,60.0,83.21062
82,25.0,48.550953
83,85.0,75.096405
84,25.0,39.790516
85,100.0,66.84751
86,80.0,85.37834
87,95.0,49.00233
88,75.0,76.09067
89,60.0,83.03404
90,25.0,69.56342
91,15.0,35.410934
92,85.0,53.32084
93,40.0,59.385113
94,65.0,57.043137
95,75.0,91.3723
96,65.0,76.29838
97,95.0,70.3114
98,85.0,79.72972
99,85.0,91.37197
100,40.0,65.435555
101,50.0,54.04755
102,90.0,95.50238
103,80.0,78.85551
104,65.0,72.81473
105,30.0,42.722923
106,10.0,40.150227
107,25.0,61.4645
108,80.0,81.040985
109,30.0,74.7042
110,5.0,51.922558
111,65.0,46.599644
112,65.0,57.230606
113,5.0,44.09248
114,25.0,55.210545
115,40.0,59.45058
116,90.0,64.807556
117,50.0,73.77979
118,10.0,59.44916
119,30.0,38.45069
120,75.0,73.10469
121,60.0,71.447975
122,95.0,60.578205
123,65.0,73.41214
124,10.0,38.371876
125,60.0,75.50189
126,75.0,84.399376
127,5.0,34.0144
128,5.0,41.78428
129,5.0,39.09062
130,25.0,44.576836
131,65.0,68.45526
132,5.0,64.9643
133,10.0,49.87259
134,5.0,45.350353
135,75.0,18.97914
136,5.0,41.12998
137,10.0,40.211033
138,30.0,47.709995
139,30.0,57.467384
140,5.0,31.177938
141,5.0,8.70865
142,5.0,26.442749
143,25.0,49.503124
144,95.0,79.853165
145,30.0,50.694668
146,5.0,32.34919
147,90.0,96.394844
148,30.0,65.820404
149,15.0,43.908504
150,25.0,76.94501
151,50.0,56.15134
152,60.0,55.80725
153,80.0,90.70651
154,5.0,58.025806
155,10.0,46.791763
156,5.0,57.472923
157,60.0,50.185783
158,40.0,54.06998
159,10.0,38.84654
160,50.0,63.171986
161,5.0,80.01162
162,5.0,57.30575
163,25.0,74.53225
164,80.0,81.96178
165,60.0,61.630184
166,50.0,51.45009
167,60.0,65.2957
168,30.0,47.80751
169,80.0,78.571144
170,90.0,72.28745
171,5.0,23.917933
172,85.0,74.43243
173,85.0,68.51202
174,25.0,39.95124
175,75.0,73.440125
176,100.0,83.42825
177,10.0,41.21153
178,40.0,50.390568
179,10.0,25.82059
180,60.0,62.948215
181,60.0,62.837658
182,40.0,61.418423
183,90.0,68.89045
184,40.0,41.63122
185,75.0,83.49252
186,60.0,73.79626
187,50.0,66.74707
188,30.0,59.343483
189,5.0,51.876537
190,100.0,61.430126
191,75.0,81.283005
192,15.0,39.065437
193,25.0,46.280014
194,60.0,73.00312
195,25.0,42.56714
196,10.0,54.125954
197,25.0,62.622116
198,10.0,35.509754
199,10.0,27.102114
200,65.0,52.725986
201,40.0,60.977657
202,10.0,58.5972
203,90.0,89.58044
204,50.0,62.776142
205,60.0,71.290436
206,25.0,43.41864
207,80.0,81.860085
208,50.0,56.601
209,95.0,62.181
210,85.0,61.18034
211,90.0,97.483765
212,30.0,61.103886
213,40.0,63.569
214,75.0,77.734924
215,60.0,69.51853
216,65.0,75.0234
217,25.0,74.86414
218,50.0,59.914677
219,25.0,43.305733
220,15.0,48.166145
221,95.0,71.69454
222,75.0,64.22973
223,25.0,55.06143
224,75.0,83.377945
225,60.0,60.203304
226,10.0,44.14896
227,15.0,40.19022
228,10.0,40.636063
229,25.0,56.197376
230,10.0,35.876297
231,40.0,43.1398
232,5.0,28.914555
233,40.0,58.571587
234,25.0,60.719444
235,40.0,52.50442
236,75.0,76.72252
237,75.0,79.47039
238,85.0,85.91875
239,10.0,68.18223
240,5.0,27.605494
241,25.0,58.042736
242,10.0,60.930218
243,40.0,46.58568
244,60.0,53.612762
245,95.0,74.21572
246,5.0,40.347443
247,25.0,45.151524
248,25.0,57.136166
249,75.0,75.89066
250,65.0,65.52393
251,65.0,65.48166
252,40.0,70.43065
253,30.0,54.767925
254,25.0,49.164486
255,25.0,57.153988
256,95.0,66.876785
257,65.0,73.366066
258,100.0,71.28982
259,60.0,69.58346
260,60.0,69.19461
261,30.0,47.42153
262,65.0,69.31357
263,5.0,41.489502
264,60.0,67.59815
265,50.0,38.929485
266,95.0,80.32439
267,25.0,56.2791
268,5.0,43.265583
269,65.0,59.11417
270,10.0,55.923546
271,5.0,35.639866
272,75.0,76.082146
273,5.0,51.019947
274,25.0,49.166157
275,75.0,77.94054
276,5.0,55.433346
277,5.0,63.836464
278,60.0,75.43391
279,85.0,88.92959
280,90.0,90.53483
281,40.0,57.458908
282,40.0,55.247833
283,40.0,65.326935
284,15.0,49.818897
285,90.0,59.421337
286,100.0,67.09902
287,85.0,63.544094
288,50.0,63.02747
289,30.0,63.664906
290,5.0,52.530956
291,85.0,67.884735
292,5.0,68.85522
293,30.0,53.671124
294,90.0,72.02019
295,60.0,75.26253
296,85.0,84.17662
297,85.0,52.484783
298,65.0,46.182117
299,40.0,59.21585
300,60.0,70.26782
301,80.0,62.65407
302,5.0,56.333294
303,40.0,63.4525
304,10.0,45.417313
305,85.0,63.103924
306,60.0,67.3718
307,25.0,39.122097
308,40.0,57.217815
309,95.0,94.89119
310,50.0,48.591724
311,10.0,29.6862
312,95.0,80.7367
313,15.0,61.904293
314,75.0,71.094154
315,60.0,70.90972
316,30.0,44.87429
317,10.0,60.435833
318,25.0,39.609463
319,60.0,77.42297
320,40.0,63.474697
321,95.0,77.150505
322,80.0,70.35501
323,5.0,42.825527
324,85.0,78.24383
325,25.0,42.952465
326,40.0,58.064503
327,60.0,70.31616
328,60.0,83.97266
329,25.0,38.0435
330,5.0,47.023773
331,60.0,68.59777
332,30.0,49.89062
333,10.0,58.474426
334,80.0,75.106125
335,40.0,66.66603
336,40.0,74.12925
337,10.0,48.170517
338,40.0,39.853794
339,75.0,82.57976
340,75.0,73.08223
341,60.0,73.00831
342,75.0,74.89431
343,40.0,57.52576
344,40.0,64.355545
345,5.0,43.6779
346,60.0,68.5696
347,95.0,82.99626
348,80.0,87.60349
349,60.0,52.736668
350,5.0,64.53084
351,5.0,26.003847
352,85.0,90.826035
353,85.0,66.28546
354,95.0,91.22336
355,60.0,66.88401
356,25.0,49.252254
357,75.0,51.467136
358,5.0,49.528793
359,30.0,44.65048
360,65.0,56.1123
361,85.0,86.10523
362,5.0,49.92664
363,30.0,68.16054
364,30.0,43.2397
365,5.0,37.84086
366,40.0,51.77467
367,65.0,78.179214
368,50.0,72.68951
369,60.0,81.224075
370,40.0,61.406616
371,25.0,36.47915
372,50.0,65.93333
373,65.0,78.39849
374,5.0,51.11609
375,25.0,38.233322
376,65.0,65.51867
377,95.0,65.25557
378,85.0,79.43312
379,5.0,66.03102
380,100.0,55.50039
381,10.0,39.199574
382,75.0,80.304214
383,90.0,85.91071
384,100.0,57.782642
385,40.0,57.4403
386,80.0,62.718773
387,60.0,61.489876
388,5.0,54.94995
389,5.0,49.086403
390,5.0,77.85949
391,50.0,76.65235
392,90.0,76.2518
393,50.0,60.203716
394,10.0,53.265163
395,5.0,25.93243
396,85.0,80.14947
397,5.0,44.955173
398,75.0,77.73739
399,85.0,68.95915
400,85.0,75.83326
401,85.0,81.0795
402,30.0,49.70421
403,5.0,49.473312
404,5.0,42.374237
405,90.0,88.189606
406,30.0,50.063427
407,30.0,59.13042
408,100.0,62.787964
409,30.0,55.000397
410,15.0,66.1282
411,5.0,56.456814
412,85.0,50.437374
413,5.0,42.698006
414,5.0,61.807354
415,40.0,57.75073
416,30.0,42.125412
417,10.0,50.62357
418,5.0,53.88452
419,85.0,83.29013
420,40.0,62.389877
421,65.0,76.400955
422,95.0,88.32111
423,100.0,71.965385
424,5.0,27.147198
425,75.0,80.902084
426,25.0,56.16553
427,95.0,66.24046
428,100.0,64.31402
429,60.0,60.75676
430,5.0,58.080326
431,85.0,79.022705
432,95.0,59.215115
433,5.0,16.322126
434,25.0,39.611614
435,100.0,64.89958
436,60.0,46.838474
437,80.0,82.58763
438,10.0,33.435963
439,40.0,63.6488
440,5.0,44.299538
441,85.0,69.42269
442,10.0,30.21596
443,25.0,70.52141
444,100.0,60.321857
445,60.0,64.85104
446,60.0,60.823086
447,85.0,43.188107
448,75.0,77.19461
449,100.0,60.5962
450,80.0,82.94914
451,40.0,59.90279
452,95.0,92.51147
453,30.0,65.687935
454,40.0,55.56036
455,65.0,75.59237
456,30.0,51.918404
457,15.0,51.425346
458,5.0,37.00358
459,95.0,83.50419
460,75.0,70.83244
461,60.0,67.85479
462,75.0,55.134045
463,40.0,59.95436
464,25.0,55.26649
465,40.0,47.18568
466,5.0,44.600872
467,40.0,65.54773
468,75.0,81.18371
469,40.0,41.857567
470,30.0,49.877438
471,25.0,52.486664
472,15.0,46.203335
473,60.0,76.377754
474,5.0,52.461918
475,40.0,41.555897
476,10.0,59.42703
477,25.0,34.758305
478,10.0,41.19306
479,40.0,56.904217
480,65.0,80.825
481,60.0,67.23923
482,60.0,73.4798
483,80.0,91.619644
484,25.0,69.47065
485,25.0,45.29919
486,85.0,56.305763
487,60.0,63.53073
488,10.0,31.857958
489,30.0,56.32246
490,65.0,78.64264
491,5.0,39.829624
492,40.0,64.743835
493,60.0,55.439186
494,5.0,57.48301
