,ACT,0
0,30.0,47.632717
1,65.0,70.11018
2,65.0,58.747833
3,10.0,37.56608
4,50.0,69.78091
5,25.0,56.970737
6,75.0,44.176495
7,40.0,52.121197
8,40.0,60.17004
9,85.0,57.775806
10,80.0,58.977398
11,75.0,88.782234
12,30.0,59.199528
13,25.0,41.406628
14,85.0,61.612667
15,85.0,58.903725
16,90.0,89.94277
17,40.0,63.325184
18,100.0,68.733086
19,40.0,56.230034
20,75.0,57.819088
21,5.0,26.842901
22,25.0,55.256275
23,25.0,64.53015
24,85.0,63.62497
25,75.0,76.67512
26,60.0,67.29113
27,5.0,57.47624
28,30.0,69.501236
29,100.0,92.316475
30,40.0,57.84542
31,10.0,41.184803
32,5.0,69.96973
33,95.0,109.38289
34,40.0,53.10094
35,5.0,42.116905
36,5.0,53.84373
37,30.0,51.71803
38,60.0,76.80417
39,100.0,68.56451
40,25.0,65.99323
41,95.0,81.31931
42,50.0,61.647568
43,5.0,65.52173
44,5.0,45.37337
45,65.0,59.32286
46,15.0,66.022964
47,75.0,72.27894
48,65.0,72.33984
49,60.0,45.330475
50,50.0,71.825134
51,90.0,63.799183
52,5.0,39.494213
53,60.0,68.773254
54,40.0,68.21525
55,95.0,78.88135
56,50.0,62.024143
57,5.0,68.750046
58,95.0,48.80241
59,50.0,64.659325
60,50.0,60.66741
61,5.0,64.77473
