,ACUTE,0
0,3.8,26.787552
1,2.0,20.015196
2,2.2,30.5793
3,2.4,25.157635
4,1.1,24.080427
5,1.7,24.993174
6,3.0,29.483702
7,2.2,33.484592
8,1.3,23.31983
9,1.9,27.925564
10,1.2,21.050238
11,2.4,27.99155
12,2.0,27.095604
13,2.9,30.70765
14,2.5,27.46286
15,3.2,32.516285
16,2.1,28.4217
17,1.2,28.999666
18,1.8,24.756096
19,1.0,24.08439
20,2.5,30.113825
21,3.0,32.875927
22,1.0,24.794447
23,1.6,23.589832
24,2.1,29.51374
25,1.4,22.092175
26,1.7,27.048988
27,2.0,29.168995
28,2.2,31.005985
29,1.5,29.0224
30,1.1,22.00839
31,1.5,23.556128
32,1.4,25.040178
33,1.0,28.337517
34,3.0,27.6688
35,2.5,26.266518
36,3.1,28.661846
37,3.1,30.5461
38,3.5,29.845001
39,1.4,25.186647
40,1.5,22.684547
41,1.9,26.121403
42,1.7,25.715338
43,2.6,26.108582
44,3.5,32.327763
45,1.4,26.735638
46,1.0,24.350159
47,1.0,24.754885
48,3.0,27.026207
49,1.0,26.698309
50,1.7,29.66755
51,3.3,30.671978
