,ACUTE,0
0,1.1,24.383215
1,1.4,25.095638
2,2.5,27.840582
3,1.9,25.65915
4,1.2,24.95649
5,3.1,28.333298
6,2.5,31.661392
7,3.6,33.83401
8,3.6,34.56287
9,2.2,29.52594
10,2.5,28.646881
11,2.5,30.661324
12,2.6,25.929922
13,2.7,31.38433
14,2.9,28.917982
15,1.3,23.099785
16,1.4,25.786451
17,2.9,32.602898
18,1.0,27.40887
19,1.2,27.38338
20,2.0,27.979446
21,2.9,26.79404
22,1.4,24.948023
23,2.1,30.469759
24,2.9,34.695946
25,1.8,30.243483
26,1.0,26.278986
27,1.8,26.06951
28,2.0,26.12125
29,2.9,27.335323
30,1.3,24.05048
31,2.6,27.555716
32,1.9,26.849722
33,2.3,27.73991
34,2.2,28.96376
35,1.6,26.764204
36,2.5,28.836506
37,1.4,24.705158
38,2.6,30.640701
39,1.0,26.221346
40,3.0,30.272118
41,1.4,26.052149
42,2.6,30.689
43,1.8,21.477268
44,2.2,25.025341
45,2.0,25.664572
46,2.5,29.46059
47,2.4,28.629122
48,2.2,30.900108
49,1.7,25.25904
50,1.0,26.539845
51,2.5,29.86706
52,2.7,31.581314
53,3.2,31.437153
54,1.7,27.162563
55,1.3,27.70894
56,1.7,26.373096
57,1.4,21.803303
58,3.5,31.41832
59,1.8,22.777756
60,3.9,32.670944
61,1.7,23.730164
62,3.4,34.08883
63,2.2,24.543781
64,2.1,32.97551
65,1.0,24.456219
66,1.4,24.544743
67,2.2,29.558449
68,2.4,25.792887
69,1.5,24.730566
70,2.9,28.936562
71,1.3,26.913198
72,1.6,26.257046
73,2.3,25.595957
74,1.9,25.769806
75,1.5,25.106934
76,3.8,26.852823
77,2.4,26.982801
78,1.4,26.58343
79,2.0,28.818377
80,2.2,29.480227
81,1.3,26.141262
82,1.1,24.465294
83,2.3,24.25044
84,1.2,23.957052
85,2.3,26.905252
86,2.9,34.050022
87,1.3,26.457603
88,2.2,27.734802
89,2.9,32.39009
90,1.1,25.949644
91,2.3,27.800491
92,1.6,24.006975
