,ACUTE,0
0,3.0,29.627356
1,2.6,27.477753
2,2.5,29.901058
3,1.3,21.40943
4,2.8,27.882753
5,2.0,29.759272
6,1.4,22.825619
7,1.9,29.159729
8,2.7,24.229254
9,1.0,21.59718
10,3.4,28.704031
11,3.0,24.593365
12,1.3,25.249226
13,1.4,27.337833
14,3.0,32.54677
15,2.4,28.341606
16,2.5,25.491457
17,3.5,25.10659
18,1.2,24.18492
19,1.4,26.622677
20,1.7,23.410051
21,1.8,29.992954
22,1.4,23.51337
23,2.4,30.915543
24,1.3,25.811169
25,1.2,23.522228
26,2.1,25.14131
27,1.8,25.427517
28,3.4,32.422226
29,2.4,25.949867
30,1.4,23.519419
31,2.6,25.417055
32,2.8,29.117737
33,1.5,24.378586
34,1.5,28.785059
35,1.9,28.337246
36,1.4,27.698511
37,2.4,28.369053
38,1.8,28.124012
39,1.9,26.839157
40,1.3,26.758236
41,3.7,30.951178
42,1.6,26.959112
43,1.4,26.748375
44,2.1,25.08728
45,2.7,30.248114
46,3.2,32.874615
47,1.2,27.033924
48,2.0,29.731691
49,1.9,32.719353
50,2.8,26.299976
51,3.0,25.676031
52,3.2,33.11816
