,ADAPT,0
0,37.66666667,52.832703
1,53.0,51.798187
2,42.0,43.14461
3,52.0,46.108994
4,59.0,52.063053
5,40.0,41.61429
6,49.33333333,52.094505
7,42.33333333,47.677135
8,33.0,46.67599
9,33.0,45.034744
10,57.75,48.346264
11,36.0,49.403725
12,56.33333333,46.89333
13,33.0,44.148724
14,37.5,46.81212
15,68.0,48.697517
16,45.0,44.361877
17,44.66666667,49.276943
18,47.0,47.73343
19,51.0,52.066456
20,59.0,53.92786
21,52.0,51.901653
22,39.75,51.61907
23,39.0,55.25633
24,61.0,51.614162
25,54.0,51.540627
26,33.0,43.2291
27,35.0,42.23827
28,42.0,53.809574
29,35.0,51.184933
30,54.0,55.380596
31,38.0,45.132126
32,56.0,51.880463
33,54.0,48.73538
34,42.0,52.199574
35,61.0,49.09645
36,42.0,47.011955
37,58.66666667,51.045933
38,42.0,48.595768
39,39.0,52.223457
40,49.0,48.632618
41,61.0,54.786312
42,37.66666667,47.35542
43,49.0,49.36257
44,49.33333333,52.861046
45,47.0,48.944496
46,52.0,48.229397
47,44.25,47.78317
48,42.33333333,51.55554
49,55.0,52.160076
50,45.0,45.164997
51,49.0,48.977146
52,45.0,45.2211
53,47.0,47.8581
54,42.0,45.06545
