,ADAPT,0
0,42.33333333,50.974804
1,68.0,47.07888
2,42.0,43.214684
3,63.33333333,51.625336
4,68.0,56.27945
5,42.0,45.867268
6,37.66666667,48.463573
7,55.0,45.761093
8,35.33333333,45.890812
9,38.0,44.92541
10,38.0,49.68913
11,52.0,51.5937
12,50.0,49.35166
13,35.33333333,46.699894
14,35.0,47.16419
15,47.0,47.229153
16,35.0,39.37872
17,56.0,53.652885
18,52.0,50.39651
19,38.0,42.76913
20,44.79166667,47.198345
21,49.0,49.97295
22,47.0,47.621105
23,35.0,45.792896
24,68.0,56.292294
25,51.66666667,52.38187
26,66.0,54.214897
27,31.0,58.560043
28,58.66666667,54.228962
29,38.0,45.489113
30,60.0,49.526638
31,52.0,52.07801
32,40.0,45.34442
33,62.0,54.3176
34,35.0,44.429848
35,56.0,50.621464
36,68.0,50.13291
37,44.0,45.049557
38,56.0,51.904972
39,40.0,47.3253
40,59.0,50.978886
41,34.0,45.86688
42,29.0,50.42374
43,49.0,48.973003
44,35.0,52.25751
45,63.0,53.997437
46,54.0,53.743176
47,61.0,54.08861
48,49.0,48.56926
49,49.0,49.06885
50,61.0,49.714676
51,52.0,48.091404
52,38.0,45.07816
53,29.0,54.712627
54,33.0,48.18617
55,44.66666667,45.993786
56,42.0,47.333622
57,35.0,46.874836
58,47.0,47.563114
59,51.66666667,50.536304
60,66.0,54.7784
61,49.0,44.85173
62,59.0,57.523956
63,54.0,48.86492
64,47.0,48.726017
65,47.0,48.727875
66,52.0,51.064106
67,63.0,50.896076
68,47.0,48.956367
69,35.0,44.70742
70,48.75,50.054146
71,54.0,49.057384
72,63.0,54.43894
73,52.0,53.66515
74,47.0,48.062504
75,42.0,44.39014
76,56.0,54.212437
77,43.0,52.056873
78,54.0,53.906223
79,44.66666667,47.212147
80,66.0,46.659298
81,49.0,50.19325
82,51.66666667,50.406815
83,47.0,50.224308
84,35.0,51.752705
85,35.0,43.83381
86,47.0,47.406452
87,56.0,48.675507
88,68.0,57.79544
89,56.0,49.64288
90,47.0,48.630337
91,44.66666667,49.110817
92,45.0,47.609447
93,54.0,54.90099
94,28.0,47.84837
95,63.0,50.366173
