,ADAPT,0
0,36.0,42.18231
1,52.0,45.694927
2,53.25,53.778133
3,47.0,48.126564
4,54.0,53.22317
5,68.0,55.279522
6,24.0,48.377403
7,42.0,45.65877
8,42.33333333,48.16187
9,69.0,53.384
10,47.0,47.424095
11,53.0,49.08902
12,58.66666667,53.016068
13,37.66666667,39.228813
14,45.0,46.262222
15,46.5,52.78391
16,40.0,46.690952
17,52.0,53.946346
18,40.0,48.517033
19,51.66666667,49.848804
20,56.0,52.89869
21,63.33333333,52.30525
22,49.0,48.001297
23,33.0,50.129322
24,47.0,50.925247
25,58.0,51.55402
26,68.0,53.031364
27,35.0,42.78993
28,56.0,47.690067
29,63.0,53.18894
30,31.0,51.90758
31,52.0,45.519585
32,35.0,44.906586
33,41.0,50.747776
34,40.0,45.433994
35,56.0,45.10787
36,35.0,51.35348
37,63.0,50.15388
38,31.0,47.947906
39,52.0,50.559067
40,28.33333333,46.71462
41,48.0,48.036747
42,54.0,47.073917
43,44.66666667,45.65959
44,66.0,51.218506
45,47.0,54.30976
46,35.33333333,46.569416
47,56.0,49.888844
48,55.0,51.280178
49,35.0,46.764248
50,49.0,49.996685
51,36.33333333,46.7423
52,40.0,47.987434
53,40.0,46.33226
54,31.0,51.510048
