,AGGR,0
0,39.63333333,45.23413
1,51.0,45.860134
2,39.0,48.157978
3,37.0,51.13335
4,40.0,51.778805
5,47.3030303,50.98666
6,44.45454545,44.184315
7,49.6,47.14572
8,64.0,60.95976
9,74.0,55.30592
10,47.0,44.78623
11,45.0,53.326435
12,39.0,42.298435
13,47.0,50.63838
14,43.0,43.950478
15,47.66666667,53.172626
16,88.0,60.610043
17,56.0,52.138645
18,41.2,45.357056
19,42.0,52.442406
20,64.0,50.918175
21,39.46666667,49.7441
22,41.0,50.77379
23,37.0,46.495396
24,37.0,38.91475
25,62.0,54.43272
26,51.0,49.05794
27,43.0,40.888763
28,55.66666667,50.96516
29,46.0,45.195248
30,37.0,37.259197
31,39.63333333,50.333897
32,59.36363636,44.25391
33,48.0,43.850395
34,37.0,43.61985
35,50.0,51.173084
36,56.87878788,53.321682
37,81.0,53.915
38,43.3,42.936417
39,37.0,52.618416
40,45.24242424,50.119625
41,51.42424242,52.202824
42,41.96969697,43.32686
43,58.0,49.50178
44,93.0,60.236187
45,75.0,52.47573
46,39.1,47.897747
47,42.0,51.405777
48,47.0,49.414883
49,42.0,45.451813
50,44.0,42.165527
51,48.0,40.380775
52,49.0,54.004898
53,46.93939394,49.237404
54,47.5,49.07375
