,AGGR,0
0,37.0,43.743313
1,44.0,47.636223
2,37.0,46.830143
3,39.0,46.267387
4,45.0,40.926548
5,53.96969697,50.217117
6,41.96969697,44.366573
7,51.90909091,47.46051
8,55.43333333,48.297764
9,41.84848485,43.61392
10,52.0,53.848797
11,62.2,53.01761
12,39.0,50.47459
13,42.0,45.32494
14,53.0,50.479893
15,44.0,52.759457
16,47.0,51.093437
17,43.0,51.91053
18,52.0,49.28667
19,74.0,52.852287
20,48.0,45.184643
21,48.0,48.72272
22,44.0,46.256214
23,72.0,55.876286
24,60.0,56.897152
25,44.0,48.314507
26,42.0,44.017582
27,35.0,38.148193
28,39.48484848,44.419117
29,45.0,51.865185
30,45.0,51.279728
31,37.0,45.26196
32,72.0,57.437996
33,53.0,48.17561
34,48.0,46.152164
35,37.0,43.494774
36,49.0,52.47897
37,39.0,41.84386
38,39.46666667,44.847317
39,44.0,42.667877
40,45.0,47.895775
41,37.0,46.922523
42,47.53333333,45.580353
43,61.84848485,50.26192
44,64.0,53.31464
45,44.0,42.80043
46,89.0,61.621784
47,47.0,54.533085
48,58.0,52.020687
49,94.0,59.154583
50,48.0,50.467648
51,39.63333333,41.495296
52,51.0,44.496616
53,41.0,54.153454
54,71.0,54.972683
55,45.0,53.860023
56,51.0,53.290592
57,47.0,46.118584
58,48.0,39.491802
59,37.0,44.54556
60,58.0,56.438847
61,71.0,55.034836
62,48.0,51.351177
63,50.0,44.830357
64,42.0,49.518192
65,87.0,66.0019
66,58.0,50.495613
67,41.0,45.672405
68,37.0,42.24458
69,49.33333333,52.292507
70,49.0,51.121624
71,48.0,48.787025
72,39.0,41.80023
73,42.33333333,47.62486
74,42.0,49.561604
75,45.4,47.26432
76,43.18181818,40.873325
77,47.0,43.180954
78,49.33333333,48.958397
79,60.1,53.221806
80,62.0,44.246426
81,39.0,48.688152
82,52.0,45.547005
83,45.4,51.30086
84,45.0,48.613514
85,43.0,45.44732
86,41.0,44.594814
87,39.46666667,41.25868
88,44.0,48.089558
89,44.0,50.78714
90,75.78787879,66.60293
91,46.93939394,47.58214
92,37.0,40.94945
93,50.33333333,50.48945
94,49.0,47.774986
95,50.33333333,49.761723
96,41.93333333,45.744823
97,37.0,47.496952
98,43.0,45.468513
99,39.0,44.397076
100,43.0,43.527756
101,43.0,45.763046
102,48.0,39.758453
103,49.0,58.273376
104,37.0,47.716644
105,48.0,48.501568
106,39.0,38.005783
107,37.0,42.25709
108,39.1,47.318935
109,51.90909091,49.075924
110,39.0,45.41418
111,41.96969697,44.914444
112,53.0,49.521263
113,37.0,43.8296
114,59.2,54.755337
115,37.0,44.553932
116,42.0,45.15451
117,37.0,41.94217
118,46.93939394,49.731915
119,39.0,48.746685
120,66.0,55.913242
121,45.0,54.168217
122,37.0,44.565845
123,39.0,45.292034
124,49.6,52.553577
125,45.0,51.239952
126,56.0,57.464336
127,45.0,47.47437
128,53.0,48.825115
129,39.0,43.961235
130,40.0,41.554424
131,37.0,44.91214
132,48.0,45.766994
133,39.0,42.13904
134,39.0,45.528225
135,49.0,49.852528
136,39.0,40.594463
137,37.0,43.827694
138,43.0,53.698578
139,52.0,43.419327
140,51.0,50.732937
141,42.0,41.90557
142,42.0,47.957333
143,45.0,52.60393
144,39.63333333,46.384495
145,37.0,44.61982
146,47.66666667,45.28201
147,37.0,48.64414
148,48.0,52.982117
149,51.54545455,49.014236
150,43.3,50.199787
151,39.46666667,48.636234
152,39.0,41.495285
153,47.0,48.81648
154,45.0,50.32164
155,53.0,53.58037
156,45.0,42.092205
157,37.0,44.910244
158,37.0,36.236217
159,37.0,45.430515
160,43.0,43.403378
161,41.0,43.350525
162,64.0,60.198727
163,37.0,36.510967
164,41.0,41.575188
165,37.0,46.987453
166,40.0,42.793774
167,44.0,46.329815
168,37.0,40.61214
169,66.0,62.477665
170,42.26666667,44.038364
171,42.0,41.53779
172,47.0,44.399014
173,45.0,45.257103
174,39.0,41.8952
175,46.0,58.076843
176,51.0,49.802086
177,54.0,52.808456
178,46.86666667,46.71517
179,55.0,43.385876
180,63.66666667,59.187557
181,41.96969697,43.126175
182,37.0,47.36619
183,49.33333333,46.46209
184,49.6,45.97905
185,47.0,53.295254
186,45.0,44.30439
187,49.0,47.214718
188,50.0,47.96397
189,56.0,50.380547
190,41.2,46.11407
191,37.0,35.138454
192,44.4,50.221497
193,77.0,67.152794
194,44.0,43.70841
195,54.0,51.562115
196,53.8,49.204533
197,43.0,48.43186
198,47.0,53.73993
199,76.0,54.894596
200,41.12121212,42.54287
201,37.0,42.310368
202,47.0,54.398045
203,64.0,53.595592
204,48.0,44.338512
205,50.0,46.202793
206,47.66666667,44.285908
207,59.0,51.621994
208,41.2,44.087082
209,56.87878788,52.359856
210,49.0,47.20593
211,45.0,44.0276
212,56.0,48.074448
213,45.0,42.38127
214,60.0,55.28471
215,64.0,55.874775
216,39.0,45.288914
217,45.0,47.956264
218,44.0,45.66786
219,39.0,47.769756
220,37.0,45.592426
221,62.0,50.54636
222,66.0,63.674114
223,50.0,49.654465
224,58.0,53.255985
225,42.0,50.768345
226,45.0,44.21553
227,44.0,46.107033
228,45.0,45.32352
229,47.0,47.529503
230,46.6969697,45.955173
231,45.0,52.21676
232,40.0,39.030025
233,49.0,51.882526
234,42.26666667,47.10398
235,56.0,54.993877
236,49.0,45.373524
237,39.63333333,41.731373
238,45.0,41.918728
239,57.0,50.534008
240,48.0,51.284966
241,47.0,44.971928
242,42.0,46.59527
243,39.0,39.93678
244,47.0,46.456844
245,44.0,47.84103
246,41.0,49.356937
247,44.0,48.482742
248,43.0,48.309742
249,66.0,51.520355
250,44.45454545,46.292866
251,59.0,48.032845
252,68.0,51.3724
253,39.1,46.005146
254,50.0,46.89407
255,62.0,56.483437
256,44.0,48.26201
257,56.0,60.988995
258,54.0,51.49178
259,37.0,39.39625
260,49.0,46.964188
261,46.86666667,53.35249
262,39.0,46.123737
263,58.0,51.817802
264,42.0,52.525608
265,39.48484848,45.293964
266,41.0,42.562717
267,45.24242424,49.474926
268,48.0,50.58916
269,77.0,65.10345
270,39.0,50.12533
271,52.0,55.598137
272,43.0,51.846985
273,47.0,50.525795
274,37.0,44.71162
275,51.8,52.21681
276,49.6,46.633987
277,47.0,48.763866
278,42.0,50.695007
279,44.0,44.628933
280,39.0,49.43221
281,71.0,55.80799
282,42.0,49.107357
283,48.0,43.628925
284,37.0,53.41933
285,45.0,52.622524
286,53.0,53.014492
287,37.0,41.75319
288,85.0,62.06674
289,56.0,54.1003
290,39.1,44.226078
291,37.0,46.7404
292,37.0,41.397167
293,37.0,44.475487
294,62.0,51.68859
295,37.0,45.244705
296,52.0,48.886066
297,53.0,53.96337
298,37.0,45.224148
299,61.0,48.867634
300,37.0,48.322865
301,39.06060606,42.374466
302,86.0,56.910168
303,39.0,44.99265
304,59.0,49.79382
305,52.0,49.523453
306,48.0,52.39284
307,37.0,46.84393
308,61.0,53.504536
309,50.0,47.62501
310,69.0,60.196407
311,37.0,43.344566
312,49.0,50.18778
313,52.0,49.461227
314,44.45454545,50.62356
315,43.0,39.86897
316,57.0,48.48594
317,50.0,51.105846
318,39.46666667,42.717144
319,51.42424242,47.768265
320,53.0,50.99619
321,79.0,60.42911
322,74.0,66.01524
323,53.0,43.378548
324,45.0,48.794327
325,50.0,53.236607
326,76.0,59.022667
327,61.0,61.045708
328,40.0,45.1694
329,62.0,50.286076
330,39.0,50.368294
331,57.0,49.929287
332,59.0,50.157692
333,49.0,47.605114
334,79.0,64.00938
335,48.0,46.012135
336,44.0,49.024822
337,48.0,44.06516
338,44.4,46.00751
339,54.39393939,52.371
340,49.42424242,45.179085
341,39.0,49.172832
342,42.0,48.846607
343,41.96969697,39.152905
344,43.18181818,46.4814
345,58.0,51.9884
346,43.0,52.84763
347,37.0,46.19933
348,66.81818182,60.97541
349,49.42424242,52.041664
350,43.0,47.233578
351,40.0,48.66651
352,63.33333333,53.353344
353,39.0,45.894268
354,37.0,44.295483
355,72.0,61.20487
356,42.0,42.423283
357,41.0,44.2489
358,39.0,46.08489
359,41.96969697,47.57114
360,47.0,46.227924
361,35.0,47.423035
362,59.0,50.055737
363,44.9,47.538734
364,37.0,44.483982
365,44.0,48.01142
366,59.0,50.798954
367,39.0,45.967022
368,50.0,44.591194
369,42.0,46.866215
370,40.0,42.64045
371,47.0,47.38104
372,41.84848485,46.165607
373,42.0,46.44079
374,41.0,48.26012
375,48.0,47.900738
376,51.42424242,47.18013
377,50.0,55.19502
378,77.0,54.344894
379,52.0,47.223633
380,44.0,45.27846
381,39.66666667,44.330124
382,59.0,51.58742
383,55.0,50.12502
384,49.0,50.738564
385,61.0,49.91716
386,48.0,42.36526
387,47.0,46.806896
388,47.53333333,43.438843
389,47.53333333,43.361633
390,42.0,41.019146
391,41.93333333,45.04008
392,49.0,49.46628
393,40.0,42.567688
394,74.0,62.801365
395,49.0,47.864414
396,55.0,56.288303
397,37.0,41.967495
398,61.84848485,62.279076
399,41.93333333,42.64002
400,45.0,51.631695
401,54.0,50.65661
402,56.0,51.08926
403,49.6,45.81464
404,47.5,51.683746
405,49.0,55.78834
406,45.0,51.218693
407,37.0,43.844772
408,44.9,42.679287
409,44.9,51.187748
410,59.0,57.34744
411,43.0,47.92439
412,42.26666667,44.472515
413,44.9,48.431656
414,35.0,44.651386
415,47.0,46.33749
416,52.93939394,50.114597
417,55.0,48.315517
418,44.0,49.483105
419,37.0,42.84477
420,54.0,48.35243
421,41.0,45.541798
422,45.0,43.87314
423,37.0,45.72886
424,45.0,48.19723
425,66.0,58.123962
426,47.0,52.883717
427,55.9,54.863224
428,44.0,51.66553
429,95.0,67.07011
430,48.0,44.857445
431,69.0,55.029488
432,39.0,44.9071
433,37.0,53.24901
434,42.33333333,48.309994
435,48.0,49.781185
436,40.0,49.02676
437,45.0,47.60944
438,44.0,47.334045
