,ALT,0
0,90.0,81.555504
1,40.0,53.564533
2,90.0,85.01525
3,50.0,76.41178
4,85.0,66.540955
5,80.0,78.25959
6,80.0,87.07675
7,90.0,92.29871
8,45.0,77.94004
9,60.0,68.73265
10,90.0,65.32014
11,60.0,74.09479
12,75.0,69.14393
13,90.0,78.7566
14,10.0,38.037365
15,60.0,69.16669
16,25.0,44.25079
17,75.0,80.47923
18,60.0,60.81505
19,25.0,67.747406
20,95.0,65.11388
21,40.0,55.66155
22,75.0,66.74792
23,35.0,56.377666
24,20.0,57.123753
25,55.0,83.77175
26,70.0,64.118034
27,5.0,47.432537
28,10.0,59.356915
29,70.0,76.93338
30,25.0,59.023174
31,95.0,77.43825
32,75.0,85.63316
33,55.0,76.60428
34,90.0,84.565414
35,65.0,88.639366
36,20.0,60.32549
37,60.0,62.248737
38,90.0,74.17174
39,95.0,71.7452
40,50.0,57.65366
41,45.0,54.940594
42,10.0,61.64284
43,50.0,60.56813
44,65.0,85.06641
45,5.0,47.119694
46,60.0,87.06377
47,90.0,62.861507
48,45.0,68.4004
49,80.0,89.95061
50,35.0,54.029785
51,55.0,68.67328
52,75.0,78.011826
53,5.0,67.46367
54,30.0,68.02786
55,55.0,64.77274
56,45.0,52.637577
57,20.0,52.538315
58,5.0,49.22257
59,90.0,96.92649
60,45.0,61.881557
61,65.0,75.66385
