,ALT,0
0,95.0,89.98604
1,60.0,68.16441
2,45.0,71.04535
3,5.0,63.24631
4,20.0,61.922924
5,45.0,45.48325
6,75.0,70.15209
7,70.0,74.47844
8,40.0,61.546143
9,90.0,89.60078
10,30.0,77.85936
11,65.0,68.60608
12,70.0,76.57445
13,40.0,58.853855
14,55.0,72.548096
15,50.0,65.55662
16,40.0,65.67401
17,55.0,70.97313
18,90.0,79.065094
19,40.0,62.232327
20,95.0,81.063774
21,90.0,79.33262
22,65.0,75.838196
23,45.0,56.589043
24,90.0,75.33736
25,15.0,69.51941
26,45.0,64.65408
27,30.0,54.948006
28,95.0,73.99597
29,10.0,68.481285
30,90.0,85.21398
31,65.0,77.356255
32,40.0,67.67723
33,75.0,78.555916
34,5.0,64.64546
35,90.0,81.95856
36,45.0,57.618877
37,20.0,58.965187
38,55.0,68.53621
39,70.0,83.64492
40,90.0,71.887344
41,90.0,90.308205
42,90.0,95.03838
43,80.0,52.66957
44,70.0,70.53847
45,95.0,85.404495
46,70.0,72.530624
47,45.0,79.52473
48,60.0,69.661476
49,5.0,10.899962
50,60.0,70.580734
51,30.0,56.798496
52,90.0,93.434845
53,65.0,73.4871
54,45.0,63.126373
55,35.0,60.415077
56,50.0,57.262115
57,55.0,71.64938
58,30.0,66.32497
59,90.0,85.21446
60,90.0,80.91516
61,80.0,66.82267
62,80.0,79.91396
63,80.0,77.9336
64,70.0,81.425385
65,85.0,90.360855
66,80.0,72.90505
67,75.0,79.48123
68,65.0,75.07694
69,45.0,56.92467
70,60.0,80.72275
71,30.0,61.591377
72,45.0,53.93182
73,10.0,61.99333
74,90.0,83.90724
75,50.0,62.13706
76,60.0,67.920135
77,30.0,59.705124
78,95.0,98.246284
79,90.0,73.15695
80,95.0,70.63426
81,70.0,69.22189
82,50.0,70.73419
83,45.0,55.491985
84,10.0,61.72876
85,75.0,84.35589
86,45.0,58.622353
87,65.0,65.66289
88,20.0,32.34638
89,65.0,76.91736
90,30.0,55.00953
91,85.0,85.050735
92,30.0,65.25227
93,80.0,68.578026
94,70.0,74.642265
95,45.0,60.818752
96,80.0,68.1347
97,70.0,74.23065
98,25.0,70.84862
99,90.0,92.130394
100,90.0,78.89393
101,90.0,76.08763
102,90.0,67.74199
103,5.0,59.85738
104,80.0,87.793655
105,30.0,59.729263
106,40.0,59.832043
107,5.0,54.396454
108,55.0,60.751125
109,5.0,44.71301
110,80.0,64.91698
111,15.0,44.990658
112,70.0,78.840126
113,80.0,70.67158
114,70.0,76.00894
115,30.0,76.17063
116,15.0,82.83047
117,70.0,81.13867
118,45.0,74.09715
119,95.0,65.80953
120,75.0,78.77528
121,95.0,91.58386
122,90.0,76.88261
123,95.0,76.11043
124,85.0,78.91532
125,75.0,76.68267
126,80.0,77.83439
127,95.0,74.5478
128,25.0,74.106705
129,80.0,76.04937
130,50.0,61.23373
131,5.0,68.38806
132,80.0,75.57325
133,80.0,77.29374
134,35.0,55.443756
135,90.0,77.4302
136,15.0,62.19083
137,5.0,62.822197
138,50.0,60.7612
139,75.0,71.04036
140,50.0,65.35794
141,95.0,69.43967
142,65.0,71.833206
143,35.0,77.1468
144,25.0,73.27505
145,85.0,78.876335
146,35.0,68.74531
147,80.0,64.92018
148,45.0,59.254566
149,20.0,60.145157
150,80.0,66.35058
151,60.0,79.947266
152,45.0,57.241898
153,30.0,55.14579
154,40.0,63.86935
155,55.0,63.20918
156,45.0,64.83173
157,95.0,91.82858
158,65.0,79.49521
159,55.0,67.45126
160,80.0,80.41379
161,90.0,70.08241
162,85.0,81.07742
163,50.0,56.07545
164,70.0,80.278465
165,10.0,46.276157
166,10.0,72.29808
167,95.0,79.17287
168,95.0,80.59578
169,95.0,79.72185
170,55.0,75.82745
171,40.0,69.934006
172,45.0,63.233856
173,10.0,55.36984
