,ALT,0
0,90.0,83.19916
1,85.0,63.27767
2,65.0,61.512444
3,80.0,84.77384
4,55.0,72.42782
5,60.0,77.80183
6,45.0,61.798893
7,30.0,57.472225
8,15.0,48.57518
9,45.0,53.500324
10,95.0,81.82849
11,45.0,57.918087
12,70.0,62.030964
13,65.0,65.94172
14,90.0,66.05133
15,60.0,67.0941
16,55.0,61.14683
17,80.0,84.40104
18,85.0,70.65834
19,25.0,63.620834
20,10.0,35.70497
21,90.0,89.21838
22,30.0,43.56891
23,40.0,53.01456
24,45.0,60.339584
25,70.0,76.94937
26,55.0,65.29279
27,75.0,75.263855
28,75.0,77.15863
29,55.0,75.65642
30,15.0,53.332924
31,55.0,72.18654
32,95.0,89.11296
33,85.0,93.09041
34,65.0,71.09827
35,40.0,55.075478
36,65.0,71.48541
37,90.0,94.459915
38,35.0,58.38406
39,80.0,71.13325
40,35.0,65.41207
41,5.0,42.27707
42,15.0,77.63017
43,90.0,60.066387
44,50.0,62.72568
45,60.0,67.44984
46,80.0,72.36207
47,15.0,50.934517
48,65.0,69.136375
49,60.0,60.501644
50,45.0,58.740646
51,95.0,96.95086
52,90.0,88.25382
53,50.0,56.016872
54,80.0,81.07427
55,30.0,51.574783
56,55.0,69.35805
57,30.0,63.892223
58,55.0,67.88017
59,45.0,53.859745
60,95.0,100.75618
61,70.0,79.6619
