,AMBIG,0
0,73.0,26.18125
1,4.0,28.21273
2,50.0,25.410112
3,37.0,28.35148
4,41.0,29.57742
5,15.0,26.75454
6,52.0,25.987791
7,20.0,25.844698
8,0.0,25.158525
9,60.0,29.183277
10,51.0,27.16255
11,9.0,24.740229
12,12.0,27.291552
13,40.0,27.101652
14,7.0,25.842861
15,82.0,30.944174
16,9.0,27.506714
17,1.0,26.83355
18,25.0,26.242348
19,30.0,25.084505
20,8.0,27.760008
21,9.0,22.08127
22,10.0,22.698038
23,23.0,23.98922
24,52.0,30.817192
25,71.0,30.125082
26,9.0,28.211622
27,2.0,23.352097
28,2.0,23.380396
29,0.0,26.045296
30,6.0,25.281084
31,27.0,25.9
32,60.0,32.134823
33,30.0,25.434832
34,56.0,28.733952
35,51.0,25.946278
36,11.0,26.395927
37,51.0,29.780785
38,51.0,26.696104
39,50.0,30.247221
