,AMBIG,0
0,52.0,27.488787
1,8.0,21.328846
2,61.0,28.026163
3,10.0,25.410946
4,30.0,29.357012
5,16.0,26.77296
6,0.0,24.513678
7,100.0,31.150726
8,70.0,29.085186
9,5.0,23.184944
10,13.0,24.212513
11,31.0,25.23361
12,3.0,21.18303
13,11.0,27.752811
14,5.0,25.326025
15,87.0,33.13365
16,51.0,28.129787
17,50.0,26.824732
18,37.0,28.95847
19,11.0,25.031143
20,11.0,27.348372
21,42.0,28.820961
22,30.0,24.419115
23,10.0,24.547316
24,13.0,24.237534
25,42.0,22.75754
26,10.0,24.65855
27,89.0,33.28897
28,90.0,30.131386
29,1.0,24.123186
30,75.0,30.80105
31,54.0,32.33797
32,16.0,25.839258
33,1.0,25.826551
34,61.0,29.470633
35,10.0,25.917986
36,5.0,24.345556
37,63.0,28.770369
38,50.0,27.27959
39,51.0,28.53515
40,35.0,28.171797
41,20.0,23.61879
42,10.0,25.934956
43,15.0,24.275232
44,1.0,25.043425
45,7.0,22.137756
46,35.0,25.145773
47,53.0,28.950893
48,30.0,28.483152
49,50.0,28.813238
50,25.0,28.273392
51,40.0,27.790617
52,53.0,27.79815
53,70.0,28.989456
54,41.0,27.237146
55,71.0,31.66508
56,5.0,26.525251
57,50.0,30.658447
58,28.0,25.329752
59,39.0,26.828976
60,49.0,26.045868
61,45.0,28.596907
62,8.0,20.880976
63,43.0,28.391165
64,1.0,24.350899
65,100.0,31.208946
66,10.0,23.881342
67,16.0,26.101446
68,9.0,28.483028
69,1.0,26.990534
70,1.0,24.794401
71,2.0,23.410458
72,94.0,31.39246
73,71.0,28.428762
74,11.0,26.660074
75,30.0,30.545095
76,24.0,23.885248
77,50.0,29.47423
78,50.0,31.815872
79,62.0,30.794348
80,71.0,30.32468
81,6.0,23.925497
82,18.0,26.979528
83,50.0,29.187365
84,11.0,25.902842
85,30.0,25.88792
86,2.0,25.367472
87,39.0,30.64211
88,50.0,28.121082
89,7.0,26.851608
90,52.0,28.603983
91,45.0,30.932604
92,51.0,31.661743
93,60.0,27.18504
94,50.0,27.66465
95,13.0,26.079813
96,1.0,27.340504
97,15.0,26.419233
98,21.0,25.20902
99,6.0,24.294027
100,54.0,26.419876
101,3.0,28.974514
102,20.0,25.181747
103,50.0,28.251162
104,71.0,29.602097
105,65.0,28.39372
106,65.0,28.033342
107,39.0,30.237389
108,70.0,29.596619
109,22.0,27.708023
110,5.0,22.2601
111,11.0,19.295717
112,91.0,26.892096
113,1.0,30.284552
114,18.0,26.833652
115,18.0,28.786432
116,74.0,33.228535
117,54.0,28.585634
118,31.0,24.95573
119,59.0,27.805712
120,40.0,29.668419
121,51.0,27.678165
122,13.0,26.774286
123,18.0,28.442759
124,1.0,26.004074
125,46.0,23.79365
126,41.0,28.3355
127,100.0,33.342796
128,50.0,28.713003
129,24.0,27.7705
130,10.0,26.101337
131,28.0,28.70153
132,11.0,28.334705
133,62.0,31.04662
134,52.0,29.126219
135,12.0,26.668617
136,50.0,26.169836
137,13.0,27.412775
138,50.0,32.034355
139,15.0,24.52239
140,91.0,33.651337
141,46.0,28.835827
142,52.0,27.544792
143,30.0,24.629335
144,30.0,27.513922
145,50.0,29.625237
146,51.0,29.011786
147,46.0,29.508429
148,32.0,24.59281
149,74.0,29.78391
150,40.0,27.13444
151,1.0,26.328701
152,66.0,29.997318
153,56.0,29.558126
154,17.0,27.845509
155,50.0,29.556719
156,51.0,31.87583
157,0.0,23.241804
158,7.0,27.309982
159,21.0,27.929777
160,40.0,31.069803
161,80.0,29.4378
162,25.0,28.053919
163,41.0,27.310026
164,60.0,30.740984
165,22.0,27.956266
166,86.0,30.919363
167,58.0,30.256504
168,51.0,28.903048
169,12.0,22.732828
170,7.0,27.023056
171,1.0,25.417364
172,40.0,33.16509
173,82.0,30.699541
174,38.0,26.76789
175,51.0,26.485346
176,2.0,25.049643
177,30.0,24.359518
178,10.0,26.762836
179,4.0,27.368423
180,20.0,23.989103
181,2.0,23.531738
182,22.0,26.93581
