,AMBIG,0
0,71.0,30.139729
1,26.0,30.614586
2,9.0,28.333803
3,63.0,29.566639
4,0.0,24.053385
5,60.0,32.197315
6,77.0,34.398838
7,5.0,26.095276
8,51.0,28.295977
9,0.0,24.540697
10,66.0,32.759975
11,65.0,29.264896
12,32.0,28.070297
13,1.0,22.568642
14,2.0,25.806189
15,51.0,28.464117
16,94.0,29.127508
17,85.0,32.09167
18,36.0,29.048899
19,50.0,28.001463
20,20.0,25.114103
21,58.0,25.689285
22,25.0,25.38665
23,12.0,27.763493
24,69.0,29.367254
25,39.0,27.17724
26,40.0,22.965418
27,33.0,28.543156
28,30.0,25.409492
29,49.0,29.485895
30,10.0,27.49185
31,9.0,26.141531
32,60.0,30.292437
33,51.0,27.252884
34,42.0,30.141453
35,12.0,21.274523
36,1.0,26.452589
37,21.0,28.165756
38,30.0,31.599987
39,20.0,27.309963
40,55.0,29.120155
