,ANG_CONT,0
0,64.0,52.81267
1,59.0,55.2943
2,67.0,61.928604
3,54.0,57.608864
4,66.0,63.631386
5,61.0,60.14409
6,51.0,58.871216
7,57.0,54.83087
8,57.0,55.923103
9,54.0,55.03753
10,62.0,59.61172
11,71.0,60.72417
12,59.0,56.652077
13,56.0,58.13618
14,49.0,53.36266
15,51.0,50.303856
16,61.0,59.432026
17,57.0,56.551636
18,57.0,54.27029
19,62.0,57.802925
20,62.0,58.156857
21,59.0,58.450874
22,57.0,57.494667
23,54.0,57.798283
24,54.0,53.602097
25,57.0,56.3145
26,62.0,57.534958
27,57.0,57.875187
28,52.0,54.220257
29,46.0,54.848114
30,59.0,57.257954
31,59.0,58.344036
32,52.0,54.79591
33,56.0,55.719955
34,56.0,58.482777
35,46.0,56.90261
36,67.0,57.337814
37,51.0,51.308884
38,62.0,58.826157
39,62.0,59.01531
40,52.0,55.11649
41,66.0,53.79847
42,64.0,61.81135
43,54.0,54.47515
44,59.0,56.888416
45,62.0,56.58355
46,54.0,58.870552
47,54.0,54.445305
48,67.0,59.708256
49,57.0,56.85264
50,54.0,53.180527
51,56.0,57.021767
52,64.0,63.73844
53,59.0,58.5951
54,54.0,57.52777
