,ANG_CONT,0
0,74.0,55.298878
1,61.0,58.046425
2,59.0,57.759037
3,51.0,52.925026
4,59.0,57.540123
5,52.0,54.9232
6,47.0,56.660793
7,57.0,56.9183
8,64.0,56.947487
9,66.0,56.7828
10,57.0,56.76032
11,56.0,58.866135
12,59.0,57.20714
13,61.0,55.271633
14,57.0,58.069157
15,56.0,54.687073
16,67.0,63.79966
17,56.0,55.78275
18,62.0,57.25965
19,57.0,57.553734
20,61.0,58.995407
21,56.0,58.02082
22,61.0,59.77481
23,62.0,58.6474
24,66.0,56.46511
25,61.0,57.223484
26,46.0,56.37303
27,62.0,60.679253
28,62.0,59.77069
29,59.0,58.74983
30,62.0,56.663605
31,54.0,54.693928
32,56.0,55.128468
33,64.0,63.426773
34,62.0,62.38566
35,62.0,61.436176
36,62.0,58.511787
37,62.0,56.734505
38,49.0,52.381664
39,66.0,63.466824
40,66.0,60.129482
41,62.0,56.066277
42,61.0,55.15504
43,62.0,58.908783
44,52.0,56.720406
45,61.0,58.80946
46,59.0,57.144268
47,59.0,59.18687
48,52.0,51.85976
49,51.0,51.00107
50,67.0,58.020622
51,76.0,58.525963
52,62.0,61.030937
53,61.0,59.52987
54,46.0,53.519184
