,ANHEDONIA,0
0,0.0,10.478932
1,2.0,17.9063
2,2.25,16.5696
3,0.25,7.1433644
4,1.0,14.153042
5,0.75,9.559244
6,0.0,12.371846
7,0.0,7.497663
8,1.0,9.839045
9,0.0,6.886604
10,0.75,14.380544
11,0.5,12.358317
12,0.0,8.077776
13,2.5,14.474146
14,0.75,12.893082
15,0.75,13.416572
16,0.0,10.502431
17,1.0,15.249375
18,0.0,14.415948
19,0.25,11.958734
20,0.0,6.8767595
21,0.0,3.099094
22,1.25,7.852991
23,0.0,8.652501
24,0.0,5.756365
25,2.0,14.521977
26,1.5,13.086106
27,0.0,13.503243
28,0.0,11.638947
29,0.0,10.405942
30,0.0,3.9969544
31,1.0,10.359079
32,0.0,6.259534
33,1.0,8.481173
34,2.5,15.316935
35,0.25,12.208602
36,0.0,9.001042
37,0.5,9.961819
38,0.0,11.596312
39,0.0,7.7244015
40,0.0,10.276346
41,0.0,10.081228
42,0.0,10.712639
43,0.25,9.897166
44,0.5,12.423316
45,1.5,8.61388
46,0.0,5.019017
47,2.5,15.518385
48,0.5,9.966776
49,0.0,9.489799
50,0.0,7.20212
51,0.0,12.674304
