,ANHEDONIA,0
0,1.0,14.372714
1,0.25,11.97569
2,0.0,8.267432
3,0.0,11.396672
4,0.25,8.875081
5,0.0,9.731179
6,0.75,12.484395
7,0.75,14.298824
8,0.25,10.408095
9,2.0,15.025509
10,0.25,11.771725
11,0.0,10.080692
12,0.0,10.638661
13,0.5,8.204426
14,0.0,11.4191265
15,0.0,5.808541
16,0.5,4.913581
17,0.0,9.098734
18,0.5,11.98738
19,0.0,5.8711114
20,0.25,7.044976
21,0.25,5.8337235
22,1.0,8.49137
23,0.0,10.327707
24,1.0,14.808875
25,0.0,9.596714
26,0.0,6.179122
27,1.25,12.837041
28,0.0,11.091462
29,0.0,9.633592
30,0.25,9.7559595
31,1.75,14.229499
32,0.0,10.902732
33,0.5,14.33768
34,0.75,10.655885
35,1.0,16.602825
36,0.0,9.677154
37,1.0,13.713504
38,2.75,15.843326
39,0.0,10.352616
40,0.0,8.797399
41,0.0,11.522299
42,0.25,11.05207
43,0.25,14.484475
44,0.25,12.63062
45,0.75,13.436551
46,0.0,8.621671
47,0.0,14.1382065
48,1.0,8.338597
49,0.0,15.367672
50,0.25,11.093299
51,2.25,15.701309
52,0.0,11.838016
53,0.25,10.328334
54,0.0,10.949439
55,0.0,11.886541
56,0.5,8.624673
57,1.25,11.367451
58,1.5,15.075145
59,0.0,12.642278
60,0.0,7.9708767
61,0.0,9.662525
62,0.0,10.489386
63,0.75,15.600325
64,0.0,10.694982
65,0.75,8.655037
66,0.5,13.291879
67,0.75,10.028562
68,0.5,9.971379
69,0.0,8.992748
70,1.0,14.348747
71,0.0,10.720841
72,1.25,13.15064
73,0.0,9.918384
74,0.75,13.346889
75,1.5,8.403799
76,1.75,14.728098
77,0.0,9.562034
78,0.5,11.878264
79,0.0,9.936898
80,0.5,13.853536
81,0.0,9.511583
82,0.0,12.589072
83,0.75,13.372106
84,0.0,11.036466
85,0.5,15.499387
86,0.0,8.398513
87,0.75,17.673582
88,0.75,9.358428
89,1.0,13.96923
90,0.0,8.767743
91,0.0,13.664836
92,0.0,10.2149935
93,0.75,10.688657
94,0.0,9.009978
95,1.75,7.8179197
96,0.75,12.028879
97,0.0,9.636819
98,0.0,8.5759325
99,0.0,11.526732
100,0.75,13.263164
101,0.0,9.471577
102,0.0,11.5540495
103,0.75,13.303673
104,0.5,9.978309
105,0.0,11.40745
106,0.0,7.9743767
107,0.0,7.4969974
108,0.0,7.6539593
109,0.25,11.094236
110,0.0,8.174046
111,1.75,15.349458
112,0.25,8.00233
113,0.75,12.221089
114,0.0,10.662183
115,0.0,13.896356
116,0.25,9.087403
117,1.5,16.567554
118,1.25,12.284862
119,0.0,8.542001
120,2.25,17.511814
121,0.0,10.486436
122,0.75,10.194286
123,0.0,9.016967
124,1.75,15.020043
125,0.0,11.437919
126,0.25,9.045842
127,0.0,13.15324
128,0.5,12.578257
129,0.0,10.244599
130,0.25,11.867516
131,1.5,18.594719
132,1.0,14.921764
133,0.0,10.594588
134,0.0,7.2348833
135,0.5,9.621575
136,1.5,16.793661
137,0.0,10.906516
138,0.25,7.675731
139,0.0,10.334763
140,2.0,13.769946
141,0.5,12.294356
142,0.25,9.344947
143,1.75,14.141505
144,0.25,10.054145
145,0.0,7.4112167
146,1.5,14.790934
147,0.0,8.633494
148,0.0,12.086352
149,2.0,18.983055
150,0.0,8.298385
151,0.0,10.232161
152,0.0,12.038491
153,0.0,6.4827137
154,0.5,14.023673
155,0.25,10.212803
156,2.25,16.141264
157,1.5,14.126117
158,0.0,10.36403
159,0.0,11.331902
160,0.0,13.1760645
161,0.0,9.501615
162,0.25,11.868015
163,1.25,9.846496
164,0.75,11.679172
165,0.0,11.063619
166,0.25,9.994937
167,0.0,10.025163
168,0.5,6.8399525
169,0.0,10.9317045
170,0.0,11.268386
171,0.5,9.63447
172,1.5,15.10546
173,0.0,10.489549
174,0.0,12.296031
175,0.75,12.48401
176,0.0,10.057218
177,0.75,12.003131
178,0.75,13.042113
179,0.0,9.90083
180,0.0,6.546508
181,0.25,8.791276
182,0.75,13.025983
183,0.5,9.845028
184,0.0,8.38834
185,1.75,12.741486
186,0.0,9.494418
187,0.0,8.350572
188,0.0,10.583037
189,0.0,6.783592
190,1.25,14.112445
191,0.0,10.12301
192,1.25,14.096526
193,0.0,8.617641
194,0.0,6.613882
195,1.0,7.4039793
196,0.0,10.549459
197,0.0,12.400867
198,0.75,14.562778
199,0.0,9.531843
200,0.25,10.409387
201,1.0,16.071957
202,0.0,10.044914
203,0.25,12.195569
204,0.0,7.488165
205,0.0,12.095895
206,0.25,11.629436
207,0.0,8.748658
208,1.25,5.6498475
209,0.5,15.39338
210,1.75,13.931621
211,0.0,6.5509324
212,0.0,10.899264
213,0.0,10.77884
214,0.25,11.982684
215,0.75,11.396541
216,1.25,11.386878
217,0.5,15.439782
218,0.0,8.915698
219,0.0,9.81713
220,0.5,11.157474
221,1.0,15.201038
222,0.0,8.852059
223,0.0,8.110849
224,0.0,7.2365847
225,0.0,11.967515
226,1.75,16.920097
227,0.5,10.491258
228,0.0,9.123863
229,0.25,9.076575
230,0.75,11.294442
231,0.75,11.932027
232,1.0,10.576739
233,0.0,9.961055
234,0.0,10.418098
235,0.5,8.7457
236,0.0,10.943964
237,0.5,11.754428
238,0.0,11.029515
239,1.25,14.2516775
240,0.0,10.326339
241,1.5,13.134992
242,0.0,3.548761
243,0.25,8.778443
244,0.0,6.0696526
245,0.75,12.399797
246,0.75,11.683742
247,0.0,7.091999
248,0.0,9.49403
249,0.25,13.232514
250,0.5,13.943362
251,0.25,10.835402
252,0.0,8.314578
253,0.0,7.219496
254,0.0,11.869267
255,0.0,8.555685
256,0.0,6.7513404
257,1.25,13.733129
258,0.75,12.172171
259,2.75,15.510598
260,0.75,14.35899
261,0.75,6.316385
262,0.25,7.175686
263,0.0,10.733207
264,0.75,10.9653425
265,0.0,10.894075
266,2.25,14.242927
267,0.0,10.925435
268,0.0,8.898844
269,0.0,7.996735
270,0.75,7.2321672
271,0.5,10.763686
272,0.0,9.702732
273,0.75,8.706523
274,0.0,4.6897507
275,0.0,7.2070007
276,0.5,6.7505665
277,0.0,8.379765
278,0.75,8.086795
279,0.25,7.1543856
280,0.0,6.7788024
281,0.0,13.084093
282,0.0,6.131235
283,0.25,8.297618
284,0.75,13.590863
285,0.0,10.654586
286,0.75,12.75564
287,0.75,7.198724
288,0.5,9.058211
289,0.25,12.604483
290,0.5,12.278534
291,0.0,8.313996
292,0.0,9.621964
293,1.75,15.602584
294,0.5,11.105639
295,0.0,9.871576
296,0.0,10.564164
297,0.5,8.914393
298,0.75,12.160641
299,0.0,9.168227
300,0.5,7.373094
301,0.75,14.189915
302,0.5,12.953895
303,2.0,13.704158
304,0.5,13.074788
305,0.0,11.379897
306,0.0,12.7832365
307,0.75,13.900907
308,0.25,12.955464
309,0.0,7.262247
310,0.0,9.022505
311,1.0,11.840999
312,0.0,9.789678
313,1.5,14.042947
314,0.0,8.442091
315,0.0,12.227556
316,0.75,13.392768
317,2.25,11.755097
318,0.25,7.2341332
319,0.25,10.272196
320,2.0,14.316306
321,1.0,14.064023
322,2.25,14.374652
323,0.5,12.823845
324,0.0,10.685494
325,0.0,6.6346684
326,0.0,12.4574
327,0.0,10.062323
328,0.0,11.781789
329,0.75,13.593041
330,0.25,9.242728
331,2.25,17.039093
332,0.75,13.023517
333,0.25,8.987773
334,1.75,14.43294
335,0.0,9.78407
336,0.25,10.170905
337,1.0,11.299655
338,0.0,10.537472
339,0.25,13.730243
340,0.0,9.157445
341,0.0,10.989022
342,0.0,9.118974
343,0.0,8.796002
344,0.0,12.861144
345,0.25,9.391849
346,0.0,11.418523
347,0.0,10.811197
348,0.0,6.5524526
349,1.0,12.904716
350,0.25,11.618056
351,0.5,11.411229
352,0.0,10.040303
353,0.0,10.580781
354,0.25,7.8788137
355,0.0,0.806264
356,0.0,11.021706
357,0.0,7.7860928
358,0.0,12.112329
359,0.75,13.15305
360,0.75,13.156847
361,0.0,10.659161
362,0.75,13.113011
363,0.75,13.283852
364,1.75,15.023581
365,0.0,11.405574
366,0.0,9.794275
367,0.75,14.088829
368,2.0,12.26445
369,0.0,9.370699
370,0.0,8.097599
371,2.0,15.719985
372,0.0,6.6061125
373,0.25,11.546868
374,0.0,11.823092
375,1.0,15.096884
376,0.0,6.1701794
377,0.0,7.8956957
378,0.5,11.069909
379,1.5,16.127563
380,1.75,13.152763
381,1.5,4.9450607
382,0.0,12.267024
383,0.0,8.517279
384,0.75,9.082456
385,0.0,8.752883
386,0.0,15.366279
387,0.0,11.746015
388,1.25,14.41438
389,0.0,8.727485
390,1.25,14.310554
391,0.0,8.51257
392,0.25,8.648456
393,0.0,12.365153
394,0.0,12.383738
395,0.25,11.394694
396,0.5,16.881828
397,2.75,15.2282715
398,0.75,12.540423
399,0.25,9.493139
400,0.0,12.628783
401,0.5,10.906058
402,0.25,10.915582
403,0.25,7.367382
404,0.0,10.994262
405,0.25,11.814498
406,0.0,6.9820275
407,0.25,11.853532
408,0.0,7.9558964
409,0.25,10.808044
410,2.25,14.703735
411,3.0,17.009787
412,1.25,15.067002
413,1.25,15.009194
414,1.75,14.75058
415,0.5,6.8999243
