,ANT,0
0,5.0,82.62682
1,50.0,96.06468
2,5.0,93.91909
3,65.0,90.1723
4,85.0,90.85523
5,30.0,93.3499
6,75.0,96.61044
7,20.0,94.34971
8,40.0,102.72468
9,95.0,93.662636
10,65.0,96.72128
11,55.0,88.698784
12,40.0,89.51837
13,95.0,100.44302
14,10.0,87.18413
15,30.0,87.56971
16,5.0,74.296616
17,65.0,97.007484
18,95.0,92.54621
19,5.0,78.20965
20,40.0,86.49219
21,65.0,85.72906
22,20.0,83.9501
23,10.0,91.54269
24,65.0,88.905464
25,5.0,72.35314
26,65.0,80.58429
27,80.0,95.37787
28,95.0,104.26918
29,65.0,95.59418
30,10.0,91.97148
31,5.0,80.07805
32,65.0,101.903206
33,75.0,91.22731
34,5.0,95.89112
35,95.0,99.94599
36,65.0,92.717
37,50.0,92.42988
38,85.0,94.91063
39,85.0,114.640495
40,5.0,81.45114
41,95.0,95.300705
42,55.0,88.40079
43,20.0,79.71956
44,30.0,84.57714
45,20.0,91.785324
46,30.0,79.981964
47,95.0,99.76922
48,30.0,87.71526
49,30.0,95.529076
50,30.0,85.96307
51,15.0,94.04239
