,ANT,0
0,55.0,95.42619
1,30.0,89.71139
2,5.0,75.68493
3,5.0,90.73165
4,40.0,96.64818
5,50.0,99.7479
6,40.0,87.84373
7,75.0,90.76349
8,50.0,87.916
9,40.0,81.088715
10,40.0,86.13946
11,75.0,87.95334
12,15.0,76.63289
13,75.0,91.7205
14,5.0,90.973175
15,20.0,91.670074
16,65.0,96.38536
17,5.0,78.80429
18,80.0,101.56812
19,65.0,98.127174
20,30.0,81.46346
21,95.0,93.728516
22,50.0,92.38656
23,15.0,87.932
24,55.0,92.32802
25,5.0,78.2101
26,5.0,87.030945
27,10.0,74.42621
28,65.0,94.17244
29,40.0,98.37717
30,30.0,82.24813
31,20.0,90.02963
32,20.0,79.01873
33,75.0,96.65459
34,75.0,94.11319
35,40.0,93.75039
36,75.0,100.90063
37,10.0,73.96509
38,10.0,70.06388
39,5.0,70.91238
40,65.0,95.21122
41,10.0,77.60281
42,80.0,94.58052
43,95.0,90.15778
44,65.0,90.84194
45,80.0,95.656334
46,5.0,84.99933
47,30.0,83.64187
48,40.0,97.29798
49,55.0,103.03712
50,5.0,75.823746
51,55.0,101.375015
52,50.0,88.10096
53,65.0,97.64814
54,15.0,64.42817
55,30.0,93.293755
56,80.0,94.2989
57,5.0,88.220085
58,80.0,91.92778
59,95.0,97.87903
60,65.0,94.21895
61,95.0,96.171364
62,80.0,93.213715
63,80.0,86.46218
64,30.0,77.85172
65,5.0,82.69799
66,40.0,89.201
67,50.0,95.846725
68,5.0,81.82859
69,5.0,84.2367
70,55.0,96.88925
71,50.0,93.121666
72,65.0,95.06912
73,15.0,88.11775
74,55.0,86.37796
75,30.0,91.13006
76,30.0,83.905205
77,20.0,90.12205
78,20.0,85.62006
79,55.0,95.16319
80,40.0,89.05296
81,95.0,96.05837
82,55.0,87.357704
83,55.0,86.16068
84,85.0,95.147896
85,65.0,96.10425
86,65.0,87.07847
87,5.0,64.80234
88,80.0,94.122536
89,95.0,94.80172
90,30.0,94.89469
91,30.0,87.196365
92,40.0,91.849396
93,30.0,94.057594
94,5.0,81.35155
95,65.0,91.166306
96,20.0,89.254684
97,5.0,85.20408
98,30.0,87.54351
99,50.0,81.812584
100,10.0,87.74257
101,5.0,85.196335
102,55.0,97.22951
103,80.0,94.006294
104,5.0,81.48428
105,95.0,97.10991
106,10.0,89.21612
107,65.0,87.471405
108,30.0,92.64554
109,30.0,83.28288
110,5.0,88.8262
111,95.0,94.08802
112,5.0,83.178276
113,5.0,81.89277
114,30.0,85.21552
115,80.0,96.86532
116,30.0,94.0331
117,95.0,90.59967
118,30.0,88.9715
119,95.0,100.97781
120,65.0,84.79075
121,20.0,79.320816
122,15.0,78.12518
123,80.0,98.631355
124,95.0,95.59259
125,15.0,80.05526
126,5.0,86.95561
127,50.0,74.769775
128,40.0,90.5461
129,15.0,93.34336
130,50.0,80.50656
131,55.0,88.42261
132,50.0,84.887146
133,95.0,97.4259
134,65.0,91.678185
135,50.0,84.38271
136,65.0,95.96517
137,5.0,85.14804
138,80.0,98.30386
139,15.0,88.462524
140,15.0,94.145836
141,20.0,87.721
142,30.0,82.19741
143,30.0,90.542015
144,95.0,84.39006
145,85.0,94.48983
146,55.0,89.50424
147,50.0,89.45662
148,65.0,94.11234
149,20.0,78.3012
150,20.0,88.261215
151,20.0,90.299866
152,5.0,83.01539
153,80.0,93.567245
154,5.0,87.11463
155,5.0,90.61444
156,95.0,100.69744
157,95.0,96.62885
158,20.0,73.46723
159,30.0,78.85311
160,30.0,86.88432
161,30.0,88.511314
162,15.0,81.924385
163,15.0,89.74808
164,30.0,83.17248
165,50.0,84.304596
166,95.0,109.1856
167,15.0,81.64711
168,75.0,96.03588
169,80.0,96.0668
170,75.0,98.24688
171,30.0,101.14544
172,65.0,97.87806
173,95.0,91.73175
174,55.0,93.865585
175,30.0,78.02737
176,5.0,89.29253
177,30.0,89.251335
178,55.0,88.184654
179,55.0,99.75221
180,40.0,69.42671
181,30.0,76.43928
182,5.0,88.08122
183,80.0,94.80534
184,20.0,78.086876
185,40.0,89.51824
186,75.0,94.9767
187,40.0,85.44027
188,30.0,85.80417
189,55.0,98.61215
190,40.0,92.499695
191,50.0,92.22723
192,30.0,75.1984
193,5.0,87.69293
194,30.0,99.6995
195,5.0,82.546745
196,5.0,80.22321
197,50.0,92.01468
198,5.0,75.832634
199,50.0,81.39331
200,30.0,86.74383
201,5.0,81.51605
202,15.0,88.21989
203,15.0,74.114296
204,5.0,69.20123
205,50.0,88.057045
206,10.0,84.76547
207,5.0,70.893776
208,65.0,92.32297
209,5.0,76.27165
210,10.0,84.9005
211,50.0,91.03629
212,15.0,90.55167
213,85.0,96.90567
214,50.0,95.7749
215,5.0,93.60697
216,5.0,83.68647
217,75.0,93.5515
218,85.0,90.58854
219,55.0,82.20832
220,95.0,83.71108
221,85.0,92.84627
222,75.0,92.03332
223,15.0,90.577415
224,55.0,83.41905
225,40.0,87.11353
226,5.0,75.081345
227,5.0,91.0708
228,95.0,97.80908
229,50.0,92.72529
230,65.0,100.99306
231,55.0,91.27277
232,15.0,89.44282
233,30.0,87.269264
234,15.0,89.14389
235,80.0,104.20886
236,5.0,83.08593
237,30.0,83.12968
238,65.0,88.52855
239,5.0,79.336555
240,55.0,84.853806
241,40.0,75.93337
242,50.0,91.17994
243,5.0,85.49038
244,15.0,77.391594
245,95.0,99.00992
246,80.0,93.770386
247,50.0,86.13376
248,20.0,75.262
249,55.0,86.168724
250,80.0,95.457245
251,65.0,75.83657
252,65.0,87.01848
253,50.0,99.32428
254,65.0,96.117355
255,5.0,87.15703
256,75.0,84.47265
257,15.0,78.87378
258,50.0,83.87313
259,95.0,91.65061
260,65.0,99.762955
261,85.0,90.5991
262,40.0,88.95493
263,20.0,85.144615
264,95.0,85.98284
265,55.0,85.10507
266,20.0,86.078964
267,50.0,90.503685
268,20.0,79.09497
269,5.0,82.281845
270,75.0,95.074326
271,15.0,90.64161
272,85.0,104.41116
273,50.0,86.75642
274,30.0,88.89318
275,50.0,90.13998
276,10.0,80.47547
277,40.0,87.168976
278,75.0,90.577225
279,5.0,78.72816
280,40.0,85.33324
281,10.0,89.46388
282,65.0,95.01652
283,65.0,86.52814
284,55.0,97.23372
285,65.0,103.52565
286,55.0,92.50776
287,65.0,90.81724
288,50.0,97.09446
289,10.0,79.63341
290,15.0,82.93115
291,40.0,96.64834
292,5.0,77.44231
293,75.0,92.56961
294,65.0,95.669235
295,85.0,89.40337
296,5.0,82.28486
297,10.0,89.52163
298,30.0,92.88859
299,95.0,87.06282
300,55.0,97.38049
301,50.0,93.83368
302,15.0,78.10224
303,15.0,85.67114
304,5.0,81.20653
305,30.0,91.84692
306,75.0,95.797806
307,75.0,91.89816
308,5.0,75.81868
309,5.0,79.74533
310,75.0,98.4296
311,80.0,90.982285
312,50.0,81.15854
313,55.0,94.87093
314,20.0,87.13757
315,40.0,83.771774
316,5.0,91.029655
317,50.0,98.69327
318,55.0,95.11526
319,95.0,97.96876
320,95.0,96.75881
321,30.0,97.495926
322,5.0,91.475464
323,40.0,85.56628
324,30.0,80.77479
325,80.0,91.925186
326,75.0,91.61702
327,15.0,91.91893
328,50.0,94.671875
329,40.0,92.57493
330,40.0,80.453156
331,5.0,78.58413
332,80.0,100.22636
333,55.0,104.705894
334,15.0,88.22534
335,30.0,92.544106
336,20.0,83.01245
337,30.0,84.90219
338,20.0,86.53641
339,15.0,82.7519
340,40.0,74.201675
341,50.0,90.47014
342,15.0,92.169624
343,75.0,98.96809
344,20.0,78.537575
345,85.0,90.34201
346,10.0,87.058464
347,80.0,89.00887
348,5.0,93.70769
349,80.0,95.91206
350,50.0,94.88328
351,30.0,77.56078
352,80.0,90.14804
353,30.0,77.465225
354,50.0,93.90294
355,30.0,86.68948
356,55.0,98.38604
357,30.0,86.67312
358,85.0,98.03283
359,30.0,86.75821
360,5.0,76.9055
361,20.0,80.81442
362,80.0,100.08179
363,50.0,99.680466
364,95.0,106.84085
365,75.0,86.32276
366,65.0,97.15911
367,80.0,95.99309
368,85.0,94.47578
369,5.0,84.98708
370,20.0,86.76347
371,75.0,89.94576
372,95.0,91.89327
373,15.0,80.785286
374,65.0,88.218925
375,85.0,87.79053
376,75.0,103.145325
377,5.0,81.42149
378,85.0,95.81654
379,75.0,95.37838
380,65.0,82.16932
381,5.0,82.89558
382,50.0,93.55609
383,65.0,86.42804
384,40.0,102.3367
385,55.0,89.13551
386,20.0,86.53042
387,50.0,76.72907
388,55.0,78.77261
389,20.0,89.16899
390,65.0,94.00224
391,5.0,86.38321
392,80.0,87.538956
393,50.0,99.005295
394,40.0,77.81315
395,80.0,82.38349
396,40.0,94.91344
397,55.0,103.83852
398,65.0,99.664116
399,75.0,95.71486
400,30.0,81.755684
401,20.0,85.43642
402,10.0,85.08242
403,55.0,86.979935
404,5.0,76.89818
405,50.0,92.160805
406,40.0,91.56386
407,50.0,87.03353
408,20.0,87.2381
409,65.0,89.04882
410,80.0,98.0642
411,10.0,82.207596
412,15.0,76.22038
413,75.0,88.83188
414,30.0,81.400475
415,30.0,96.80697
