,ANT,0
0,55.0,91.59939
1,50.0,93.475204
2,85.0,96.3686
3,65.0,100.71002
4,30.0,85.89569
5,20.0,86.235634
6,20.0,85.069145
7,40.0,94.64262
8,20.0,82.50456
9,75.0,108.88203
10,50.0,88.41908
11,20.0,91.18922
12,5.0,78.00848
13,85.0,91.88002
14,65.0,83.081955
15,30.0,84.48399
16,80.0,95.16714
17,5.0,79.502075
18,65.0,93.222664
19,30.0,82.091835
20,55.0,87.44215
21,20.0,82.80808
22,80.0,93.45527
23,5.0,81.82968
24,95.0,95.921326
25,40.0,88.86763
26,40.0,82.0675
27,40.0,77.91278
28,65.0,85.5201
29,75.0,102.49359
30,65.0,94.47215
31,40.0,76.22335
32,55.0,98.12288
33,15.0,71.50326
34,50.0,88.99315
35,10.0,79.63764
36,5.0,91.84311
37,10.0,84.38399
38,15.0,94.206375
39,30.0,82.305016
40,10.0,86.287704
41,40.0,92.32707
42,80.0,93.64296
43,30.0,84.10734
44,10.0,72.43149
45,95.0,88.16331
46,30.0,79.853004
47,30.0,94.68456
48,75.0,98.44752
49,65.0,96.63107
50,55.0,85.524635
51,55.0,85.98633
52,15.0,77.16473
