,ANXIE,0
0,46.36363636,50.70018
1,48.0,49.511524
2,46.0,49.28242
3,43.0,48.044567
4,51.0,51.13031
5,67.0,53.742603
6,46.0,47.426083
7,48.0,49.541878
8,88.0,53.623665
9,39.0,43.6642
10,40.0,56.36041
11,47.80952381,51.984127
12,56.27272727,53.1501
13,39.0,48.342907
14,52.0,54.92352
15,51.0,53.357533
16,45.0,46.625175
17,35.0,51.163635
18,43.72727273,50.67543
19,72.0,56.577095
20,53.0,56.454624
21,40.63636364,53.162
22,42.0,51.748363
23,61.0,51.00469
24,36.0,51.580845
25,34.0,41.83319
26,36.0,47.514393
27,48.0,48.995712
28,45.0,50.10282
29,27.0,49.580463
30,58.0,58.903114
31,40.0,44.863045
32,48.0,50.872044
33,40.0,45.96029
34,52.0,53.10128
35,44.0,47.39017
36,32.0,48.3856
37,45.90909091,48.363438
38,51.0,48.04182
39,63.0,52.723305
40,48.0,48.250805
41,46.0,48.395435
42,39.90909091,48.01124
43,41.0,49.52966
44,58.0,53.76212
45,43.72727273,48.569782
46,42.0,51.053684
47,53.0,49.655777
48,51.0,52.961502
49,55.0,54.894753
50,67.0,50.79545
51,42.0,49.526474
52,44.0,52.13878
53,44.21212121,47.916126
54,39.16666667,49.07183
