,ANXIOUSNESS,0
0,0.25,11.583229
1,0.0,10.759264
2,0.75,15.038328
3,1.75,14.976003
4,0.25,13.144539
5,0.25,16.471087
6,1.0,13.394694
7,2.0,19.202854
8,1.75,15.386145
9,2.5,16.824715
10,0.25,13.329606
11,1.75,15.199858
12,0.75,15.884048
13,0.25,13.928994
14,1.0,14.060308
15,0.5,12.547898
16,1.75,15.495223
17,2.25,18.974476
18,0.0,13.686105
19,0.5,12.139248
20,0.0,14.368824
21,0.75,13.192629
22,0.0,13.23341
23,2.25,17.686716
24,0.0,8.700114
25,0.25,11.514353
26,1.75,15.478089
27,0.25,11.596127
28,0.75,15.7535515
29,0.25,11.145187
30,0.75,13.708339
31,0.5,10.800211
32,3.0,18.160793
33,0.25,12.391449
34,1.25,11.131928
35,0.75,13.593998
36,2.0,14.284693
37,1.75,18.041172
38,2.5,16.272396
39,1.25,14.417146
40,2.25,12.588174
41,0.5,12.336363
42,0.25,11.002575
43,2.0,12.54726
44,0.5,11.56636
45,0.75,9.32238
46,1.75,15.049663
47,3.0,17.583982
48,1.25,15.447737
49,1.0,13.963553
50,0.25,13.452222
51,1.0,12.56538
