,ANXIOUSNESS,0
0,0.5,12.310401
1,0.0,11.460512
2,1.75,15.406176
3,0.0,10.084929
4,0.25,14.7394705
5,0.25,9.158968
6,0.0,14.682602
7,2.25,13.796237
8,1.25,15.426083
9,1.0,12.752471
10,1.0,16.400982
11,0.5,12.305259
12,2.0,16.705475
13,2.0,16.126026
14,0.0,12.762849
15,0.75,12.617748
16,2.0,16.18625
17,1.5,14.373901
18,2.5,14.708307
19,2.0,13.54057
20,1.75,11.660473
21,2.25,19.2709
22,2.0,15.648305
23,0.25,16.680023
24,2.25,15.521744
25,0.0,15.379457
26,0.0,11.527761
27,1.0,11.693096
28,0.25,13.386522
29,1.75,15.280653
30,1.0,14.284369
31,0.0,10.967378
32,0.25,8.636088
33,1.0,14.883606
34,1.75,15.390191
35,0.0,12.327402
36,0.0,9.395765
37,0.75,10.824906
38,1.0,13.742135
39,1.5,16.83304
40,0.5,9.844357
41,2.0,14.0720215
42,0.75,7.9347553
43,1.75,16.54505
44,0.0,12.599945
45,1.5,15.995857
46,0.5,8.255837
47,0.5,14.191372
48,0.0,13.340281
49,0.25,12.061787
50,1.5,12.930284
51,0.75,13.299975
52,1.75,16.10317
53,0.75,13.429879
54,0.5,13.352278
55,0.75,12.497397
56,0.0,13.393679
57,0.0,12.081486
58,1.0,12.240081
59,2.25,16.214645
60,0.0,9.884888
61,0.75,17.102335
62,1.5,14.690913
63,0.0,15.226189
64,0.25,10.116857
65,0.0,14.361286
66,0.75,14.782038
67,0.0,9.146763
68,2.0,17.760773
69,0.25,10.684734
70,2.0,15.286797
71,0.5,11.468733
72,0.75,12.755608
73,0.0,10.128487
74,2.0,20.179585
75,1.75,14.928785
76,0.5,12.739663
77,1.0,13.0178795
78,1.5,14.8480625
79,2.25,14.711613
80,0.0,11.592052
81,0.5,12.431618
82,2.5,15.431668
83,0.5,11.599639
84,2.5,14.591265
85,0.25,8.828996
86,1.75,16.11749
87,1.75,15.534284
88,1.5,15.4174595
89,1.0,14.814863
90,2.25,16.046347
91,0.5,14.575008
92,2.5,17.476746
93,0.25,15.296135
94,0.0,11.878581
95,0.5,14.140049
96,0.5,13.165655
97,1.25,14.702225
98,0.0,12.109913
99,1.0,14.674992
100,1.0,15.215327
101,0.75,14.397214
102,0.75,12.49882
103,0.75,14.78291
104,0.75,13.332003
105,1.25,13.237776
106,1.5,14.35714
107,0.75,11.74361
108,2.25,16.460516
109,0.0,11.495415
110,1.5,15.889212
111,1.75,20.429901
112,1.75,17.18745
113,1.0,16.351015
114,2.0,18.48374
115,2.0,15.921183
116,0.0,12.078414
117,1.25,17.214546
118,2.75,16.79279
119,0.0,15.441582
120,0.5,13.430129
121,1.5,15.195104
122,0.25,13.157329
123,1.5,15.059942
124,1.5,12.793536
125,0.0,10.837894
126,0.75,13.191626
127,0.75,13.271921
128,0.0,10.899648
129,0.0,11.285544
130,1.0,15.204681
131,1.5,13.802965
132,0.5,13.94161
133,0.75,12.347312
134,0.0,11.4246025
135,1.25,13.56614
136,1.5,14.648349
137,1.0,15.265615
138,0.0,11.621811
139,1.25,15.434141
140,0.5,11.637402
141,0.75,12.197918
142,2.5,16.563658
143,0.75,11.231874
144,0.5,11.004261
145,1.5,16.734781
146,0.5,10.50851
147,2.0,13.16343
148,0.75,17.884363
149,0.5,12.139491
150,1.75,13.364346
151,2.0,14.020398
152,0.0,14.767082
153,0.5,11.748377
154,1.5,15.130148
155,1.5,13.123652
156,0.0,11.858072
157,1.75,14.946329
158,0.5,15.691923
159,2.25,16.167828
160,0.75,13.502556
161,1.5,17.898575
