,ANXIOUSNESS,0
0,1.25,11.741314
1,2.25,14.586837
2,0.25,14.618603
3,0.75,14.718622
4,0.75,14.967305
5,0.5,13.840876
6,0.75,11.17219
7,0.0,12.177051
8,1.75,16.802792
9,1.75,13.085473
10,1.0,13.541296
11,0.0,12.6397
12,1.75,14.360655
13,0.5,11.818104
14,0.25,13.373218
15,0.25,10.701604
16,1.75,13.764207
17,0.0,9.419423
18,1.5,11.901716
19,0.5,12.989061
20,0.0,12.769875
21,3.0,19.092834
22,1.25,15.183296
23,2.0,14.707357
24,0.0,9.980904
25,1.5,13.690483
26,0.0,14.271559
27,0.0,10.4080305
28,1.75,18.152325
29,0.0,13.501415
30,3.0,16.921663
31,2.0,14.55367
32,1.75,15.329422
33,0.75,10.902777
34,1.25,13.371
35,1.5,16.814238
36,0.0,9.793732
37,2.25,16.446518
38,0.25,8.0134945
39,0.0,12.1187525
40,1.5,16.947721
41,0.5,13.19882
42,0.25,12.067022
43,0.75,12.272841
44,1.25,16.60405
45,1.25,15.13924
46,0.0,10.544545
47,0.0,12.316892
48,0.0,13.582956
49,2.25,16.638958
50,0.25,13.911172
51,1.75,14.230219
52,1.5,15.162552
