,ATTENTION_SEEKING,0
0,1.75,5.310673
1,0.0,2.9259949
2,0.0,6.9066005
3,0.0,5.800866
4,2.5,10.3709
5,0.0,3.792186
6,0.0,5.804743
7,1.25,8.372028
8,2.75,9.7964525
9,2.0,6.438288
10,0.25,3.180475
11,0.75,4.699592
12,2.0,9.376085
13,1.75,9.064878
14,0.5,7.5113406
15,0.25,7.278368
16,1.5,6.41903
17,0.5,4.731192
18,2.0,8.125507
19,1.5,6.6465154
20,1.0,9.326632
21,1.75,4.599992
22,1.75,7.188062
23,2.75,7.871075
24,0.0,3.022127
25,2.75,11.094508
26,1.0,7.358304
27,2.0,7.800234
28,0.5,7.345341
29,1.25,5.4474864
30,0.0,5.0234246
31,0.0,4.9673953
32,1.75,11.587092
33,2.25,9.572953
34,1.0,5.7838435
35,0.25,4.346636
36,1.75,9.523346
37,2.0,8.547487
38,2.5,8.813458
39,0.5,7.684579
40,0.0,7.8320627
41,0.5,5.071945
42,1.5,6.7893295
43,0.0,6.7697635
44,0.25,6.608778
45,0.5,4.371115
46,2.75,9.456102
47,2.25,8.065012
48,2.0,9.504223
49,3.0,13.891364
50,0.5,4.797281
51,0.0,5.8864827
