,ATTENTION_SEEKING,0
0,0.75,8.664663
1,2.5,10.509148
2,0.5,6.0575066
3,1.0,7.8110404
4,0.0,4.746548
5,3.0,9.771764
6,1.5,5.4740853
7,2.5,9.644268
8,0.75,5.3233747
9,1.0,7.19146
10,0.5,5.0076327
11,2.25,10.437347
12,0.25,4.5730004
13,1.5,5.5776744
14,0.5,8.359863
15,1.75,8.933936
16,0.0,8.228562
17,3.0,10.578704
18,0.5,7.7141066
19,3.0,10.311238
20,2.75,9.044922
21,1.25,7.1420054
22,1.25,6.820974
23,0.5,5.7096577
24,0.75,5.66853
25,1.5,8.571916
26,0.25,7.876143
27,0.25,5.8195124
28,0.25,4.80273
29,3.0,11.171559
30,2.25,10.760349
31,0.0,1.8643081
32,1.5,8.123507
33,0.0,6.5132813
34,0.5,4.8756623
35,0.0,4.486336
36,0.5,6.048674
37,2.0,7.395714
38,0.75,6.869743
39,0.5,7.0937734
40,2.25,8.501066
41,1.75,8.195227
42,2.0,13.13732
43,0.5,6.2558904
44,1.0,5.9955425
45,0.25,5.843141
46,0.0,6.010205
47,0.0,5.4885097
48,1.0,7.7971225
49,2.25,7.8738837
50,0.75,6.491548
51,0.75,8.836366
52,0.5,7.2448297
53,0.5,9.78163
54,0.0,3.8941433
55,1.75,6.582826
56,1.0,3.872586
57,0.75,6.1001143
58,3.0,10.854991
59,1.5,9.430904
60,2.5,6.018849
61,2.25,9.206763
62,1.0,7.9246144
63,1.5,7.5424314
64,1.5,5.489801
65,1.5,5.445272
66,1.75,8.925232
67,0.5,6.686605
68,1.0,5.2198405
69,3.0,8.455683
70,0.75,8.774212
71,0.0,2.7479875
72,0.5,4.7588267
73,1.5,9.710293
74,2.25,11.595596
75,0.0,7.0433373
76,1.75,6.4730005
77,1.25,7.3014255
78,0.0,1.8419671
79,1.25,8.943829
80,1.5,7.4477935
81,0.0,4.3731127
82,1.75,8.355305
83,0.0,4.0388536
84,1.75,5.7185597
85,1.25,9.282443
86,1.25,3.6270864
87,1.75,9.804027
88,0.25,5.3027635
89,2.5,8.950232
90,0.25,6.541629
91,2.25,8.251416
92,0.25,5.6813955
93,3.0,7.810662
94,2.5,8.106808
95,0.75,6.904122
96,1.5,5.624207
97,1.0,8.993581
98,3.0,10.350489
99,1.25,9.706144
100,2.0,10.670458
101,2.5,9.918686
102,0.25,7.132583
103,2.25,10.192238
104,0.75,8.0489645
105,0.0,6.2876678
106,1.0,9.62251
107,2.25,9.483715
108,2.75,9.772032
109,0.75,5.52538
110,2.0,9.844078
111,0.0,1.8548038
112,3.0,7.1629524
113,1.25,6.318017
114,2.25,8.86927
115,0.25,4.475689
116,2.75,9.606682
117,1.0,5.694676
118,0.0,4.8610296
119,0.0,8.104358
120,0.0,4.758243
121,0.0,6.5155044
122,1.5,9.038416
123,2.75,10.318256
124,0.0,5.392879
125,0.0,6.326256
126,2.25,8.601028
127,2.25,13.153528
128,2.0,9.254847
129,2.5,9.408318
130,0.25,6.1522927
131,0.5,6.464744
132,1.0,7.909607
133,2.25,8.146545
134,0.0,5.692886
135,3.0,9.560314
136,1.25,7.152163
137,0.75,6.0434885
138,1.5,8.503557
139,0.25,8.547513
140,0.25,6.152253
141,1.5,7.55363
142,1.75,7.976291
143,1.0,3.8007991
144,1.25,8.556738
145,1.75,7.580993
146,1.5,7.146193
147,2.5,7.9303684
148,0.25,5.5575466
149,0.0,6.1289663
150,1.25,10.149423
151,2.25,8.4724655
152,3.0,10.897948
153,2.25,10.891242
154,1.5,6.925531
155,2.0,7.754563
156,0.0,8.056822
157,1.0,8.515121
158,0.5,6.198214
159,1.75,8.16437
160,1.75,8.53633
161,0.25,5.579287
162,0.5,6.611118
163,3.0,9.319174
164,2.75,11.855807
165,1.75,8.574345
166,1.0,7.89127
167,3.0,7.9855456
168,0.75,5.634372
169,0.25,4.4424176
170,1.0,7.0721126
171,2.25,5.8734565
172,2.5,10.637989
173,0.5,4.4799547
174,1.5,10.595846
175,0.5,6.6108813
176,1.0,7.157574
177,2.75,9.788127
178,1.25,4.2361193
179,0.0,4.138754
180,2.0,9.444787
181,2.0,9.257872
182,1.0,6.4709563
183,0.0,2.9676497
184,2.0,11.8113575
185,0.0,5.7938824
186,2.5,10.283259
187,2.0,6.056748
188,1.75,8.089476
189,1.25,6.500564
190,1.5,7.8495975
191,1.25,10.564364
192,1.5,6.5281477
193,1.25,6.6506243
194,2.5,8.753626
195,0.5,5.941495
196,0.25,4.848412
197,2.5,9.211705
198,0.0,7.4080186
199,0.75,5.497644
200,0.25,4.8652053
201,0.5,5.4110875
202,2.75,10.404329
203,0.25,5.4925838
204,0.0,4.8558717
205,0.5,9.286274
206,1.0,7.3297415
207,1.0,5.5669007
208,1.0,6.2235875
209,2.0,8.411804
210,0.25,7.529096
211,0.75,4.020277
212,1.0,8.246494
213,1.0,8.150003
214,2.5,12.686779
215,1.75,8.374412
216,1.75,7.805347
217,0.5,7.6394134
218,0.75,3.9678168
219,1.0,6.291631
220,1.0,5.4283957
221,0.0,4.8806815
222,1.75,9.43469
223,2.0,9.284473
224,1.5,11.59741
225,2.0,7.088324
226,0.25,2.6148841
227,0.0,7.3622932
228,0.5,5.706497
229,1.75,7.6276374
230,1.75,8.256562
231,0.5,6.8782287
232,2.25,8.665121
233,0.0,4.0470567
234,3.0,11.8370285
235,1.0,6.04742
236,0.75,6.357224
237,1.5,7.2120967
238,2.0,5.701101
239,1.5,7.6720347
240,0.0,6.5286536
241,2.75,13.124077
242,1.5,4.5526214
243,0.0,4.8635364
244,1.0,6.3224535
245,2.0,6.907598
246,1.5,7.7750297
247,2.75,9.306415
248,0.75,5.700846
249,1.25,7.6868205
250,0.5,6.725474
251,0.5,7.0890813
252,0.5,4.031624
253,1.0,5.7332683
254,1.5,6.7447915
255,0.0,4.1173825
256,0.5,2.3898265
257,0.5,6.0169177
258,1.5,8.297274
259,0.0,7.5663533
260,0.25,7.746501
261,0.0,6.6667027
262,1.75,6.463533
263,0.75,7.5664306
264,0.5,6.9478946
265,0.0,5.071392
266,0.0,7.7013283
267,2.5,9.572419
268,2.25,8.2605
269,1.5,7.9566135
270,0.5,6.12975
271,0.0,5.436142
272,0.25,3.9451234
273,1.5,6.870648
274,1.0,7.7422557
275,0.25,5.678343
276,1.25,7.555108
277,3.0,10.586431
278,1.5,8.982888
279,3.0,11.407458
280,0.0,6.187022
281,0.0,4.2022014
282,0.0,5.608279
283,2.25,8.987347
284,2.75,8.225064
285,1.0,5.8022447
286,0.25,3.9106653
287,0.5,5.136191
288,2.0,8.325655
289,2.75,8.386609
290,1.0,10.031881
291,0.0,7.181292
292,0.5,6.771487
293,1.25,10.306747
294,2.5,10.0214
295,1.0,8.639981
296,0.75,5.971165
297,1.0,6.283494
298,1.5,8.441204
299,0.5,3.1214435
300,1.5,7.178909
301,0.75,5.9975343
302,2.5,10.4164
303,0.0,4.729954
304,1.0,5.4087768
305,0.25,6.9061503
306,2.75,11.011437
307,1.0,7.5017824
308,2.25,10.630669
309,0.5,6.3310237
310,1.25,7.632776
311,0.5,5.345324
312,2.5,11.091973
313,1.0,8.59988
314,1.25,5.9478445
315,0.0,3.1806834
316,1.75,10.012192
317,1.0,6.117196
318,0.0,4.5010357
319,2.0,7.2764854
320,2.5,8.738948
321,0.5,4.431454
322,2.25,7.921194
323,3.0,11.681358
324,1.5,7.132568
325,2.75,8.874059
326,1.25,10.054355
327,1.0,6.627663
328,1.5,7.603577
329,0.75,6.8958716
330,0.5,6.733008
331,0.75,6.3320584
332,2.0,8.414385
333,2.75,10.228443
334,1.25,13.241815
335,0.75,4.9879966
336,0.25,7.325058
337,2.5,8.950222
338,0.5,7.1652503
339,2.25,8.546954
340,2.25,7.3898873
341,2.5,10.224334
342,1.25,10.209364
343,1.75,9.706167
344,1.75,7.6188774
345,0.5,8.515469
346,3.0,9.408371
347,3.0,8.616915
348,2.5,10.388746
349,0.75,4.4110937
350,2.0,6.6779675
351,2.25,9.226709
352,1.25,6.4639072
353,0.75,7.0746956
354,2.25,11.389906
355,0.75,6.1305757
356,1.75,7.004622
357,1.5,5.087057
358,1.75,8.147514
359,0.0,5.153625
360,1.25,5.813995
