,ATTENTION_SEEKING,0
0,2.25,7.2566533
1,2.0,9.175744
2,0.75,4.3960967
3,0.0,4.836726
4,1.75,9.521046
5,0.5,5.0255647
6,1.25,7.354896
7,0.5,9.248449
8,0.75,5.3380084
9,0.0,7.229825
10,2.25,9.722725
11,2.0,8.008792
12,1.0,8.990982
13,1.5,8.00345
14,0.75,7.087998
15,0.25,7.2884536
16,0.0,5.666371
17,0.5,5.733934
18,0.5,4.412499
19,1.5,5.7242694
20,1.0,7.131229
21,1.75,9.007818
22,0.75,7.407139
23,1.0,3.801153
24,0.25,8.037799
25,2.5,8.707562
26,0.25,4.283452
27,2.0,8.990396
28,1.5,7.5150456
29,0.25,4.697658
30,1.25,10.079884
31,2.25,11.061367
32,2.25,8.287953
33,0.0,4.600604
34,0.75,7.9446077
35,3.0,10.06116
36,0.75,6.576863
37,1.0,6.106912
38,1.5,11.391426
39,0.25,6.3057694
40,2.5,12.026619
41,1.25,7.5488377
42,0.5,7.8683286
43,1.0,6.399348
44,0.75,5.080726
45,1.25,7.664431
46,1.5,7.293688
47,2.0,10.926598
48,0.0,7.3304815
49,2.75,9.761332
50,3.0,11.476461
51,0.75,7.0391374
52,1.75,6.906381
