,ATTE_PR,0
0,67.16666667,62.118248
1,45.0,50.684723
2,68.66666667,58.537178
3,36.0,50.71308
4,52.0,52.18926
5,69.0,53.5588
6,41.0,47.554184
7,39.0,51.761375
8,61.0,56.979877
9,39.0,44.975853
10,47.66666667,55.752094
11,45.0,51.857018
12,52.0,50.821682
13,60.5,55.730133
14,38.0,55.184586
15,52.0,57.54285
16,69.0,59.339077
17,49.0,48.704063
18,57.0,52.979073
19,55.05555556,54.60396
20,60.0,57.11251
21,59.0,57.837193
22,52.0,52.328304
23,46.0,51.015465
24,73.0,61.07716
25,57.0,55.509632
26,52.0,52.160892
27,54.0,52.24693
28,41.0,56.780415
29,66.0,56.612984
30,55.05555556,52.432705
31,44.0,47.88546
32,59.0,54.472435
33,57.0,56.07799
34,61.0,60.004704
35,36.0,53.34536
36,64.0,60.093033
37,74.11111111,67.0104
38,47.0,49.86289
39,63.22222222,60.957336
40,52.0,49.90322
41,44.0,47.45339
42,40.66666667,57.236008
43,47.0,49.897625
44,58.0,54.905907
45,50.0,49.64119
46,54.33333333,51.35792
47,47.0,55.021736
48,53.83333333,51.97252
49,68.66666667,48.12977
50,57.0,54.324387
51,49.61111111,51.293766
52,49.61111111,51.74834
53,57.0,56.95017
54,66.0,57.07867
