,ATTE_PR,0
0,67.0,54.393627
1,43.0,45.06969
2,44.0,53.26432
3,43.0,46.998196
4,67.0,58.23129
5,55.0,54.241455
6,43.0,51.18291
7,61.0,56.08895
8,55.0,53.52385
9,57.77777778,55.09741
10,57.0,55.609962
11,57.0,55.024834
12,44.16666667,51.385517
13,85.0,60.552715
14,52.33333333,55.36951
15,55.0,50.066334
16,39.0,47.11511
17,61.0,50.443275
18,41.0,54.53913
19,60.0,52.875168
20,41.0,48.484303
21,69.0,53.46271
22,66.0,55.8594
23,45.0,48.43943
24,59.0,56.43338
25,61.0,60.97108
26,55.05555556,56.19153
27,68.66666667,58.08704
28,62.0,49.57638
29,71.38888889,50.552395
30,69.0,57.981777
31,53.0,54.476715
32,39.0,53.60474
33,46.0,49.858097
34,64.0,52.267193
35,63.0,51.88161
36,36.0,50.370052
37,50.0,53.76436
38,72.0,56.58273
39,52.0,50.570583
40,66.0,52.834908
41,55.0,55.820614
42,43.0,51.370697
43,60.5,50.86593
44,66.0,57.155216
45,64.33333333,63.290516
46,57.0,57.133205
47,52.0,54.909096
48,52.0,53.288925
49,54.0,54.224903
50,54.33333333,52.587955
51,46.0,54.80607
52,50.0,50.23105
53,45.0,50.95079
54,61.0,56.3377
55,36.0,52.05879
56,60.5,59.24109
57,36.0,48.668457
58,55.83333333,61.504387
59,36.0,50.132996
60,48.0,48.503727
61,63.22222222,53.935593
62,57.0,53.448895
63,60.5,51.615883
64,65.0,56.350002
65,60.5,53.113598
66,70.0,55.226837
67,39.0,49.315475
68,58.0,53.613564
69,50.0,50.908123
70,55.0,49.469578
71,67.0,57.738583
72,52.0,50.770275
73,52.33333333,52.710815
74,36.0,57.733456
75,47.0,50.442894
76,52.33333333,56.519115
77,57.0,56.93647
78,49.61111111,54.352055
79,49.0,57.581352
80,45.0,48.87242
81,57.0,57.00146
82,61.0,55.74141
83,45.0,46.70516
84,52.0,52.012024
85,62.0,54.40234
86,61.5,55.114563
87,58.66666667,53.55314
88,55.0,55.57141
89,52.0,51.181404
90,69.0,58.657944
91,60.0,53.414047
92,52.0,48.528473
93,57.77777778,51.473442
94,56.0,54.043385
95,55.0,55.543995
96,64.0,51.024887
97,50.0,50.331802
98,68.0,52.41751
99,52.0,52.42665
100,38.72222222,49.905987
101,48.0,51.936672
102,61.5,45.891724
103,34.88888889,48.624992
104,62.0,54.839485
105,44.0,51.90809
106,50.0,49.982445
107,46.0,47.775585
108,63.0,57.66384
109,58.0,56.714085
110,52.0,54.09743
111,61.0,58.748142
112,61.0,50.797325
113,54.33333333,50.37062
114,48.0,50.56053
115,57.0,55.977608
116,60.5,58.351894
117,41.0,52.318695
118,62.0,56.201912
119,52.33333333,52.507744
120,45.0,50.206577
121,63.0,58.62952
122,54.0,53.584183
123,48.0,56.511562
124,50.0,46.22123
125,44.0,46.729744
126,63.0,62.741203
127,66.0,57.566628
128,38.0,57.485268
129,52.0,49.960823
130,62.33333333,54.232975
131,66.0,66.19109
132,41.0,54.256065
133,58.0,59.384247
134,63.0,60.303776
135,57.0,56.407047
136,57.0,54.548912
137,36.0,50.256294
138,59.0,51.044445
139,36.0,46.376945
140,49.61111111,49.96257
141,57.0,46.88693
142,67.16666667,56.220116
143,39.0,46.620003
144,49.0,48.851383
145,47.0,47.64688
146,55.0,52.18643
147,62.0,48.47302
148,70.0,62.56151
149,35.0,51.28115
150,64.0,49.93899
151,49.0,49.866196
152,50.0,51.23561
153,64.0,55.419582
154,46.0,46.88581
155,60.0,56.762123
156,61.0,58.729794
157,67.16666667,56.753315
158,60.5,58.764668
159,69.0,56.49272
160,74.0,60.238937
161,51.0,51.11567
162,50.0,49.46313
163,74.11111111,50.567898
164,46.0,53.202587
165,63.0,61.045807
166,58.0,57.324345
167,41.0,51.536884
168,38.0,51.40905
169,73.0,54.193184
170,51.0,50.77005
171,41.0,59.948734
172,51.0,49.829975
173,36.0,52.08938
174,52.0,55.74696
175,55.0,54.518066
176,60.5,53.435623
177,70.0,52.58343
178,57.0,55.86611
179,48.0,57.07883
180,52.0,52.731014
181,44.0,44.303745
182,52.0,50.887856
183,57.0,53.587387
184,52.0,56.695587
185,63.0,52.391106
186,58.0,58.13594
187,38.0,50.662243
188,74.11111111,61.266273
189,51.66666667,52.458424
190,57.0,56.104687
191,49.0,57.205956
192,50.0,49.36213
193,36.0,54.28544
194,55.0,54.48259
195,55.05555556,54.63534
196,57.0,49.563423
197,41.0,49.493427
198,38.33333333,52.703438
199,80.0,51.806458
200,39.0,48.825798
201,52.33333333,49.058823
202,43.66666667,48.926273
203,69.0,56.224346
204,68.66666667,59.471584
205,63.22222222,55.13742
206,41.0,57.34012
207,60.0,50.806976
208,58.0,54.89795
209,41.0,50.009094
210,50.0,53.066406
