,ATTE_PR,0
0,56.0,51.822178
1,43.0,52.127224
2,47.0,50.69123
3,47.0,48.27364
4,43.0,53.659565
5,46.0,52.96096
6,80.0,56.131184
7,63.0,55.753403
8,61.5,59.29118
9,44.0,50.67645
10,64.0,64.02724
11,52.33333333,56.327385
12,50.0,48.953682
13,70.0,54.29267
14,64.0,54.683815
15,36.0,55.63061
16,57.0,49.600357
17,52.0,52.565895
18,61.0,59.88999
19,57.0,57.513123
20,45.33333333,50.62393
21,40.0,49.893772
22,43.0,56.66931
23,41.0,50.141243
24,50.0,50.260612
25,57.77777778,54.068005
26,64.0,57.526546
27,51.0,50.27399
28,71.38888889,55.8508
29,67.16666667,57.534264
30,43.0,55.096004
31,36.0,48.270336
32,76.0,57.170452
33,61.5,53.395298
34,66.66666667,66.28196
35,50.0,50.972546
36,52.0,55.608368
37,36.0,51.39107
38,64.0,53.20106
39,58.66666667,55.735138
40,62.0,53.19839
41,65.0,60.744297
42,55.05555556,54.500828
43,58.0,59.1455
44,43.0,51.27017
45,39.0,54.363796
46,36.0,58.279396
47,50.0,59.88524
48,46.88888889,47.986664
49,52.0,51.378662
50,59.0,59.017788
51,52.0,52.274174
52,36.0,52.856377
53,54.0,58.618008
54,51.0,52.211235
