,ATYPI,0
0,41.0,37.360687
1,41.0,43.849995
2,49.0,44.904346
3,44.0,48.031178
4,43.0,40.568943
5,90.0,45.731136
6,51.0,44.89329
7,52.0,43.905903
8,44.0,37.414
9,67.0,44.05021
10,53.0,47.106155
11,88.0,47.784084
12,41.0,40.019844
13,44.0,41.118053
14,57.0,42.27769
15,41.0,44.05645
16,48.9,45.19089
17,57.20512821,51.727093
18,43.02564103,40.323578
19,41.0,39.430237
20,73.0,62.269474
21,73.0,41.978714
22,51.0,46.81777
23,41.0,43.00089
24,46.26666667,39.012493
25,49.0,41.379414
26,96.0,45.574005
27,41.0,41.28799
28,44.0,46.678493
29,53.0,52.62877
30,54.0,44.721775
31,45.0,44.165565
32,49.0,45.034542
33,41.0,36.314365
34,59.0,49.16164
35,52.0,49.290165
36,41.0,45.23747
37,51.53333333,46.160847
38,54.16666667,46.36373
39,52.0,45.19191
40,41.0,41.90008
41,62.0,50.039295
42,65.0,46.34797
43,47.07692308,45.444492
44,78.0,52.71127
45,49.0,48.973785
46,46.0,43.063774
47,41.0,42.218628
48,43.0,45.38105
49,41.0,39.63938
50,41.0,35.96792
51,46.0,44.436695
52,55.0,41.84824
53,57.0,47.336243
54,43.02564103,38.448036
