,ATYPI,0
0,67.0,50.60898
1,43.02564103,39.536915
2,50.0,47.24082
3,49.0,46.53397
4,44.0,39.35772
5,43.63333333,39.63143
6,44.0,39.27406
7,48.9,43.78271
8,41.0,44.19444
9,41.0,40.429886
10,52.0,43.865845
11,57.0,47.6154
12,41.0,35.26145
13,53.0,45.67166
14,49.0,45.504395
15,44.0,42.596252
16,54.0,47.55009
17,41.0,37.419044
18,41.0,43.750515
19,51.53333333,48.562412
20,41.0,36.300102
21,62.06666667,46.650757
22,46.26666667,43.652473
23,43.63333333,40.174175
24,52.0,48.986248
25,83.0,59.03092
26,41.0,48.540867
27,41.0,41.156223
28,41.0,36.0281
29,54.0,44.20751
30,47.0,49.04685
31,52.0,43.95795
32,55.0,49.671917
33,46.0,42.45988
34,51.0,48.608963
35,46.0,44.950653
36,43.63333333,49.52765
37,43.0,43.173416
38,41.0,44.325703
39,53.0,49.30721
40,41.0,42.55271
41,55.0,45.68441
42,52.0,47.66286
43,59.0,46.535088
44,56.8,52.44661
45,43.02564103,44.03345
46,73.0,53.312386
47,47.0,41.907906
48,46.26666667,41.630985
49,49.0,42.826946
50,62.06666667,50.37466
51,41.0,40.645077
52,51.53333333,45.55
53,52.0,40.03329
54,73.0,49.033936
