,AUTISM,0
0,9.0,16.667202
1,3.0,14.53895
2,2.0,10.910334
3,3.0,13.7572365
4,3.0,14.594778
5,7.0,17.202824
6,5.0,17.095295
7,5.0,15.270176
8,3.0,15.690927
9,4.0,16.545992
10,3.0,15.091337
11,14.0,24.683945
12,16.0,16.857426
13,2.0,15.6184025
14,1.0,13.637333
15,3.0,12.786276
16,1.0,12.947108
17,1.0,11.378082
18,2.0,14.988687
19,4.0,16.278416
20,1.0,14.14349
21,1.0,13.897003
22,1.0,16.04262
23,9.0,16.41501
24,2.0,16.897482
25,5.0,17.512575
26,14.0,21.148544
27,8.0,18.134266
28,2.0,16.031067
29,11.0,17.358341
30,9.0,19.557983
31,1.0,13.985277
32,9.0,18.81286
33,1.0,17.183617
34,1.0,15.291337
35,6.0,18.659325
36,2.0,15.843187
37,15.0,16.80151
38,3.0,14.109684
39,8.0,15.062223
