,AUTISM,0
0,2.0,16.145672
1,8.0,12.744808
2,14.0,20.698895
3,1.0,12.437252
4,8.0,19.422403
5,11.0,20.057228
6,3.0,14.436813
7,7.0,18.446545
8,3.0,17.127655
9,13.0,19.55238
10,11.0,16.362617
11,15.0,20.503317
12,8.0,18.764305
13,4.0,13.805128
14,9.0,16.543354
15,3.0,16.607473
16,8.0,15.428962
17,3.0,16.93141
18,6.0,16.071898
19,5.0,16.04619
20,1.0,14.718935
21,12.0,19.334822
22,7.0,17.851309
23,13.0,21.523106
24,1.0,16.945646
25,4.0,16.975418
26,1.0,13.32856
27,7.0,18.19247
28,17.0,19.694292
29,3.0,15.226345
30,2.0,15.621655
31,6.0,14.849501
32,8.0,16.508245
33,8.0,17.513563
34,2.0,15.908457
35,2.0,11.706893
36,14.0,20.300394
37,12.0,16.40984
38,9.0,17.249527
39,2.0,14.689759
40,11.0,18.962511
41,6.0,14.765203
42,5.0,15.915902
43,3.0,14.809981
44,1.0,10.321228
45,19.0,22.364578
46,1.0,12.770938
47,2.0,12.407805
48,1.0,12.728921
49,14.0,19.003792
50,1.0,15.49202
51,2.0,14.6699505
52,1.0,12.45426
53,2.0,13.0342655
54,2.0,16.0024
55,3.0,17.381922
56,3.0,14.190815
57,3.0,13.345167
58,7.0,16.706104
59,4.0,13.16523
60,2.0,14.36035
61,2.0,15.607456
62,4.0,14.888627
63,15.0,23.872746
64,1.0,13.540272
65,2.0,17.566006
66,3.0,16.84555
67,11.0,17.032486
68,8.0,14.367655
69,3.0,16.17145
70,9.0,17.853409
71,4.0,14.3115425
72,3.0,16.595245
73,3.0,16.851639
74,15.0,20.94511
75,3.0,16.049274
76,14.0,19.225483
77,12.0,18.83852
78,1.0,13.904985
79,1.0,9.948236
80,7.0,15.59705
81,8.0,19.761126
82,11.0,16.774654
83,3.0,16.050755
84,13.0,17.503242
85,5.0,19.097256
86,9.0,17.310825
87,0.0,13.932417
88,5.0,15.32135
89,3.0,17.145763
90,8.0,18.780863
91,1.0,13.871418
92,4.0,15.241501
93,7.0,15.459172
94,9.0,17.484737
95,9.0,14.880311
96,2.0,12.905996
97,3.0,14.962222
98,1.0,15.121246
99,2.0,15.781969
100,2.0,16.079847
101,1.0,12.091358
102,3.0,16.200794
103,18.0,21.813179
104,6.0,16.771824
105,2.0,12.811966
106,2.0,15.749573
107,0.0,13.650391
108,3.0,10.813061
109,3.0,16.763369
110,1.0,13.575105
111,5.0,11.963424
112,12.0,21.076721
113,4.0,16.848207
114,2.0,15.840765
115,12.0,18.832485
116,9.0,14.873142
117,3.0,15.466733
118,7.0,15.31436
119,10.0,16.151928
120,1.0,13.614746
121,8.0,21.574705
122,1.0,15.3313875
123,4.0,16.575844
124,2.0,19.423693
125,7.0,12.849133
126,8.0,19.319443
127,3.0,15.167372
128,1.0,12.200571
129,1.0,12.555984
130,6.0,16.010057
131,1.0,14.917599
132,2.0,13.614885
133,8.0,18.726755
134,1.0,13.002275
135,1.0,11.9579315
136,12.0,16.461786
137,2.0,14.593541
138,9.0,17.946093
139,6.0,13.774101
140,1.0,17.746916
141,3.0,13.821501
142,1.0,11.821158
143,8.0,18.944258
144,14.0,19.511305
145,2.0,15.967283
146,15.0,18.121614
147,2.0,12.627163
148,18.0,18.17334
149,2.0,12.48501
150,3.0,16.520407
151,3.0,14.938796
152,2.0,18.59932
153,14.0,18.239426
154,1.0,14.350097
155,8.0,17.708199
156,2.0,14.219712
157,1.0,14.502869
158,16.0,17.057644
159,9.0,16.955206
160,3.0,15.303305
161,2.0,14.407706
162,1.0,13.8188095
163,10.0,16.405804
164,4.0,15.946085
165,1.0,14.643747
166,6.0,15.833685
167,11.0,17.420496
168,4.0,13.302228
169,1.0,17.423084
170,1.0,20.905678
171,2.0,12.502571
172,4.0,17.092426
173,6.0,15.64158
174,12.0,18.21163
175,5.0,13.919441
176,2.0,13.118971
177,1.0,14.4949875
178,14.0,17.890646
179,4.0,13.924948
180,7.0,14.553482
181,3.0,15.427212
182,5.0,14.25461
183,3.0,13.922806
184,2.0,18.644548
185,5.0,17.299904
186,2.0,14.691475
