,AUTISM,0
0,1.0,12.942227
1,2.0,15.112306
2,19.0,19.736053
3,1.0,15.148605
4,1.0,14.3343115
5,7.0,17.537731
6,0.0,15.172723
7,2.0,15.077728
8,13.0,19.703396
9,1.0,13.254431
10,1.0,14.093218
11,15.0,21.57716
12,3.0,16.344702
13,2.0,13.577084
14,11.0,20.767494
15,1.0,11.91021
16,13.0,19.70978
17,1.0,17.86517
18,1.0,13.113659
19,14.0,22.95406
20,5.0,15.352955
21,2.0,16.09704
22,5.0,15.93131
23,2.0,14.432769
24,2.0,18.577097
25,2.0,14.063217
26,4.0,16.453556
27,2.0,14.260508
28,11.0,17.941244
29,1.0,14.103159
30,2.0,16.748255
31,3.0,14.408554
32,2.0,15.342691
33,8.0,17.87213
34,2.0,15.6694145
35,1.0,13.476896
36,10.0,16.139433
37,10.0,15.796795
38,4.0,14.982225
39,15.0,17.408699
40,1.0,11.732046
