,BULLY,0
0,46.0,45.326214
1,80.0,61.18001
2,46.0,50.523273
3,51.0,56.196716
4,49.0,53.395214
5,46.0,46.602005
6,49.0,51.386963
7,58.0,51.31183
8,51.0,48.64129
9,55.0,58.133602
10,42.0,45.85775
11,49.0,49.26996
12,42.0,51.366974
13,42.0,40.399666
14,46.0,48.117905
15,46.0,48.01221
16,53.0,52.99373
17,80.0,60.719963
18,44.0,45.763603
19,49.0,48.068924
20,44.0,39.868095
21,42.0,43.68659
22,42.0,47.295246
23,86.0,61.4488
24,49.0,49.955986
25,46.0,47.97013
26,49.0,51.764576
27,44.0,44.40049
28,49.0,50.854355
29,51.0,48.332348
30,42.0,40.0903
31,51.0,47.758484
32,60.0,53.164875
33,44.0,52.865868
34,44.0,41.997894
35,46.0,46.850388
36,42.0,45.56853
37,46.0,43.137024
38,51.0,54.570034
39,62.0,58.446796
40,42.0,46.837692
41,44.0,44.830753
42,46.0,44.002705
43,46.0,51.001972
44,46.0,47.732094
45,46.0,46.329155
46,58.0,52.994553
47,44.0,44.324387
48,44.0,46.706413
49,69.0,52.481148
50,46.0,46.27834
51,44.0,55.7889
52,46.0,44.538612
53,44.0,46.890347
54,42.0,44.47616
