,BULLY,0
0,44.0,46.7829
1,49.0,49.989887
2,46.0,42.358974
3,51.0,51.432476
4,42.0,46.048695
5,64.0,50.20602
6,53.0,50.355003
7,49.0,47.082916
8,53.0,56.707954
9,53.0,52.83041
10,42.0,43.620552
11,42.0,45.289402
12,44.0,43.615196
13,60.0,54.320797
14,42.0,42.73355
15,55.0,50.025963
16,49.0,51.848804
17,49.0,39.41407
18,42.0,50.471252
19,44.0,44.39579
20,49.0,51.148327
21,42.0,43.892433
22,69.0,60.33526
23,64.0,53.757248
24,51.0,50.934547
25,46.0,49.364067
26,44.0,44.09861
27,42.0,50.916965
28,55.0,56.46447
29,42.0,45.009327
30,55.0,56.55979
31,51.0,51.358875
32,58.0,56.67931
33,46.0,50.325798
34,49.0,44.975945
35,42.0,45.974396
36,60.0,51.719513
37,53.0,50.94461
38,46.0,47.501587
39,46.0,54.064922
40,51.0,47.99797
41,42.0,50.38649
42,53.0,52.227165
43,51.0,51.66468
44,60.0,47.97726
45,64.0,57.06557
46,51.0,49.282547
47,58.0,53.289436
48,62.0,53.66842
49,51.0,46.129242
50,58.0,49.859528
51,44.0,48.375347
52,73.0,56.42403
53,44.0,43.796967
54,46.0,45.835987
55,53.0,44.24545
56,42.0,43.790627
57,42.0,42.58522
58,76.0,63.440437
59,42.0,47.09482
60,53.0,49.228474
61,44.0,47.413166
62,46.0,46.64592
63,51.0,50.836304
64,42.0,47.566074
65,71.0,59.63627
66,51.0,50.16842
67,76.0,53.422905
68,53.0,50.174393
69,46.0,46.38126
70,53.0,53.54672
71,46.0,52.565018
72,44.0,49.521133
73,46.0,50.541508
74,62.0,62.649406
75,62.0,51.119614
76,46.0,42.71114
77,75.0,62.19545
78,64.0,57.79064
79,49.0,51.915985
80,66.0,53.47512
81,46.0,52.12818
82,66.0,56.6071
83,44.0,47.648163
84,46.0,50.47307
85,51.0,50.59288
86,44.0,49.63034
87,60.0,50.89244
88,53.0,47.914543
89,62.0,55.213097
90,49.0,50.256985
91,42.0,49.66843
92,49.0,51.91408
93,60.0,58.50987
94,42.0,50.417454
