,BULLY,0
0,84.0,56.154312
1,49.0,48.85835
2,42.0,44.32453
3,60.0,54.617382
4,42.0,51.576477
5,46.0,45.008923
6,44.0,42.386333
7,42.0,48.764412
8,42.0,41.163498
9,42.0,42.844345
10,44.0,47.676605
11,55.0,54.450325
12,58.0,51.08925
13,58.0,61.203957
14,53.0,51.147842
15,44.0,46.043976
16,44.0,46.79992
17,42.0,49.19708
18,51.0,48.217403
19,55.0,50.487213
20,46.0,50.59498
21,58.0,47.661858
22,51.0,45.774506
23,42.0,50.393883
24,42.0,43.962234
25,49.0,49.5663
26,51.0,45.297745
27,51.0,49.88379
28,55.0,50.961372
29,44.0,54.4619
30,51.0,48.655388
31,44.0,44.931522
32,46.0,50.62896
33,44.0,45.18164
34,42.0,43.967392
35,42.0,52.95229
36,49.0,47.679134
37,62.0,53.50386
38,51.0,50.056137
39,55.0,48.382263
40,53.0,50.342773
41,58.0,50.941055
42,46.0,45.790485
43,49.0,46.164154
44,62.0,51.101894
45,51.0,48.24214
46,64.0,52.461983
47,42.0,45.815075
48,42.0,40.726913
49,51.0,50.133904
50,89.0,58.651146
51,46.0,46.581
52,46.0,43.970467
53,46.0,47.189896
54,42.0,50.6146
