,CALLOUSNESS,0
0,0.0,17.180553
1,0.25,18.635857
2,0.0,19.293495
3,0.25,21.36604
4,0.0,19.462418
5,0.0,19.636143
6,0.0,17.77872
7,0.25,19.845085
8,0.0,15.317411
9,0.0,14.652579
10,0.75,18.779423
11,1.5,19.753021
12,2.0,22.529095
13,0.0,15.414244
14,0.0,17.727509
15,0.0,17.958063
16,0.0,15.545975
17,0.0,21.550188
18,1.5,20.86422
19,0.25,17.729168
20,0.0,14.8058
21,0.0,18.121025
22,0.0,15.742243
23,0.0,20.321085
24,0.25,15.844582
25,0.0,19.509045
26,2.25,23.211658
27,0.25,15.469835
28,0.0,17.482315
29,0.0,16.164246
30,1.5,22.512373
31,0.0,14.099236
32,0.0,17.05487
33,1.75,17.51939
34,2.25,22.7229
35,2.5,22.503248
36,1.0,21.968632
37,2.5,18.735294
38,0.0,15.436634
39,0.0,19.580353
40,0.0,15.789701
41,0.5,20.78107
42,0.0,15.493692
43,0.0,18.322248
44,0.0,18.018597
45,0.0,17.262983
46,0.75,20.06834
47,0.0,17.321796
48,0.75,18.332228
49,0.0,9.719379
50,0.0,16.4779
51,0.0,19.238722
