,CALLOUSNESS,0
0,0.5,16.55197
1,0.0,15.4505205
2,0.0,14.663864
3,2.25,22.894917
4,0.0,17.906435
5,0.0,13.829948
6,0.5,16.24075
7,0.5,18.200138
8,1.75,20.280548
9,0.25,19.101124
10,0.0,14.710586
11,1.0,16.482658
12,0.75,19.846292
13,0.0,17.979027
14,1.25,17.769514
15,0.25,15.690483
16,0.0,14.786905
17,0.5,18.49208
18,0.5,17.207813
19,2.25,23.324467
20,0.0,16.08739
21,0.0,16.815977
22,0.0,20.951859
23,0.25,15.930493
24,0.0,14.582596
25,0.0,17.446
26,0.0,15.228891
27,0.75,19.200466
28,0.0,16.421196
29,0.0,15.415637
30,0.25,19.47298
31,0.0,16.529785
32,1.5,18.604523
33,0.25,20.397623
34,0.0,13.304621
35,0.0,20.086021
36,1.25,22.549187
37,0.0,17.480686
38,2.0,20.435455
39,0.0,20.263203
40,1.0,21.299885
41,1.25,21.596466
42,0.0,16.009197
43,0.25,16.277906
44,0.0,15.209728
45,0.75,21.15095
46,0.25,15.838671
47,0.0,19.645145
48,1.0,15.763255
49,0.5,16.862972
50,0.0,17.35555
51,0.0,15.292965
52,1.5,18.904669
53,1.5,20.249176
54,0.0,16.350891
55,0.0,20.194578
56,1.75,23.861067
57,3.0,24.38345
58,0.0,16.951103
59,2.25,21.768803
60,0.0,21.002972
61,0.0,16.420628
62,0.5,18.31365
63,0.0,16.802425
64,0.0,17.745567
65,0.0,19.550556
66,0.5,18.82382
67,0.0,14.184235
68,0.25,16.891697
69,0.0,16.226288
70,0.0,14.328093
71,0.0,16.796785
72,0.25,14.32441
73,0.0,16.049103
74,0.0,15.0118685
75,0.0,18.564709
76,0.25,15.647165
77,0.5,21.35131
78,0.0,17.78833
79,0.0,17.008656
80,0.0,16.530457
81,0.0,16.413292
82,0.0,16.79692
83,0.0,19.219006
84,0.0,16.942795
85,0.25,16.374037
86,1.5,20.746466
87,0.0,19.775946
88,1.25,21.004684
89,1.0,21.334965
90,1.75,20.891893
91,0.0,17.967302
92,0.5,19.106396
93,1.5,18.238556
94,0.5,17.748468
95,0.25,17.832012
96,0.0,14.105133
97,0.5,18.336756
98,1.25,22.240177
99,0.0,15.461995
100,2.5,21.223963
101,0.5,17.272831
102,0.25,18.88538
103,0.0,18.3872
104,0.25,16.463413
105,0.0,17.032406
106,1.5,17.639267
