,CALLOUSNESS,0
0,0.5,17.477135
1,0.0,19.559565
2,0.25,20.001717
3,0.0,14.951566
4,1.75,21.923946
5,0.0,18.387852
6,1.5,24.238773
7,0.0,16.52338
8,0.0,17.570873
9,0.0,17.386364
10,0.0,19.296997
11,0.75,20.526642
12,0.0,17.43113
13,0.0,17.98011
14,0.0,18.449749
15,0.0,15.902907
16,0.25,19.642063
17,0.25,19.32737
18,0.0,16.59061
19,0.0,17.511055
20,1.75,21.33805
21,0.0,17.890476
22,0.0,18.928532
23,0.5,20.896214
24,0.0,18.252304
25,1.0,16.33374
26,0.75,22.319448
27,1.25,21.131477
28,0.0,14.966182
29,0.25,13.082058
30,0.0,18.43666
31,0.0,16.715517
32,0.0,16.549118
33,0.0,17.11177
34,0.0,18.490509
35,0.0,14.387219
36,0.0,17.18301
37,0.0,17.702438
38,1.25,18.188036
39,0.0,17.250244
40,1.75,21.482504
41,1.0,18.524061
42,0.0,15.891661
43,0.0,19.41711
44,0.0,18.09919
45,0.0,16.044239
46,0.25,17.067705
47,0.25,19.080898
48,0.0,16.676327
49,0.0,16.084713
50,0.0,17.61906
51,0.5,18.528843
52,0.0,16.775784
