,COND_PR,0
0,57.18518519,59.699818
1,38.0,44.093513
2,37.0,44.968338
3,38.0,44.932945
4,48.0,46.034714
5,38.0,45.164577
6,40.0,42.47225
7,49.0,51.3568
8,38.0,44.327507
9,46.22222222,48.52271
10,54.0,44.31849
11,44.0,45.874786
12,40.0,47.328575
13,38.0,46.57741
14,51.7037037,51.54389
15,56.0,47.945766
16,44.0,45.631104
17,46.0,49.22726
18,83.0,47.043762
19,52.0,52.305405
20,54.0,46.594215
21,42.40740741,43.87934
22,37.0,38.29475
23,70.0,47.93535
24,52.0,44.937164
25,42.0,43.225716
26,47.0,49.505165
27,45.0,45.851406
28,46.0,49.44764
29,38.0,44.631668
30,48.0,46.494286
31,39.7037037,45.38356
32,38.0,42.87897
33,50.0,50.043507
34,64.0,46.17308
35,46.0,44.395332
36,73.0,50.404144
37,48.0,49.035725
38,44.0,45.307487
39,59.0,48.8042
40,40.0,41.949036
41,50.0,41.882294
42,39.95238095,45.09404
43,38.0,43.85562
44,38.0,45.973698
45,43.48148148,45.558914
46,34.0,46.523956
47,65.0,47.823254
48,42.0,45.253685
49,48.0,46.574455
50,51.7037037,45.220005
51,42.0,49.63898
52,108.0,49.760593
53,38.0,46.044094
54,91.0,51.372658
