,CON,0
0,100.0,41.45244
1,5.0,30.487759
2,100.0,36.509304
3,5.0,25.17194
4,5.0,41.731792
5,5.0,24.301264
6,100.0,33.472145
7,5.0,17.323076
8,100.0,36.02495
9,5.0,22.216745
10,5.0,30.625984
11,5.0,26.617102
12,95.0,32.43638
13,80.0,28.35083
14,80.0,40.467915
15,5.0,49.597664
16,5.0,18.119223
17,5.0,19.590124
18,100.0,38.859863
19,5.0,29.76907
20,100.0,44.104713
21,5.0,28.484463
22,100.0,25.813128
23,85.0,35.824127
24,100.0,40.239002
25,5.0,25.023684
26,80.0,28.309381
27,5.0,24.782362
28,5.0,30.170372
29,90.0,35.568317
30,5.0,14.519611
31,5.0,20.321571
32,95.0,29.858541
33,85.0,44.513733
34,5.0,24.580343
35,80.0,35.003998
36,80.0,33.982674
37,5.0,23.061996
38,5.0,46.976868
39,5.0,38.09567
40,5.0,32.169964
41,100.0,34.20554
42,95.0,37.274918
43,80.0,38.56875
44,100.0,36.622097
45,5.0,21.04984
46,90.0,26.674414
47,90.0,32.385292
48,5.0,32.472466
49,80.0,37.279045
50,80.0,25.934671
51,5.0,25.633087
52,5.0,26.885464
53,90.0,24.678518
54,5.0,17.60826
55,5.0,37.688114
56,5.0,16.815088
57,5.0,30.409489
58,100.0,38.73147
59,5.0,16.988407
60,95.0,32.444412
61,5.0,34.724964
62,5.0,23.969267
63,80.0,40.122696
64,5.0,22.984133
65,5.0,23.631203
66,5.0,33.98609
67,100.0,35.67184
68,100.0,40.490322
69,100.0,33.39832
70,5.0,27.940351
71,5.0,20.35601
72,5.0,33.476612
73,100.0,41.69398
74,5.0,16.364996
75,95.0,39.44129
76,5.0,39.174046
77,100.0,40.850994
78,5.0,28.030117
79,5.0,34.65138
80,80.0,31.436941
81,100.0,44.27473
82,5.0,26.232752
83,5.0,47.84007
84,5.0,27.283972
85,5.0,35.846527
86,95.0,42.557293
87,5.0,12.310516
88,5.0,39.317078
89,5.0,37.96891
90,5.0,22.0596
91,90.0,32.727623
92,5.0,27.586401
93,5.0,21.16248
94,90.0,38.29524
95,5.0,29.21499
96,100.0,40.30661
97,5.0,18.205023
98,5.0,32.629963
99,5.0,29.108465
100,5.0,31.114716
101,5.0,24.113598
102,5.0,9.437803
103,5.0,29.180332
104,5.0,25.238928
105,80.0,48.868305
106,5.0,47.220116
107,80.0,41.65711
108,5.0,24.682697
109,5.0,15.883715
110,100.0,36.841076
111,5.0,35.02151
112,5.0,33.3169
113,5.0,27.5589
114,5.0,29.067036
115,5.0,20.256313
116,5.0,19.01089
117,5.0,37.04586
118,5.0,25.051325
119,100.0,39.93794
120,95.0,36.56231
121,95.0,46.753532
122,5.0,23.844095
123,5.0,33.614285
124,5.0,28.233622
