,CON,0
0,5.0,14.441725
1,5.0,30.365017
2,90.0,36.790768
3,5.0,21.566177
4,5.0,37.843998
5,100.0,41.453598
6,5.0,45.116676
7,95.0,27.418182
8,90.0,40.75183
9,5.0,28.835495
10,100.0,27.699703
11,5.0,7.803337
12,80.0,44.312824
13,5.0,22.483181
14,5.0,23.944685
15,5.0,26.071142
16,100.0,40.297745
17,5.0,17.041986
18,100.0,36.125076
19,5.0,29.76775
20,95.0,43.550938
21,5.0,28.752037
22,95.0,39.61492
23,5.0,31.617132
24,5.0,36.907284
25,5.0,32.15906
26,95.0,29.860506
27,100.0,31.215229
28,5.0,27.913122
29,95.0,40.23727
30,5.0,26.36578
31,5.0,20.69066
32,5.0,44.66672
33,5.0,15.219329
34,5.0,19.698957
35,90.0,32.12768
36,90.0,36.4172
37,5.0,23.337782
38,5.0,24.653994
39,5.0,30.525496
40,5.0,22.333767
41,5.0,27.181353
42,5.0,23.45269
43,5.0,38.791275
44,5.0,23.377432
45,80.0,30.490095
46,5.0,29.464338
47,5.0,24.334616
48,5.0,32.969288
49,5.0,24.051702
50,90.0,35.92447
51,5.0,21.856836
52,5.0,21.170319
53,5.0,28.947868
54,5.0,30.528273
55,95.0,37.803867
56,5.0,14.950832
57,80.0,28.603128
58,5.0,33.72155
59,5.0,27.929482
60,5.0,26.327301
61,5.0,38.81628
