,DECEITFULNESS,0
0,0.0,11.329
1,1.25,18.220795
2,0.75,19.822874
3,0.75,15.278574
4,0.25,14.833147
5,0.0,21.046898
6,0.0,18.419737
7,0.25,21.090824
8,0.5,21.621588
9,1.0,19.259577
10,0.25,15.838079
11,1.5,26.552528
12,0.25,17.652136
13,0.0,19.498228
14,0.0,12.765933
15,0.0,16.54476
16,0.0,19.596075
17,0.0,15.164688
18,0.0,22.312305
19,0.75,21.419153
20,0.25,16.472792
21,0.0,25.042353
22,0.5,14.40965
23,0.0,17.410912
24,0.0,17.579052
25,0.0,14.721991
26,0.0,16.801352
27,0.0,15.303011
28,1.5,20.686052
29,1.25,17.49446
30,2.0,18.658625
31,0.0,17.317776
32,0.0,20.056139
33,2.25,21.30004
34,1.5,21.863623
35,0.0,22.410822
36,0.25,16.154802
37,1.75,20.8104
38,0.0,22.247858
39,0.0,16.955633
40,0.0,16.143274
41,0.25,23.559326
42,0.5,19.53794
43,1.25,26.623404
44,0.25,17.709291
45,2.25,21.156893
46,0.0,13.480083
47,2.25,25.95817
48,0.25,15.692419
49,1.25,19.247519
50,0.25,20.763334
51,0.75,20.531479
