,DECEITFULNESS,0
0,0.0,19.938038
1,1.0,15.858868
2,1.25,17.446978
3,0.5,17.776056
4,1.5,23.810629
5,1.5,19.844547
6,0.0,16.206347
7,0.0,19.531889
8,0.0,20.786978
9,0.25,15.482369
10,0.0,19.189775
11,1.5,26.01668
12,0.5,22.363588
13,0.25,16.847536
14,2.25,26.378817
15,0.0,19.28477
16,0.5,17.584005
17,0.75,19.790438
18,1.5,22.862856
19,0.0,20.629107
20,1.0,15.595464
21,0.0,18.325449
22,0.75,18.225512
23,2.0,25.388624
24,0.0,23.27145
25,2.75,20.424744
26,0.75,20.516047
27,1.0,18.324093
28,0.25,16.911152
29,0.5,20.200695
30,0.0,10.108299
31,2.0,21.154009
32,0.75,21.19098
33,0.0,24.038431
34,0.0,15.986174
35,0.0,16.00572
36,0.5,13.237165
37,0.75,18.31371
38,0.0,18.24763
39,1.25,24.62277
40,0.0,16.744555
41,0.25,22.642097
42,0.5,24.063442
43,0.5,19.018993
44,0.0,17.735773
45,0.0,15.077246
46,0.0,14.1280155
47,0.75,18.48713
48,2.25,29.001135
49,1.25,23.388575
50,1.5,16.84799
51,0.0,18.474186
52,0.0,14.294269
53,0.0,25.33863
54,0.0,23.499876
55,0.0,19.22043
56,1.5,21.050598
57,0.0,18.785383
58,2.0,22.772676
59,0.0,15.372978
60,1.5,25.179115
61,1.25,24.743282
62,0.0,13.099781
63,2.25,21.95906
64,0.0,15.670536
65,2.0,23.107832
66,1.0,21.044222
67,1.0,22.655321
68,0.25,20.022089
69,0.25,17.07171
70,0.5,17.824968
71,0.0,16.517788
72,0.25,18.594366
73,1.5,25.343128
74,0.75,17.74558
75,1.0,20.571115
76,0.0,22.085155
77,0.0,13.99631
78,0.0,16.89742
79,0.25,13.16041
80,0.0,16.904167
81,0.75,24.034372
82,0.0,13.600594
83,0.0,14.405284
84,2.25,27.619265
85,0.75,17.213715
86,1.75,23.138884
87,0.0,19.522045
88,0.0,17.741076
89,1.75,35.042767
90,0.0,15.7571945
91,0.25,19.335314
92,2.25,24.756609
93,1.0,20.900492
94,0.0,13.3969555
95,2.0,27.074312
96,0.0,17.772085
97,0.0,19.443804
98,0.75,22.907282
99,0.75,16.488926
100,0.75,21.415865
101,0.0,15.024238
102,0.0,19.638178
103,0.0,20.402456
104,2.75,20.962498
105,0.5,18.751808
106,0.5,15.301306
107,2.0,21.769905
108,1.25,20.61089
109,0.0,13.776126
110,0.0,20.723043
111,2.75,24.425287
112,0.0,16.24099
113,0.0,16.20651
114,1.75,24.338116
115,0.0,16.250416
116,0.5,17.106977
117,0.0,15.860334
118,0.0,17.258198
119,1.5,20.178907
120,0.0,18.17169
121,0.0,17.388632
122,0.75,18.68084
123,0.0,21.508944
124,1.25,20.58848
125,1.25,24.867329
126,1.5,23.927711
127,0.0,19.393923
128,0.25,18.925917
129,0.0,17.869532
130,0.0,16.840162
131,0.75,20.714417
132,0.0,16.933832
133,0.5,14.163436
134,0.0,11.700483
135,0.5,20.113756
136,1.5,20.250114
137,0.25,23.665226
138,0.25,19.442017
139,1.5,21.601604
140,1.25,21.18558
141,0.25,22.210386
142,1.0,15.256783
143,0.0,22.967146
144,0.25,18.211336
145,1.25,26.046072
146,0.25,19.980612
147,0.0,20.634794
148,1.25,24.34867
149,0.0,21.998293
150,1.75,21.698412
151,0.0,19.324533
152,0.0,19.318233
153,1.0,18.392214
154,0.75,20.723434
155,0.0,16.113375
156,0.0,22.294786
157,1.5,27.258366
158,0.0,18.193678
159,1.5,24.51206
160,2.75,26.325193
161,0.0,16.26344
162,2.25,21.648752
163,0.75,20.775595
164,0.5,20.56742
165,1.5,17.036295
166,0.5,18.638788
