,DECEITFULNESS,0
0,0.0,17.228579
1,2.75,23.865736
2,1.0,28.356863
3,0.25,18.732975
4,1.0,15.190731
5,1.0,23.742125
6,0.5,19.343264
7,1.25,23.916538
8,0.0,16.709402
9,0.0,24.768211
10,2.25,18.940823
11,1.0,22.240055
12,0.0,15.371634
13,0.0,16.192602
14,0.0,14.855028
15,1.5,23.132608
16,0.0,21.045444
17,0.0,19.340982
18,1.0,19.716902
19,1.25,22.267591
20,1.0,17.531866
21,1.75,24.713732
22,0.0,18.469603
23,0.75,20.970358
24,0.25,19.6459
25,1.25,21.508762
26,0.0,20.184301
27,1.25,19.466547
28,0.0,13.434969
29,1.25,22.354364
30,0.75,21.23366
31,0.75,13.67132
32,0.5,17.589954
33,0.75,20.683794
34,0.5,20.99548
35,2.25,25.639587
36,0.0,16.215055
37,0.75,17.643343
38,1.25,22.638285
39,1.0,28.008911
40,0.25,15.622553
41,0.0,17.58559
42,0.0,17.853456
43,0.0,16.85362
44,0.0,17.112236
45,1.75,24.059956
46,0.75,13.97805
47,0.0,14.363055
48,0.5,22.711447
49,1.5,18.718412
50,1.5,25.03519
51,0.25,18.765211
52,2.0,23.681585
