,DEPRESSIVITY,0
0,0.0,11.725311
1,1.0,15.173683
2,0.0,9.149412
3,0.0,15.087919
4,1.75,12.537759
5,0.0,9.808418
6,0.25,12.849362
7,0.0,12.169185
8,0.0,15.602591
9,0.0,8.701931
10,1.75,11.869417
11,1.25,10.7202015
12,0.0,10.827295
13,1.25,12.712511
14,0.0,9.744123
15,0.0,11.314684
16,0.0,13.528648
17,0.0,11.667008
18,0.25,11.097945
19,0.0,10.641605
20,0.0,10.256829
21,0.25,9.073485
22,0.0,11.049471
23,2.0,16.616005
24,0.0,6.8896384
25,0.5,10.917581
26,1.75,18.751713
27,0.25,8.268031
28,0.5,12.1192875
29,0.0,6.5841484
30,1.25,14.8325405
31,0.25,11.037997
32,3.0,16.491764
33,2.0,21.243137
34,0.0,9.764149
35,0.75,11.680977
36,0.25,12.118036
37,0.5,14.150642
38,0.0,9.43227
39,0.0,11.962307
40,0.5,14.858597
41,0.0,11.210002
42,0.0,13.2694
43,1.0,15.580704
44,0.5,11.4123125
45,1.0,13.177235
46,0.0,9.75351
47,2.5,17.252237
48,0.0,11.216374
49,1.25,17.556541
50,0.0,10.201065
51,0.0,12.104031
