,DEPRESSIVITY,0
0,0.5,9.339277
1,0.0,11.38896
2,0.0,8.220232
3,0.0,13.511787
4,0.0,11.495536
5,0.75,12.188298
6,0.25,13.133033
7,0.0,6.089195
8,2.0,10.286951
9,0.0,15.170992
10,0.0,9.103612
11,0.5,12.106884
12,0.0,10.86747
13,0.75,9.949394
14,0.0,6.575933
15,0.75,14.653341
16,2.0,12.753356
17,0.0,11.563478
18,0.5,9.972097
19,0.5,15.959226
20,0.0,11.81723
21,0.0,13.156409
22,0.0,9.563407
23,0.0,11.087815
24,1.0,11.58168
25,0.75,9.594755
26,0.25,9.311537
27,0.0,10.775421
28,2.0,15.044163
29,0.25,12.480842
30,0.0,11.166092
31,0.0,12.122206
32,1.0,13.9858
33,1.75,14.338497
34,0.5,9.108427
35,0.75,12.581898
36,0.25,12.45675
37,0.75,18.69649
38,0.0,9.558438
39,0.0,12.123569
40,0.0,5.294059
41,0.0,8.2591915
42,2.25,15.725905
43,2.25,16.416523
44,0.0,11.744867
45,0.0,11.724855
46,0.25,10.769376
47,1.5,17.045683
48,0.75,12.186886
49,1.25,15.601398
50,0.75,20.800379
51,0.0,11.450878
52,1.75,16.811798
53,0.75,13.496261
54,0.0,7.430642
55,1.75,11.4079275
56,1.25,11.861504
57,0.5,12.9481
58,0.25,15.368996
59,0.0,11.662426
60,1.75,18.612934
61,0.0,9.438513
62,0.0,14.35915
63,0.0,12.152746
64,1.5,16.862478
65,0.5,6.850592
66,0.25,13.623261
67,0.0,14.301352
68,1.5,14.755763
69,0.0,8.315206
70,0.0,9.946961
71,0.0,9.9035
72,0.0,5.931286
73,0.0,8.046626
74,0.0,12.812843
75,0.5,11.593449
76,0.0,12.295364
77,0.0,15.993069
78,2.25,14.795586
79,0.0,10.933731
80,0.5,12.670867
81,0.75,13.261883
82,0.0,10.453699
83,2.0,12.204392
84,0.0,16.416546
85,2.5,17.090073
86,0.0,9.537385
87,0.0,9.121441
88,0.0,12.595729
89,0.25,9.689461
90,2.0,17.712141
91,0.0,12.473853
92,2.25,20.943754
93,0.25,12.02546
94,0.0,9.090505
95,2.75,16.886372
96,0.75,11.63678
97,1.5,14.497867
98,0.0,12.4024
99,0.5,12.5835495
100,0.0,13.837408
101,0.0,11.743655
102,0.25,13.059541
103,0.0,13.361116
104,0.5,15.745056
105,0.0,9.383167
106,0.25,9.391982
107,3.0,17.4846
108,0.0,10.868832
109,1.75,12.792686
110,0.0,14.137263
111,0.0,12.778309
112,0.25,12.344875
113,0.0,5.489055
114,1.75,21.054762
115,0.0,9.845304
116,1.0,7.3375983
117,0.0,8.971194
118,2.0,19.55686
119,0.5,11.288399
120,0.0,7.2104917
121,2.0,15.481366
122,0.0,9.923141
123,0.0,8.739403
124,0.25,11.863212
125,0.0,12.640536
126,0.0,14.424775
127,0.0,9.523235
128,0.0,10.850233
129,0.25,13.791303
130,0.0,16.758512
131,0.25,12.724393
132,0.0,11.190415
133,0.0,11.959987
134,0.0,12.250903
135,0.0,13.097479
136,0.5,12.88102
137,0.0,8.430585
138,0.25,10.4463215
139,0.5,13.9348955
140,0.25,11.11301
141,0.75,13.719883
142,1.25,12.72422
143,0.25,10.953419
144,3.0,19.781792
145,0.0,11.652356
146,0.75,13.165134
147,0.0,7.761413
148,0.0,10.847169
149,0.25,10.253319
150,0.25,12.970889
151,0.75,13.748007
152,0.0,8.313233
153,0.0,8.596307
154,1.0,11.729115
155,1.25,10.266202
156,0.0,13.892271
157,0.5,14.043564
158,0.5,13.8186035
159,0.0,8.953599
160,0.0,8.8090105
161,0.0,10.325585
162,0.0,11.279107
163,0.0,9.63823
164,0.0,8.684913
165,0.0,14.209651
166,0.0,8.26955
167,0.0,10.446064
168,0.5,12.599303
169,0.75,13.051873
170,1.25,14.472657
171,0.25,8.642817
172,1.25,13.310528
173,0.0,7.774903
174,1.25,11.5735855
175,0.0,10.562569
176,0.5,15.354385
177,0.5,9.81775
178,1.25,14.673986
179,0.0,9.21409
180,0.0,7.5156217
181,0.25,11.457949
182,0.5,10.119703
183,0.0,12.118066
184,0.0,5.9646196
185,0.0,8.356617
186,0.25,14.589787
187,0.75,13.757274
188,0.0,13.518051
189,1.5,16.394472
190,0.25,13.662767
191,1.0,15.829328
192,1.0,17.34179
193,1.25,10.834215
194,0.25,11.225202
195,0.5,14.911991
196,2.5,20.800776
197,0.25,14.848721
198,0.25,8.321079
199,0.0,7.78286
200,0.0,10.021105
201,0.25,9.471177
202,0.0,15.044856
203,1.5,13.663201
204,0.0,9.730292
205,2.0,14.370501
206,0.75,13.219452
207,0.0,10.484728
208,0.75,14.900647
209,0.25,14.93221
210,0.0,12.91173
211,0.0,11.807399
212,0.25,13.535491
213,1.0,13.6929
214,0.25,10.015116
215,1.0,18.855812
216,0.0,12.806232
217,0.5,17.53452
218,0.0,15.266676
219,0.0,10.44884
220,0.5,11.493124
221,0.0,12.711642
222,0.0,10.898613
223,0.0,11.469422
224,0.75,13.063936
225,0.25,15.030105
226,1.75,10.552207
227,0.0,12.189826
228,0.5,12.104312
229,0.25,13.546652
230,0.0,10.650209
231,0.0,10.9618
232,0.0,8.213669
233,0.0,10.896858
234,0.0,12.635656
235,0.5,12.358713
236,0.0,13.89082
237,0.0,9.301928
238,0.0,10.525049
239,0.25,15.001744
240,1.25,13.229692
241,0.25,12.950588
242,0.0,14.440817
243,1.0,20.12024
244,1.75,13.161538
245,0.0,8.635431
246,0.5,15.780049
247,1.25,12.777537
248,2.0,18.222992
249,0.5,13.687265
250,0.0,9.387689
251,0.0,6.3932505
252,0.0,9.052503
253,0.0,13.580183
254,0.0,11.268828
255,0.0,7.6843038
256,0.75,14.65102
257,1.0,14.73446
258,0.0,11.719454
259,2.5,16.609413
260,1.75,16.67947
261,0.5,12.618232
262,1.0,14.034959
263,0.25,8.330219
264,0.0,5.4847393
265,1.75,14.052965
266,0.0,8.995647
267,0.0,9.483947
268,2.75,19.508232
269,0.0,8.8671875
270,0.0,10.026349
271,0.0,10.617088
272,0.0,9.030875
273,0.0,8.354337
274,0.5,10.187535
275,0.0,6.9177036
276,0.0,15.337203
277,0.25,13.30229
278,0.0,12.046436
279,0.0,12.249199
280,0.0,9.160409
281,0.0,8.075628
282,0.5,11.406157
283,0.0,10.095353
284,0.5,10.904387
285,0.0,9.360719
286,0.0,12.369883
287,0.75,14.359587
288,0.75,9.018241
289,0.0,14.824357
290,0.5,13.066727
291,0.5,10.74589
292,0.0,13.059747
293,0.0,9.663157
294,0.0,9.657965
295,1.75,16.173973
296,0.0,10.016506
297,0.5,9.422398
298,0.0,10.126268
299,0.5,10.648378
300,1.25,11.856675
301,2.25,14.365014
302,0.0,9.509386
303,0.0,12.183197
304,1.5,14.358299
305,0.25,13.752394
306,0.0,8.261272
307,0.0,10.013938
308,0.0,4.3926163
309,0.5,11.188601
310,0.0,11.516528
311,0.0,11.726988
312,0.75,10.116344
313,0.0,14.120701
314,0.0,12.799858
315,0.0,10.866967
316,0.0,14.085016
317,0.5,10.584198
318,0.0,13.193759
319,2.25,13.360164
320,1.5,13.769062
321,2.0,19.83729
322,0.0,9.287589
323,1.25,10.442144
324,0.0,6.774214
325,0.75,10.920004
326,0.0,9.239984
327,0.0,10.258717
328,0.0,12.214033
329,0.75,12.5577965
330,0.25,11.1713085
331,0.0,14.676771
332,0.5,11.667737
333,0.0,8.039707
334,0.0,17.880806
335,0.0,13.915003
336,0.0,13.223516
337,0.0,11.625861
338,0.0,8.601386
339,0.5,12.355226
340,0.0,7.434718
341,0.25,7.398528
342,0.0,7.4764814
343,0.25,11.74198
344,0.0,7.897096
345,0.25,13.666951
346,1.25,8.135307
347,1.75,13.648927
348,0.0,11.89881
349,0.0,12.424223
350,0.0,9.853128
351,0.0,11.205232
352,0.0,8.139364
353,2.0,14.020971
354,0.0,14.812284
355,0.0,10.150505
356,0.5,13.373852
357,0.25,7.746738
358,0.0,13.01124
359,0.0,4.20865
360,0.0,9.078359
361,0.0,15.076612
362,0.0,11.134317
363,0.0,14.04179
364,0.0,10.324356
365,2.5,19.382862
366,0.0,12.040227
367,0.0,11.849842
368,0.0,9.939391
369,0.25,8.911241
370,0.0,12.077938
371,0.25,12.064456
372,0.0,11.766207
373,2.0,15.676086
374,0.0,15.072277
375,0.0,10.995617
376,0.0,7.594466
377,1.5,13.560068
378,1.5,15.22345
379,0.0,12.582534
380,0.0,11.226339
381,0.0,12.499921
382,0.0,9.495581
383,0.0,12.157752
384,0.0,9.782586
385,0.0,10.193675
386,1.5,12.986113
387,1.5,17.932163
388,1.5,13.086134
389,0.75,12.269896
390,0.0,10.452013
391,0.25,11.785526
392,1.25,14.090189
393,0.0,6.480959
394,0.0,8.440937
395,1.25,18.186754
396,0.0,12.781288
397,0.0,12.838055
398,0.0,9.331754
399,0.0,10.1087885
400,0.75,15.576004
401,0.0,12.291315
402,0.5,14.324694
403,0.0,13.626019
404,0.75,11.12016
405,0.0,17.8728
406,0.0,11.440626
407,0.0,15.235775
408,0.0,12.5105715
409,0.0,11.115754
410,0.0,10.128046
411,0.25,13.373618
412,0.25,12.522148
413,1.75,19.560722
414,0.0,10.998627
415,0.0,10.362089
