,DEPRESSIVITY,0
0,0.0,13.333965
1,0.0,14.010767
2,0.0,7.70409
3,0.5,15.523661
4,0.0,9.188848
5,0.5,16.404142
6,0.0,14.88669
7,0.0,13.838999
8,0.75,16.273653
9,0.0,11.497953
10,2.5,16.319927
11,0.0,11.229908
12,0.0,11.345617
13,0.0,10.931715
14,0.0,12.895275
15,0.75,14.24363
16,0.0,12.016409
17,1.0,12.217711
18,1.25,17.945896
19,0.0,9.719457
20,1.5,9.74917
21,0.0,7.1482835
22,1.75,15.62054
23,0.25,10.0601015
24,0.25,6.7260385
25,0.0,14.182706
26,0.0,12.242645
27,0.0,9.993183
28,0.5,12.74301
29,0.0,16.488598
30,1.25,13.349217
31,0.0,13.281393
32,2.0,15.108242
33,0.0,12.064759
34,2.5,15.475871
35,0.25,10.678603
36,0.0,10.215071
37,0.0,10.749456
38,0.0,9.172242
39,0.25,9.62878
40,0.0,10.984322
41,0.0,7.9436483
42,0.0,12.903038
43,0.0,12.966895
44,0.0,9.4178295
45,0.0,11.52813
46,0.0,6.132902
47,2.5,15.210712
48,0.0,8.178189
49,2.0,12.115334
50,0.0,12.334822
51,0.75,13.45335
52,0.0,9.828664
