,DEPR,0
0,46.76190476,44.1553
1,102.0,45.97945
2,57.0,43.833416
3,37.0,42.932495
4,48.42857143,46.746983
5,67.47619048,59.612396
6,37.0,43.50585
7,39.0,45.176987
8,48.42857143,50.86073
9,51.8974359,48.72703
10,80.0,49.28174
11,39.0,48.598515
12,37.0,44.413784
13,56.0,51.884396
14,69.0,47.68252
15,47.0,43.861713
16,43.38461538,43.903595
17,37.0,48.560555
18,52.0,44.43173
19,52.0,44.714245
20,37.0,46.974937
21,41.20512821,41.443428
22,40.9047619,44.564754
23,46.0,45.22194
24,60.0,45.244907
25,73.0,51.88239
26,52.0,49.594627
27,47.0,50.374126
28,37.0,47.556248
29,73.0,47.677555
30,47.51282051,45.17974
31,77.0,52.707893
32,41.25641026,40.72614
33,37.0,43.480293
34,39.12820513,46.813477
35,39.0,47.94402
36,98.0,46.888226
37,39.0,46.622585
38,45.51282051,43.90877
39,43.38461538,41.1479
40,73.0,54.91372
41,55.0,52.98163
42,37.0,44.48066
43,39.0,49.467075
44,52.23809524,53.412533
45,56.52380952,47.45203
46,43.0,46.38899
47,88.0,48.48433
48,41.0,42.947247
49,37.0,41.219193
50,39.0,44.39649
51,47.0,45.95942
52,39.0,44.109398
53,54.0,45.580322
54,37.0,40.958344
