,DEPR,0
0,41.0,46.609417
1,43.0,41.135246
2,54.0,44.848965
3,37.0,45.68491
4,58.0,49.93537
5,38.97619048,38.544277
6,52.0,44.083977
7,43.0,41.13747
8,45.51282051,44.83149
9,51.8974359,49.39283
10,41.0,41.989716
11,46.0,44.392925
12,54.0,50.078068
13,43.0,42.803352
14,48.0,45.303753
15,47.0,50.50164
16,48.0,48.62655
17,45.0,42.471264
18,54.14285714,47.197376
19,52.0,48.670883
20,65.0,51.01786
21,64.0,48.5486
22,57.0,52.183224
23,62.23076923,45.792053
24,56.15384615,47.594963
25,69.0,42.832664
26,37.0,42.27899
27,66.79487179,50.881668
28,37.0,44.469177
29,58.0,54.531853
30,41.0,47.84286
31,52.0,49.557297
32,41.0,38.65234
33,41.25641026,47.509525
34,39.12820513,42.344257
35,39.0,37.376816
36,58.28205128,51.135746
37,52.0,39.753967
38,52.80952381,45.939373
39,60.0,43.73482
40,45.0,49.234493
41,37.0,43.09365
42,56.0,52.285217
43,46.0,43.50785
44,51.8974359,48.88356
45,47.0,45.85152
46,101.0,46.13378
47,46.0,46.993095
48,48.0,46.359657
49,44.61904762,54.80258
50,41.0,39.893948
51,56.0,43.172886
52,60.41025641,46.221203
53,39.0,50.6205
54,56.04761905,53.482697
55,56.15384615,46.02835
56,46.0,44.929775
57,66.79487179,50.332474
58,52.0,48.22314
59,77.0,55.863155
60,50.0,45.345596
61,56.0,49.800827
62,51.8974359,50.552326
63,58.0,55.401028
64,41.0,52.265327
65,39.0,47.60983
66,58.0,47.352703
67,47.64102564,46.184864
68,57.95238095,50.66369
69,62.0,53.71761
70,50.0,48.033527
71,73.0,47.083965
72,58.28205128,50.425896
73,43.0,49.56515
74,50.66666667,48.37254
75,88.0,53.513195
76,48.0,45.037857
77,43.0,42.101494
78,56.15384615,43.8851
79,46.52380952,43.94032
80,53.82051282,45.813274
81,39.0,44.2616
82,50.0,41.617847
83,51.0,51.498795
84,64.0,45.386047
85,94.0,49.3322
86,83.0,44.142723
87,97.0,46.286247
88,39.0,51.57385
89,41.0,45.7771
90,50.0,42.356472
91,77.0,41.108078
92,48.71428571,42.472454
93,39.0,43.817444
94,48.0,45.83218
95,39.0,36.821762
96,101.0,43.38749
97,51.8974359,50.308647
98,46.0,43.73268
99,47.0,47.940353
100,41.0,41.970913
101,37.0,45.242123
102,41.0,41.113567
103,39.0,46.516308
104,58.0,50.335606
105,53.82051282,51.239067
106,51.8974359,48.38828
107,37.0,39.642178
108,61.76190476,49.434624
109,60.0,44.76473
110,48.0,47.07397
111,52.23809524,47.93223
112,58.28205128,52.801476
113,60.41025641,51.039413
114,50.66666667,43.264107
115,43.38461538,41.428135
116,50.0,48.016014
117,47.64102564,45.50679
118,45.0,44.66209
119,77.0,49.65643
120,47.0,43.7662
121,50.0,49.706966
122,41.0,45.540974
123,49.0,44.68476
124,48.0,46.21466
125,43.38461538,44.33169
126,56.0,40.65741
127,67.0,45.00346
128,67.0,45.87585
129,43.0,45.457493
130,37.0,46.20346
131,50.0,47.766403
132,45.41025641,42.75576
133,50.0,47.47752
134,45.51282051,47.952003
135,37.0,41.045055
136,46.0,45.044807
137,52.61904762,47.695213
138,47.64102564,54.85064
139,39.0,42.409866
140,46.0,45.18277
141,37.0,46.47914
142,46.0,44.902477
143,39.0,41.212425
144,51.8974359,50.518597
145,41.0,43.754948
146,41.0,40.216213
147,37.0,41.905613
148,37.0,44.642292
149,39.0,45.657112
150,51.0,42.375473
151,49.0,46.471786
152,48.0,46.496162
153,41.25641026,43.181774
154,54.0,50.182026
155,55.0,51.361202
156,66.0,52.42631
157,60.0,42.781597
158,52.23809524,47.315876
159,39.0,41.12433
160,53.0,51.530994
161,41.0,45.256382
162,49.76923077,44.58027
163,50.0,46.576195
164,52.0,46.083717
165,46.0,41.03558
166,52.0,49.19106
167,37.0,50.26643
168,41.25641026,52.628838
169,71.0,46.26224
170,60.41025641,46.739548
171,49.76923077,48.674
172,43.30769231,43.585667
173,39.0,44.481533
174,37.0,45.100315
175,49.76923077,45.85683
176,39.0,45.13497
177,41.0,43.85704
178,54.0,50.966206
179,43.0,51.22914
180,64.66666667,51.02843
181,39.0,45.219234
182,37.0,43.561634
183,47.0,40.219536
184,75.0,49.243435
185,39.0,40.730335
186,47.0,43.117546
187,39.0,44.552216
188,45.0,49.0664
189,39.12820513,43.83435
190,82.0,50.376762
191,60.0,44.714397
192,41.0,47.838093
193,41.25641026,50.1505
194,57.0,50.66927
195,48.0,46.498985
196,37.0,44.267796
197,77.0,44.42087
198,69.0,52.359264
199,84.0,49.32925
200,41.0,51.849823
201,90.0,43.922123
202,46.0,44.081825
203,39.0,40.69276
204,48.42857143,46.480915
205,50.66666667,49.890587
206,48.0,46.596687
207,50.33333333,44.44674
208,50.0,42.897198
209,84.0,47.897594
210,63.0,46.88801
211,47.0,43.482403
212,54.02564103,43.841732
213,46.0,43.84951
214,73.0,48.044296
215,37.0,47.299118
216,44.80952381,44.441437
217,41.0,43.1536
218,49.0,45.373272
219,61.76190476,52.302036
220,50.0,48.020157
221,47.0,45.652454
222,44.61904762,44.407413
223,51.0,50.361584
224,43.0,51.700573
225,76.0,46.28313
226,51.71794872,49.02768
227,58.28205128,45.313972
228,51.0,45.144997
229,60.41025641,51.450584
230,41.0,47.51556
231,70.5952381,51.134186
232,54.02564103,49.69084
233,58.0,54.43204
234,48.0,45.30302
235,64.0,42.284847
236,50.0,47.60523
237,45.0,44.863503
238,55.0,52.079777
239,37.0,39.887547
240,37.0,38.89334
241,73.0,49.13931
242,39.0,41.947163
243,50.66666667,47.76091
244,43.0,40.203033
245,39.0,44.584297
246,39.0,49.44711
247,99.0,47.050438
248,43.0,51.28568
249,45.0,42.74268
250,45.0,42.19001
251,41.25641026,50.105324
252,41.0,45.040524
253,41.25641026,45.522427
254,65.0,51.05578
255,56.0,47.68863
256,50.0,49.425793
257,58.0,48.785965
258,73.0,45.03731
259,43.0,41.598183
260,41.0,47.602077
261,51.0,48.641453
262,60.0,48.79648
263,41.0,44.658936
264,47.0,42.57381
265,44.9047619,44.967804
266,57.0,50.062393
267,67.0,50.444717
268,75.0,46.97691
269,69.0,44.368183
