,DEPR,0
0,45.0,44.71176
1,58.0,53.67391
2,80.0,52.980583
3,67.0,47.278843
4,41.0,47.687405
5,48.0,43.127098
6,39.0,48.088184
7,52.0,49.3896
8,75.0,50.641987
9,49.76923077,48.267845
10,43.0,40.17381
11,48.0,49.55027
12,45.0,42.404606
13,68.53846154,50.91872
14,50.33333333,49.94822
15,49.61538462,47.889782
16,52.0,54.127636
17,64.0,54.46456
18,39.0,41.067005
19,49.76923077,48.072205
20,57.95238095,50.98072
21,42.92857143,45.587643
22,41.25641026,47.335407
23,45.0,43.828823
24,58.0,40.154766
25,37.0,49.495163
26,58.0,49.57707
27,45.0,50.18242
28,68.0,46.38292
29,43.0,40.63564
30,43.30769231,42.427853
31,56.15384615,53.881355
32,45.41025641,43.519794
33,46.76190476,49.073963
34,41.0,43.71707
35,47.64102564,49.062798
36,41.0,43.87647
37,51.0,46.86948
38,51.8974359,51.00645
39,37.0,50.64387
40,37.0,44.85275
41,71.05128205,46.907204
42,43.0,44.533283
43,58.28205128,47.020035
44,45.0,43.783573
45,75.0,50.98383
46,57.0,50.790012
47,40.80952381,50.337334
48,45.0,46.04158
49,49.76923077,45.54973
50,40.80952381,46.39735
51,58.28205128,54.126015
52,43.0,50.413845
53,39.0,48.419598
54,45.0,45.385273
