,DISTRACTIBILITY,0
0,1.0,9.676809
1,1.0,8.606565
2,3.0,12.966117
3,1.25,7.750156
4,1.25,9.15016
5,0.0,3.9843233
6,0.0,8.513313
7,1.25,8.84427
8,3.0,13.418074
9,0.25,8.328582
10,0.0,6.034862
11,1.5,9.040079
12,0.5,7.529597
13,1.5,9.99633
14,2.25,8.248145
15,1.0,6.471245
16,1.0,8.266331
17,0.25,5.577491
18,0.0,6.9876013
19,0.0,7.879641
20,2.0,11.952988
21,0.0,7.367573
22,0.25,0.0
23,0.25,7.613063
24,0.75,8.493916
25,2.25,10.593347
26,0.0,5.467738
27,1.75,9.391213
28,2.75,12.278578
29,0.5,9.761671
30,0.25,7.5864687
31,0.0,7.0030427
32,0.75,5.8661504
33,3.0,12.832576
34,0.0,8.671693
35,1.5,11.104699
36,0.0,8.369257
37,0.25,9.525766
38,0.0,8.115622
39,0.75,9.529565
40,2.5,10.012841
41,2.0,14.41334
42,1.25,8.441057
43,0.5,8.861118
44,1.75,11.624994
45,0.0,7.18717
46,0.0,8.955535
47,0.5,6.4063015
48,2.25,7.3253984
49,2.75,9.396749
50,1.0,10.453579
51,2.0,9.495267
