,DISTRACTIBILITY,0
0,0.25,5.780094
1,0.0,5.8416376
2,0.75,9.731211
3,1.75,10.512505
4,0.25,8.03015
5,1.25,13.7335
6,0.0,7.1130896
7,1.0,7.280389
8,0.75,11.277858
9,3.0,12.699759
10,0.0,9.4715395
11,0.75,7.203084
12,0.5,7.5317755
13,0.0,5.2193804
14,0.5,6.8491306
15,0.0,6.9574757
16,0.0,7.63304
17,2.25,11.220782
18,0.75,11.548278
19,0.25,8.112125
20,1.25,11.004722
21,1.0,9.995472
22,0.25,6.7257013
23,2.0,12.864792
24,0.0,7.7667084
25,0.5,7.6142626
26,1.5,9.109776
27,2.5,10.826824
28,0.0,9.510205
29,0.5,5.451578
30,0.5,8.691219
31,2.0,9.405942
32,0.0,12.004199
33,1.5,11.121061
34,0.5,7.8967676
35,0.25,7.1874914
36,1.0,9.289738
37,0.5,8.877229
38,2.25,10.862972
39,0.0,11.144836
40,1.0,7.721114
41,0.0,6.9156413
42,0.0,6.3695135
43,0.0,7.134738
44,1.25,8.831766
45,1.75,10.6568365
46,1.0,6.526457
47,0.0,6.4619465
48,0.75,9.212171
49,0.25,8.120169
50,0.5,5.8440943
51,1.0,8.865107
52,0.75,7.510955
53,0.0,5.9083586
54,1.5,8.605303
55,2.75,11.882518
56,0.5,10.305158
57,0.0,9.039683
58,0.0,8.025078
59,1.75,10.242645
60,0.25,4.4860945
61,0.0,8.442671
62,2.25,10.412106
63,0.75,9.4374
64,2.25,13.284956
65,0.5,10.697193
66,2.0,11.3142185
67,3.0,10.197233
68,2.0,11.461815
69,0.0,7.0384927
70,1.75,11.716335
71,0.75,9.350929
72,2.5,14.55401
73,0.75,9.001007
74,0.0,4.638332
75,1.0,9.190812
76,1.25,10.558994
77,1.25,8.934206
78,1.75,11.374527
79,0.0,9.908186
80,2.0,14.220348
81,2.0,11.641371
82,2.0,9.497777
83,0.5,8.952001
84,1.5,8.123907
85,2.5,11.462061
86,0.5,8.296239
87,0.25,8.667473
88,0.0,6.684621
89,0.0,9.187723
90,2.25,11.268903
91,0.75,10.4032345
92,0.25,7.5332236
93,0.5,6.502223
94,0.0,6.006691
95,2.75,13.805639
96,2.0,9.91958
97,0.25,8.312075
98,0.25,8.514914
99,0.0,6.816777
100,1.25,8.4972105
101,1.75,9.326942
102,2.5,11.458462
103,2.0,9.610119
104,2.5,12.004812
105,0.0,5.897504
106,1.0,7.5199337
107,0.5,4.983158
108,0.5,10.307694
109,0.0,5.8017416
110,0.5,5.0278463
111,1.75,11.699501
112,2.5,12.665872
113,0.0,8.15868
114,0.0,6.397066
115,1.75,9.743728
116,0.5,8.393946
117,0.0,6.144695
118,1.5,10.3513565
119,0.0,8.38991
120,1.5,8.295973
121,2.0,11.983354
122,2.75,13.998325
123,0.0,8.604027
124,1.25,6.646839
125,0.75,11.178452
126,0.5,7.769906
127,0.25,9.952491
128,0.25,6.5008736
129,0.0,1.9293371
130,0.25,6.3679576
131,0.5,5.6509295
132,2.25,11.4599285
133,1.75,10.346614
134,2.0,12.098096
135,0.0,10.540611
136,1.75,9.862963
137,1.0,7.5678277
138,0.0,5.3856697
139,0.0,7.250331
140,0.75,9.287074
141,2.0,11.9550705
142,2.75,12.874137
143,0.0,8.09679
144,0.25,8.516331
145,0.25,4.528206
146,0.75,9.557163
147,0.0,8.236805
148,0.25,3.6598897
149,1.0,9.476889
150,0.5,8.952621
151,0.0,7.020858
152,1.75,13.603821
153,0.25,5.3537235
154,0.75,11.960564
155,0.0,8.891419
156,0.5,8.322065
157,0.0,5.407406
158,0.75,10.623328
159,2.25,11.719706
160,2.25,15.623104
161,1.25,8.216433
162,0.0,7.932407
163,1.25,10.3777485
164,0.0,9.8497505
165,0.0,8.438366
166,0.0,10.168277
167,0.0,10.451567
168,0.0,9.002188
169,0.75,7.4785533
170,0.0,5.382482
171,1.5,10.037628
172,0.0,8.111371
173,0.0,9.215162
174,1.0,8.505146
175,0.75,8.1567745
176,0.0,8.145419
177,0.0,11.916489
178,0.25,8.293766
179,0.0,7.614916
180,0.0,6.0763745
181,1.25,12.345882
182,1.75,8.961514
183,0.25,9.9864435
184,0.25,9.257382
185,1.25,8.720695
186,0.25,10.415622
187,0.25,9.300989
188,1.5,7.717093
189,3.0,14.034127
190,0.25,7.181894
191,2.5,12.085173
192,0.0,7.5621223
193,1.5,8.079744
194,0.0,7.6362553
195,2.25,10.321444
196,3.0,13.650805
197,0.0,3.0843835
198,0.75,12.757223
199,2.25,9.536081
200,0.0,7.034856
201,2.25,10.837707
202,0.25,7.240919
203,1.25,10.3089485
204,2.25,10.485194
205,0.75,7.6029363
206,1.5,11.690602
207,0.5,6.1295724
208,1.0,11.905098
209,1.0,8.870951
210,1.0,10.903664
211,0.75,10.803394
212,1.0,8.844394
213,0.5,6.8069324
214,0.5,7.1763687
215,1.25,12.171759
216,0.25,6.675966
217,0.0,9.526247
218,0.0,7.329917
219,0.75,9.264215
220,0.0,7.7503133
221,2.25,9.695625
222,0.0,5.6073008
223,0.5,5.419264
224,1.25,7.5509653
225,1.0,8.518727
226,1.75,9.282587
227,2.25,11.171877
228,1.75,10.433975
229,3.0,13.608158
230,1.5,10.386011
231,1.5,13.10173
232,0.5,8.727649
233,0.0,8.2101755
234,2.75,11.398027
235,0.25,9.211441
236,0.25,7.2446423
237,0.25,10.078946
238,0.75,7.183955
239,3.0,9.3910675
240,1.25,10.911248
241,0.25,5.934849
242,1.0,8.01197
243,0.0,4.865137
244,1.0,9.444819
245,2.0,13.336714
246,1.25,11.011442
247,1.25,6.5977345
248,1.0,9.05492
249,0.75,9.626591
250,0.0,7.5836315
251,0.25,7.56917
252,1.75,9.36051
253,3.0,12.128801
254,0.25,6.88242
255,0.75,7.008249
256,0.0,7.421829
257,2.25,12.058884
258,1.0,7.1527295
259,0.0,8.841063
260,2.25,11.266552
261,0.5,10.46471
262,1.0,6.5974135
263,1.0,9.147295
264,0.25,10.124384
265,0.0,7.460719
266,1.5,9.427446
267,0.0,3.6013074
268,0.0,9.260383
269,1.25,8.1496105
270,0.0,8.0174675
271,1.0,11.225021
272,0.75,9.58424
273,3.0,11.844074
274,1.0,8.734203
275,1.25,9.199425
276,0.5,10.14632
277,0.75,10.123277
278,1.5,10.943481
279,1.25,9.543425
280,1.0,6.8912096
281,1.25,13.034092
282,1.5,11.610449
283,1.25,8.168202
284,0.5,8.062216
285,0.75,10.232379
286,0.75,8.193463
287,3.0,15.568759
288,1.25,9.278518
289,0.0,6.258504
290,0.0,7.41955
291,2.0,9.935166
292,0.0,5.631319
293,0.0,10.579304
294,0.75,7.7315154
295,0.0,7.4068108
296,1.25,11.7978325
297,1.5,8.122421
298,0.0,2.3464344
299,0.0,7.534525
300,0.75,9.337358
301,0.0,9.235561
302,1.0,9.088381
303,2.0,10.09562
304,0.5,8.435013
305,0.75,9.657118
306,0.75,7.259851
307,1.25,10.473551
308,0.0,9.608881
309,0.0,10.320294
310,0.5,7.7624006
311,0.0,6.251513
312,1.75,9.883128
313,0.0,6.2104473
314,1.5,10.962141
315,0.25,8.15035
316,0.0,10.025261
317,0.0,9.427855
318,1.0,8.669504
319,1.75,8.729868
320,2.25,12.377701
321,0.0,3.8991356
322,0.25,2.4633093
323,0.0,7.968561
324,2.25,8.407293
325,1.5,12.350399
326,0.0,4.4039173
327,0.0,6.550436
328,0.75,8.37592
329,0.75,7.3146377
330,1.25,8.5842285
331,2.25,7.596574
332,1.75,10.883326
333,1.0,9.080997
334,0.75,7.011524
335,1.5,10.883995
336,1.5,9.153487
337,0.0,9.167915
338,1.0,8.960827
339,1.0,10.307364
340,1.0,9.803957
341,1.5,11.147473
342,0.5,8.69367
343,0.75,7.338814
344,1.0,9.967417
345,2.5,13.308343
346,1.75,10.436236
347,2.5,14.473177
348,2.5,11.224456
349,1.5,10.732729
350,0.5,10.4941
351,1.25,8.491388
352,0.25,6.9838047
353,0.25,7.2754784
354,1.25,10.230811
355,1.5,6.8929343
356,0.25,9.036817
357,1.25,9.915887
358,1.75,10.912878
359,0.25,9.147982
360,0.0,7.283228
361,0.5,6.9215274
362,0.25,8.399617
363,0.0,6.733693
364,1.75,10.407191
365,3.0,12.426353
366,1.75,11.164861
367,0.0,6.792862
368,2.25,12.046449
369,1.5,9.822947
370,0.0,7.580002
371,0.0,8.107019
372,1.5,12.603088
373,0.25,6.8770204
374,2.5,11.334563
375,1.75,10.514376
376,0.25,6.305874
377,1.0,10.550238
378,0.0,9.2822485
379,0.25,7.754759
380,0.25,6.3517714
381,0.5,6.577662
382,0.5,9.057064
383,2.5,11.307848
384,0.75,10.5222845
385,1.75,12.528093
386,1.0,5.9142857
387,0.75,7.193384
388,0.25,6.8142653
389,0.5,8.347566
390,0.75,7.5670056
391,1.0,9.901346
392,0.75,8.232399
393,1.0,9.452644
394,1.25,6.3570824
395,1.0,9.655133
396,0.0,7.322546
397,1.5,11.03635
398,1.75,11.6165495
399,2.0,8.424435
400,1.75,9.988768
401,0.75,9.021017
402,0.75,8.510595
403,0.75,6.6737394
404,2.75,10.099438
405,0.25,9.778469
406,0.5,7.2431083
407,0.0,6.307058
408,0.0,9.316477
409,0.5,8.584655
410,0.75,10.455263
411,1.5,9.416103
412,0.0,7.8576617
413,2.25,10.560976
414,2.75,11.382315
415,1.5,11.697636
