,DN,0
0,45.0,45.455715
1,85.0,86.69161
2,85.0,61.7704
3,90.0,88.9916
4,85.0,86.76206
5,55.0,73.900635
6,55.0,55.666615
7,85.0,83.385025
8,90.0,67.07552
9,70.0,64.689804
10,45.0,52.180237
11,10.0,77.91225
12,70.0,76.064354
13,20.0,60.263996
14,10.0,71.62394
15,45.0,64.642876
16,30.0,37.491802
17,5.0,60.40588
18,5.0,67.18499
19,70.0,69.32707
20,90.0,71.80692
21,70.0,65.015625
22,55.0,61.16936
23,100.0,69.20221
24,70.0,62.902313
25,75.0,65.25743
26,10.0,49.226967
27,30.0,46.205894
28,45.0,49.94924
29,20.0,45.406815
30,75.0,80.42085
31,70.0,75.91298
32,55.0,65.92926
33,100.0,85.38904
34,70.0,72.90448
35,85.0,83.43896
36,70.0,74.96019
37,85.0,89.09764
38,45.0,52.795135
39,70.0,58.309185
40,95.0,77.6032
41,20.0,44.21962
42,90.0,59.898014
43,85.0,91.57154
44,30.0,67.81944
45,15.0,29.349749
46,70.0,78.97599
47,100.0,69.789215
48,90.0,43.620564
49,100.0,74.53859
50,30.0,58.21683
51,20.0,68.08057
52,15.0,42.54204
53,55.0,63.38016
54,85.0,78.2091
55,20.0,65.23607
56,55.0,64.03765
57,55.0,54.36423
58,45.0,51.262115
59,70.0,48.930065
60,95.0,101.72624
61,45.0,59.83682
