,DN,0
0,85.0,79.77754
1,95.0,78.59065
2,55.0,64.15287
3,20.0,66.30081
4,85.0,85.35911
5,100.0,77.85363
6,45.0,48.924618
7,20.0,61.695873
8,85.0,84.13952
9,75.0,78.54592
10,70.0,70.189896
11,55.0,59.31274
12,5.0,50.37998
13,75.0,62.757366
14,85.0,79.05454
15,85.0,65.931915
16,15.0,60.340202
17,20.0,62.5317
18,70.0,63.799686
19,10.0,63.234493
20,85.0,87.96433
21,70.0,55.07922
22,20.0,57.789524
23,55.0,65.7424
24,20.0,59.116558
25,100.0,101.94931
26,30.0,35.65537
27,55.0,56.916645
28,10.0,59.791523
29,45.0,66.41994
30,85.0,71.05871
31,30.0,55.378834
32,55.0,69.708626
33,20.0,64.05575
34,55.0,49.91605
35,70.0,74.60436
36,75.0,54.3809
37,15.0,26.799206
38,100.0,93.72242
39,70.0,66.65824
40,55.0,59.627964
41,15.0,21.21344
42,10.0,73.921135
43,100.0,67.35348
44,70.0,77.54906
45,85.0,78.40312
46,100.0,77.302505
47,85.0,67.7241
48,85.0,66.76132
49,10.0,60.19795
50,90.0,84.770996
51,100.0,73.00884
52,95.0,92.77886
53,70.0,67.687386
54,5.0,47.179775
55,85.0,88.31692
56,10.0,45.49866
57,5.0,50.38202
58,85.0,62.247265
59,10.0,62.37855
60,45.0,42.465546
61,85.0,66.878876
62,45.0,49.390717
63,75.0,71.35508
64,85.0,54.394676
65,75.0,70.69834
66,20.0,52.058804
67,5.0,48.461975
68,15.0,25.649496
69,85.0,83.47721
70,15.0,36.724533
71,55.0,75.243004
72,20.0,59.81215
73,95.0,72.837166
74,85.0,90.229034
75,5.0,38.13071
76,85.0,70.51519
77,85.0,35.31615
78,85.0,62.649956
79,30.0,66.74048
80,100.0,73.45093
81,15.0,61.799374
82,45.0,55.685413
83,100.0,68.886215
84,90.0,57.3461
85,85.0,90.20945
86,20.0,26.949928
87,75.0,73.92326
88,45.0,56.954296
89,95.0,97.15141
90,75.0,65.91779
91,15.0,29.23741
92,70.0,72.336624
93,55.0,67.31493
94,85.0,94.33825
95,55.0,54.768806
96,10.0,60.695644
97,45.0,52.791794
98,85.0,88.61734
99,45.0,67.486145
100,95.0,87.82739
101,30.0,60.772873
102,100.0,69.57847
103,45.0,64.07373
104,100.0,88.56176
105,100.0,47.06024
106,75.0,60.553165
107,85.0,69.237625
108,90.0,62.42674
109,45.0,48.70228
110,15.0,54.98238
111,20.0,58.080067
112,90.0,93.154945
113,85.0,74.67787
114,85.0,59.237083
115,55.0,62.90213
116,30.0,52.834354
117,95.0,68.125465
118,70.0,58.38849
119,85.0,87.960686
120,55.0,61.759293
121,55.0,67.860535
122,95.0,69.206696
123,5.0,65.08444
124,85.0,70.76227
125,70.0,67.06742
126,75.0,74.23046
127,70.0,77.73656
128,55.0,56.172386
129,20.0,37.431362
130,75.0,67.51017
131,70.0,62.323746
132,45.0,59.872524
133,90.0,87.39672
134,95.0,85.67554
135,55.0,58.105602
136,70.0,70.50298
137,45.0,53.30292
138,5.0,5.588289
139,75.0,82.84731
140,100.0,52.182816
141,55.0,57.30575
142,85.0,84.92662
143,20.0,66.50803
144,75.0,81.24382
145,45.0,64.188354
146,85.0,80.12365
147,70.0,67.827515
148,30.0,43.966312
149,70.0,55.68836
150,95.0,82.849144
151,20.0,43.58104
152,100.0,86.46519
153,10.0,44.096325
154,100.0,66.11369
155,45.0,48.79948
156,75.0,69.30392
157,5.0,46.346863
158,70.0,76.9879
159,10.0,70.14994
160,20.0,34.303913
161,5.0,41.252174
162,55.0,62.265915
163,30.0,38.239178
164,70.0,67.88178
165,30.0,59.546165
166,85.0,87.29952
167,20.0,79.29178
168,70.0,67.45387
169,70.0,83.94505
170,10.0,58.004375
171,55.0,70.34458
172,70.0,71.917725
173,85.0,78.897064
174,85.0,71.06972
175,10.0,70.411964
176,100.0,86.78815
177,30.0,55.57068
178,5.0,43.333824
179,85.0,77.73634
180,75.0,48.911816
181,45.0,69.43144
182,70.0,62.136658
183,100.0,80.10522
184,95.0,63.58072
185,85.0,63.24582
186,55.0,54.829636
187,70.0,68.177025
188,85.0,86.44024
189,85.0,79.58911
190,95.0,91.78938
191,20.0,40.058704
192,70.0,65.76811
193,95.0,86.48135
194,45.0,54.783474
195,95.0,89.28667
196,55.0,59.88931
197,70.0,76.89359
198,45.0,72.36296
199,55.0,60.030407
200,85.0,87.764336
201,85.0,70.411285
202,85.0,59.276928
203,55.0,65.03591
204,70.0,61.53865
205,20.0,30.608456
206,55.0,51.39644
207,20.0,35.253536
208,100.0,54.144627
209,20.0,29.830633
210,55.0,54.778316
211,85.0,46.79327
212,70.0,68.85199
213,75.0,67.99995
214,95.0,85.16661
215,85.0,81.06419
216,45.0,59.30811
217,15.0,70.66854
218,20.0,58.67481
219,45.0,53.697586
220,95.0,88.78288
221,10.0,72.86998
222,45.0,63.990284
223,95.0,72.78074
224,55.0,70.97521
225,90.0,77.75504
226,70.0,70.176384
227,20.0,55.633953
228,15.0,85.062355
229,85.0,70.23379
230,45.0,46.110126
231,95.0,87.21381
232,20.0,33.59139
233,100.0,91.56349
234,20.0,30.461178
235,5.0,62.35065
236,100.0,70.91417
237,45.0,55.643093
238,85.0,89.78208
239,55.0,69.24935
240,95.0,81.06097
241,10.0,59.425167
242,5.0,70.51173
243,85.0,83.5421
244,95.0,65.40985
245,95.0,69.560616
246,70.0,58.750786
247,45.0,61.82682
248,45.0,51.616283
249,100.0,92.65047
250,45.0,70.0387
251,55.0,71.41978
252,85.0,83.08181
253,90.0,73.106705
254,10.0,29.47845
255,70.0,65.191956
256,75.0,75.576355
257,5.0,32.837833
258,45.0,53.261364
259,45.0,56.124325
260,85.0,80.96894
261,5.0,70.63125
262,90.0,87.908035
263,30.0,54.494934
264,70.0,68.6402
265,20.0,48.3962
266,10.0,31.763868
267,95.0,86.80297
268,5.0,58.371426
269,55.0,65.81673
270,85.0,83.86004
271,75.0,63.767876
272,20.0,49.85937
273,20.0,68.286804
274,70.0,73.49584
275,85.0,79.10354
276,20.0,52.468063
277,85.0,71.970245
278,20.0,26.377892
279,85.0,73.42048
280,10.0,28.750088
281,30.0,52.36646
282,55.0,70.214935
283,75.0,67.15907
284,45.0,58.59838
285,75.0,68.00139
286,70.0,69.607994
287,15.0,92.3806
288,70.0,75.64557
289,90.0,89.37104
290,70.0,61.39764
291,70.0,65.011215
292,45.0,50.39432
293,20.0,58.459633
294,10.0,34.453487
295,45.0,48.860584
296,75.0,46.905796
297,10.0,62.075825
298,30.0,61.489494
299,85.0,65.934204
300,85.0,84.435356
301,45.0,46.60709
302,100.0,62.84798
303,90.0,80.72664
304,30.0,61.30831
305,45.0,50.914005
306,10.0,31.113245
307,30.0,45.483315
308,20.0,31.919127
309,90.0,72.97583
310,5.0,51.829063
311,20.0,61.220284
312,85.0,90.063484
313,55.0,46.322586
314,10.0,50.351643
315,20.0,68.93129
316,95.0,61.036213
317,10.0,47.88654
318,90.0,79.19094
319,90.0,86.39424
320,70.0,74.28156
321,85.0,65.40047
322,10.0,57.59813
323,55.0,62.59358
324,70.0,68.591125
325,85.0,73.70939
326,45.0,60.777885
327,45.0,60.740437
328,85.0,69.78552
329,100.0,68.85445
330,55.0,66.75482
331,70.0,70.348114
332,45.0,52.19105
333,100.0,97.29244
334,100.0,76.0746
335,85.0,77.627716
336,75.0,71.88862
337,85.0,91.57886
338,85.0,74.7472
339,90.0,58.49738
340,20.0,82.05198
341,100.0,59.167393
342,85.0,86.51592
343,95.0,90.75271
344,20.0,57.153103
345,70.0,69.81239
346,55.0,51.809853
347,95.0,80.9985
348,70.0,65.40267
349,70.0,76.64368
350,15.0,66.03466
351,100.0,102.57741
352,100.0,59.539494
353,15.0,57.024593
354,15.0,52.381847
355,85.0,84.24419
356,45.0,56.439644
357,55.0,65.18105
358,30.0,56.36424
359,45.0,44.6953
360,70.0,63.17504
361,30.0,60.654106
362,55.0,48.106457
363,20.0,54.90941
364,70.0,61.414436
365,30.0,81.94145
366,75.0,54.545692
367,70.0,78.68404
368,75.0,69.09602
369,45.0,53.98621
370,55.0,58.38473
371,100.0,97.60572
372,10.0,53.933945
373,10.0,20.918287
374,5.0,51.85942
375,70.0,67.38075
376,45.0,57.326664
377,55.0,61.265156
378,45.0,52.21499
379,85.0,65.65737
380,95.0,74.894226
381,70.0,83.03227
382,70.0,78.20128
383,75.0,73.27252
384,95.0,67.78917
385,95.0,55.966404
386,70.0,69.22228
387,5.0,40.36681
388,45.0,49.645428
389,55.0,62.659847
390,70.0,73.42503
391,85.0,81.09913
392,85.0,56.266277
393,85.0,70.40033
394,70.0,53.10822
395,85.0,76.99717
396,55.0,60.56413
397,85.0,66.266945
398,70.0,67.55828
399,95.0,81.51067
400,45.0,66.80505
401,100.0,84.12093
402,55.0,53.816044
403,30.0,71.67157
404,45.0,58.27179
405,20.0,43.142723
406,5.0,44.65819
407,85.0,46.06651
408,20.0,45.91657
409,5.0,55.0084
410,85.0,79.398056
411,45.0,47.40056
412,45.0,64.92611
413,90.0,65.28593
414,5.0,63.452034
415,20.0,44.25923
416,70.0,48.13862
417,20.0,40.289017
418,70.0,83.23872
419,85.0,63.25469
420,95.0,41.4981
421,5.0,56.419567
422,10.0,39.042553
423,30.0,34.24457
424,75.0,56.262405
425,20.0,49.438915
426,70.0,73.00969
427,55.0,83.43468
428,85.0,72.09144
429,75.0,45.59632
430,30.0,47.943672
431,70.0,52.11474
432,85.0,69.96589
433,100.0,77.372696
434,55.0,62.220722
435,70.0,69.106865
436,70.0,75.766754
437,15.0,46.24648
438,85.0,79.52255
439,95.0,45.087193
440,70.0,73.22496
441,45.0,48.78033
442,45.0,69.97432
443,90.0,62.48929
444,85.0,68.43948
445,5.0,59.69786
446,55.0,62.776947
447,85.0,78.04365
448,45.0,50.694374
449,70.0,65.15617
450,70.0,71.143616
451,20.0,37.997272
452,20.0,54.85471
453,85.0,50.333027
454,10.0,29.6596
455,75.0,67.624466
456,75.0,79.7506
457,100.0,66.70801
458,75.0,81.7073
459,100.0,85.877045
460,85.0,54.62694
461,5.0,46.22028
462,85.0,73.99373
463,5.0,49.417473
464,70.0,68.997116
465,85.0,64.78594
466,100.0,83.497986
467,55.0,66.83714
468,45.0,50.25244
469,70.0,75.63951
470,85.0,72.99117
471,20.0,32.709003
472,85.0,78.31502
473,45.0,66.7585
474,20.0,21.162334
475,70.0,77.392365
476,100.0,57.467827
477,20.0,61.842957
478,55.0,70.908646
479,85.0,83.55075
480,55.0,64.36622
481,55.0,59.804935
482,75.0,75.11637
483,20.0,56.992252
484,10.0,47.002956
485,70.0,55.886665
486,75.0,59.23827
487,45.0,55.74806
488,30.0,52.204338
489,45.0,48.57178
490,45.0,62.8052
491,95.0,85.86336
492,90.0,88.82124
493,100.0,81.13903
494,55.0,50.807095
