,DN,0
0,100.0,89.35772
1,45.0,49.77077
2,85.0,54.291245
3,70.0,71.49478
4,85.0,78.80017
5,45.0,60.93919
6,85.0,82.66743
7,95.0,88.79811
8,95.0,72.720985
9,30.0,51.099678
10,85.0,86.70816
11,55.0,60.21515
12,20.0,49.291523
13,10.0,49.248013
14,30.0,43.017864
15,45.0,47.407265
16,45.0,53.21721
17,70.0,72.12028
18,70.0,65.23542
19,5.0,69.31945
20,70.0,64.651375
21,15.0,52.784386
22,5.0,42.985443
23,45.0,50.689106
24,100.0,89.04425
25,55.0,59.601337
26,15.0,74.167755
27,85.0,85.36765
28,90.0,80.80317
29,5.0,11.02787
30,90.0,80.704544
31,10.0,71.178314
32,95.0,71.77617
33,45.0,64.21429
34,10.0,67.30968
35,70.0,52.44258
36,85.0,88.06855
37,70.0,67.347565
38,70.0,67.1174
39,85.0,72.24264
40,10.0,14.080217
41,70.0,77.875946
42,100.0,64.87235
43,20.0,59.74908
44,15.0,54.095196
45,45.0,53.390896
46,10.0,46.10078
47,70.0,65.68592
48,55.0,53.57786
49,10.0,43.01964
50,95.0,88.61473
51,70.0,71.501854
52,20.0,71.82483
53,10.0,17.27616
54,5.0,51.87011
55,70.0,69.87121
56,10.0,57.328445
57,5.0,59.570065
58,15.0,62.850437
59,55.0,59.814976
60,20.0,35.201633
61,20.0,40.73618
